1,EXT ASTORIA QUEENS NY  DAY,47
2,INT PURPLE BENTLEY  SAME,21
3, OFFICE  DAYINT EXAM ROOM  PLASTIC SURGEON S,79
4,INT BACKSTAGE  CARNEGIE HALL  SAME,23
5,INT GAS STATIONMECHANIC SHOP  SAME,66
6,EXT GOLD STAR GAS STATION  DAY,26
7,INT BOBS HOUSE  DAY,36
8,INT ANTONIO S APARTMENT  DAY,69
9,INT DENISES HOUSE  DAY ,55
10,EXT QUEENS BOULEVARD  DAY,8
11,EXT STREETINT GYPSY CAB DRIVING  DAY,60
12,EXT ELEMENTARY SCHOOL  DAY,39
13,INT KORZAK HOUSE  KITCHEN  DAY,16
14, BEDROOM  DAYINT KORZAK HOUSE  MATT S,11
15, BEDROOM  DAYINT KORZAK HOUSE  NICKY S,12
16,INT KORZAK HOUSE  MATTS BEDROOM  AS BEFORE ,99
17,INT GOLD STAR  DAY,136
18,INT GOLD STAR  BACK HALLUTILITY ROOM,78
19, OFFICE  DAYINT BOB S,33
20,INTEXT GARAGESTREET  DAY,16
21,EXT STREET  MOMENTS LATER,48
22,INT BOBS OFFICE  AS BEFORE,20
23,EXT HOSPITAL  DAY,5
24,INT HOSPITAL  VARIOUS,20
25,EXT STREET  LATER THAT NIGHT,12
26,INT HOSPITAL  LATER THAT NIGHT,71
27,INT HOSPITAL  OUTSIDE THE NURSERY  LATER THAT NIGHT,82
28,EXT GOLD STAR  NEXT DAY,7
29,INT GOLD STAR  DELI COUNTER,60
30,INT GOLD STAR  UTILITY ROOM  DAY,65
31,INT GOLD STAR  VARIOUS  DAY,12
32,INT GOLD STAR  THAT EVENING,86
33,INTEXT GOLD STAR LATER  VARIOUS  NIGHT,104
34,EXT STREETGOLD STAR  NIGHT ,82
35,INT KORZAK HOUSE  LIVING ROOM  NIGHT,133
36, APARTMENT  NIGHTINT LEANNE S,25
37,INT SAMIRAS HOUSE  DINING ROOM  NIGHT,6
38,INT LEANNE S APARTMENT  AS BEFORE ,11
39, APARTMENT  NIGHT INT ANTONIO S,6
40,INT LEANNES APARTMENT  AS BEFORE ,45
41, HOUSE  AS BEFORE INT SAMIRA S,23
42, APARTMENT  AS BEFORE INT ANTONIO S,14
43,INT A BAR  NIGHT,18
44,INT KORZAK HOUSE  RESUME PREVIOUS SCENE ,48
45,INT POLICE PRECINCT  NIGHT,21
46,INT SAMIRAS HOUSE  NIGHT,37
47,INT ANTONIOS APARTMENT  SAME ,82
48, APARTMENT  KITCHEN  MOMENTS LATERINT ANTONIO S,80
49,INT HOSPITAL ROOM  NIGHT,94
50,INT HOSPITAL  ICU ROOM  SAME,16
51,INT HOSPITAL HALLWAY  NIGHT,7
52,INT HIPHOP NIGHT CLUB  NIGHT,66
53,EXT NIGHT CLUB  ALLEY  NIGHT,86
54,INT GOLD STAR  NEXT DAY ,94
55,EXT STREETGOLD STAR  SAME,12
56,INT GOLD STAR  AS BEFORE ,77
57, OFFICEBACK OF STORE   MINUTES LATERINT BOB S,58
58, OFFICE  DAYINT BOB S,43
59,INT HOSPITAL ICU  DAY,43
60, HOSPITAL ROOM  SAMEINT BOB S,42
61, HOSPITAL ROOM  AS BEFOREINT BOB S,288
62,EXT GOLD STAR  NEXT DAY ,6
63,INT GOLD STAR  SAME,9
64,INT UTILITY ROOM  MOMENTS LATER,11
65,INT GOLD STAR  MOMENTS LATER,77
66,INT GOLD STAR  GARAGE,12
