1,INT MEISSTERGROSSEN PHARMACEUTICALS LABORATORY  DAY ONE ,47
2,      INT ST HOPE S SCHOOL PLAYGROUND  DAY ONE  ,46
3,      INT ST HOPE S SCHOOL CLASSROOM  DAY ONE  ,62
4,INT ST HOPE S SCHOOL LIFT TRANSFORMATION SCENE  DAY ONE  ,11
5,      INT MI HIGH HQ  DAY ONE  ,64
6,AAINT ST HOPE S SCHOOL STAFFROOM PREVIOUSLY SCENE   DAY ,78
7,INT MEISSTERGROSSEN PHARMACEUTICALS OFFICE   DAY ONE  ,42
8,      INT ST HOPE S SCHOOL CLASSROOM  DAY ONE  ,43
9,      INT MI HIGH HQ  DAY ONE  ,106
10,      EXTINT MUSEUM OF INFECTIOUS DISEASES  DAY ONE  ,36
11,      INT MUSEUM OF INFECTIOUS DISEASES  DAY ONE  ,70
12,      INT ST HOPE S SCHOOL CLASSROOM  DAY ONE  ,41
13,      INT MUSEUM OF INFECTIOUS DISEASES  DAY ONE  ,58
14,INT MEISSTERGROSSEN PHARMACEUTICALS OFFICE  DAY ONE  ,22
15,      INT MUSEUM OF INFECTIOUS DISEASES  DAY ONE  ,10
16,INT MEISSTERGROSSEN PHARMACEUTICALS OFFICE  DAY ONE  ,24
17,AAINT MEISSTERGROSSEN PHARMACEUTICALSINT MUSEUM OF ,9
18,      INT MUSEUM OF INFECTIOUS DISEASES  DAY ONE  ,14
19,      INT MUSEUM OF INFECTIOUS DISEASES  DAY ONE  ,25
20,      INT MUSEUM OF INFECTIOUS DISEASES  DAY ONE  ,15
21,EXT MUSEUM OF INFECTIOUS DISEASESBUSSTOP  DAY ONE  ,17
22,INT MEISSTERGROSSENSPHARMACEUTICALS OFFICE  DAY ONE  ,55
23,      EXT MUSEUM OF INFECTIOUS DISEASES  DAY ONE  ,36
24,      INT ST HOPE S SCHOOL STAFFROOM CORRIDOR  DAY ONE  ,28
25,      INT ST HOPE S SCHOOL STAFFROOM  DAY ONE  ,34
26,      EXT STREET OUTSIDE ST HOPE S SCHOOL  DAY ONE  ,13
27,      INT MI HIGH HQ  DAY ONE  ,66
28,      INT ST HOPE S SCHOOL CORRIDOR  DAY ONE  ,27
29,      INT MI HIGH HQ  DAY ONE  ,90
30,INT TILBURY S MIND ST HOPE S SCHOOL RECEPTION  DAY ONE ,14
31,      INT ST HOPE S SCHOOL CLASSROOM  DAY ONE  ,56
32,INT TILBURY S MIND ST HOPE S SCHOOL RECEPTION  DAY ONE ,17
33,      INT MI HIGH HQ  DAY ONE  ,41
34,EXT ST HOPE S SCHOOL CORRIDORINT MEISSTERGROSSEN ,45
35,EXT TILBURY S MIND ST HOPE S SCHOOL CORRIDOR  DAY ONE  ,27
36,      INT MI HIGH HQ  DAY ONE  ,30
37,AAINT TILBURY S MIND ST HOPE S SCHOOL RECEPTION NEW ,9
38,      INT ST HOPE S SCHOOL CLASSROOM  DAY ONE  ,29
39,INT TILBURY S MIND ST HOPE S SCHOOL CORRIDOR  DAY ONE  ,38
40,      INT ST HOPE S SCHOOL STOREROOM  DAY ONE  ,12
41,INT TILBURY S MIND ST HOPE S SCHOOL SCIENCE LAB  DAY ,25
42,      INT MI HIGH HQ  DAY ONE  ,90
43,INT TILBURY S MIND ST HOPE S SCHOOL SCIENCE LAB  DAY ,41
44,      INT MI HIGH HQ  DAY ONE  ,33
45,INT TILBURY S MIND ST HOPE S SCHOOL ART ROOM  DAY ONE ,24
46,      INT MI HIGH HQ  DAY ONE  ,9
47,INT TILBURY S MIND ST HOPE S SCHOOL ART ROOM  DAY ONE ,23
48,      INT ST HOPE S SCHOOL CLASSROOM  DAY ONE  ,44
49,EXT TILBURY S MIND ST HOPE S SCHOOL RECEPTION  DAY ONE ,21
50,      INT MI HIGH HQ  DAY ONE  ,29
51,EXT TILBURY S MIND ST HOPE S SCHOOL RECEPTION  DAY ONE ,17
52,      INT MI HIGH HQ  DAY ONE  ,68
