1,      EXT OBSERVATION DECK EMPIRE STATE BUILDING  DUSK DAY ,136
2,      EXT OBSERVATION DECK EMPIRE STATE BUILDING  LATER,305
3,      INT HENRY AND LARRYS OFFICE  DAY DAY ,234
4,      INT MCDERMOTT KITCHEN  SAME DAY ,190
5,      INT MONROES BAR AND RESTAURANT  NIGHT DAY ,184
6,      INT MONROES BAR AND RESTAURANT  LATER DAY ,41
7,      INT MONROES MENS BATHROOM  MOMENTS LATER,45
8,      INT MONROES BAR AND RESTAURANT  SAME DAY ,49
9,      INT HENRYS APARTMENT  NIGHT DAY ,108
10,      EXT HENRYS APARTMENT  MORNING DAY ,4
11,      INT HENRYS ROOM  MORNING DAY ,34
12,      INT HENRYS APARTMENT  LIVING ROOM  SAME DAY ,151
13,      INT MCDERMOTT KITCHEN  AFTERNOON DAY ,60
14,      INT HENRYS APARTMENT LIVING ROOM  SAME  ,45
15,      INT MCDERMOTT KITCHEN  DAY DAY ,93
16,      INT HENRYS APARTMENT LIVING ROOM  DAY DAY ,59
17,      INT HENRY AND LARRYS OFFICE  AFTERNOON,92
18,      INT MONROES BAR AND RESTAURANT  SAME DAY ,63
19,      EXT HENRY AND LARRYS OFFICE BUILDING  EVENING,72
20,      INT MONROES MENS BATHROOM  MOMENTS LATER,39
21,      EXT NEW YORK STREET  SAME DAY ,70
22,      INT MONROES BAR AND RESTAURANT  MOMENTS LATER,36
23,      EXT MONROES BAR AND RESTAURANT,29
24,      INT MONROES BAR AND RESTAURANT,54
25,      INT  HOUR FITNESS  DAY DAY ,76
26,      INT GYM SNACK BAR  MOMENTS LATER DAY ,124
