1,      INT VIDEO GAME  NIGHT,155
2,      INT THE GAME  MOMENTS LATER,15
3,      INT WILLS BEDROOM  EARLIER,8
4,      INT THE GAME  CONTINUOUS,65
5,      INT COFFEE SHOP  EARLIER THAT NIGHT,15
6,      INT THE GAME  CONTINUOUS,86
7,      INT WILLS HOUSE  THE NEXT MORNING,314
8,      INT HALLWAY  CONTINUOUS,29
9,      INT WILLS KITCHEN  CONTINUOUS,56
10,      INT FOUNDATION INSURANCE COMPANY  WILLS OFFICE  LATER,169
11,      INT YOGA STUDIO  CONTINUOUS,5
12,      INT WILLS OFFICE  CONTINUOUS,57
13,      EXT WILLS BACK YARD  THE NEXT AFTERNOON,183
14,      INT CRAIGS CAR  MOMENTS LATER,25
15,      INT WILLS HOUSE  CONTINUOUS,74
16,      INT CRAIGS CAR  MOMENTS LATER,80
17,      INT CHURCH  CONTINUOUS,26
18,      EXT CHURCH  MOMENTS LATER,11
19,      INT CRAIGS CAR  MOMENTS LATER,78
20,      INT WILLS KITCHEN  CONTINUOUS,62
21,      EXT DRIVEWAY  CONTINUOUS,49
22,      INT WILLS KITCHEN  CONTINUOUS,17
23,      EXT DRIVEWAY  CONTINUOUS,11
24,      EXT WILLS FRONT YARD  CONTINUOUS,10
25,      INT WILLS LIVING ROOM  CONTINUOUS,67
26,      EXT WILLS FRONT YARD  CONTINUOUS,23
27,      INT GARAGE  CONTINUOUS,7
28,      EXT WILLS FRONT YARD  CONTINUOUS,34
29,      INT WILLS HOUSE  LATER,150
