1,      EXT MONGOLIAN STEPPE  DAWN,351
2,      EXT VENICE ITALY  DAY,15
3,      INTEXT VENICE APARTMENT  BEDROOMBALCONY  DAY,52
4,EXT VENICE ITALY  GRAND CANALCANAL ALLEYS  SUNSET ,116
5,INT PATRIZIA POLO S APARTMENT  NIGHTS LATER ,46
6,INT CATHOLIC CHURCH  LATER ,111
7,      EXT PORT OF VENICE  WEEKS LATER  DAY,37
8,      EXT THE LUNA  DAY,115
9,      EXT FOREIGN LANDS  MONTAGE  DAY,73
10,      EXT NORTH CHINA  RAZED VILLAGE  DAYS LATER,97
11,      EXT CAMBULAC CITY OF THE KHAN  DAYS LATER  DAY,28
12,      INT IMPERIAL PALACE  FRONT HALL  DAY,40
13,      INT IMPERIAL PALACE  THRONE ROOM  MOMENTS LATER,362
14,      EXT CAMBULAC  MARKET PLACE  MOMENTS LATER,33
15,      INT HALL OF PURIFICATION  DAY,13
16,      EXT CAMBULAC  TRAINING GROUNDS  DAY,15
17,      EXT CAMBULAC  CALIGRAPHY TREE  DAY,20
18,      EXT CAMBULAC  TRAINING GROUNDS  DAY,18
19,      INT ECHO PAVILION  DAY,55
20,      EXT CAMBULAC  TRAINING GROUNDS  SHORT TIME LATER,133
21,      INT IMPERIAL PALACE  HALL OF MILITARY AFFAIRS  DAY,297
22,      EXT XIANGYANG  WALLED CITY  DAY,14
23,      INT XIANGYANG  JIA SIDAO S QUARTERS  DAY,81
24,      INT HANGCHOW  BED CHAMBER OF SILK  DAY,56
25,      INT XIANGYANG  EMPEROR S CHAMBERS  DAY,41
26,      EXT CAMBULAC  TRAINING GROUNDS  SUNSET,78
27,      INT IMPERIAL PALACE  THRONE ROOM  NIGHT,221
28,      EXT CAMBULAC  NIGHT,10
29,      INT MARCO S QUARTERS  NIGHT,16
30,      EXT CAMBULAC  NIGHT,52
31,      EXT CAMBULAC  DOWN A SIDE STRAND  MOMENTS LATER,41
32,      EXT CAMBULAC  NEAR A MARBLE FOUNTAIN  MOMENTS LATER,8
33,      EXT CAMBULAC  DOWN A GARDEN COLONNADE  MOMENTS LATER,45
34,      EXT CAMBULAC  NEXT MORNING,120
35,      INT XIANGYANG  JIA SIDAO S QUARTERS  NIGHT,55
36,      INT SANGA S HOVEL  NIGHT,73
37,      EXT SOUTH CHINA  WUCHANG VILLAGE  NIGHT,98
38,      EXTINT HALL OF FIVE DESIRES  NIGHT,49
39,      INT HALL OF FIVE DESIRES  MOMENTS LATER,22
40,INT HALL OF FIVE DESIRES  THE ROOM OF THE FIFTH DESIRE  ,85
41,      EXT SOUTH CHINA  WUCHANG VILLAGE  NIGHT,37
