1,INT ANNIE S APARTMENT  NIGHT,382
2,INT ANNIE S APARTMENT  LATER,117
3, PRIUS  LATERINT DENNAH S,78
4,EXT STREET  SAME,68
5,S SUV  SAME MOM INT JAKE S,10
6,INT ANNIE S APARTMENT  LATER,13
7,EXT PINCHE MARICONES  FLASHBACK,73
8, BEDROOM  INT ANNIE SAS WE LEFT HER,47
9,INT HOT YOGA  DAY,115
10,  SAMEINT MACY S,98
11,INT JUICE BAR  LATER,101
12, CHANGING ROOMS  LATERINT MACY S,124
13, OFFICE  THE NEXT DAYINT JAKE S,98
14, OFFICE BUILDING  MOMENTS LATEREXT JAKE S,49
15, APARTMENT  NIGHTEXT KASSIE S,83
16,EXT PINCHE MARICONES  LATER,31
17, APARTMENT  INT JAKE SFLASHBACK,80
18,EXT PINCHE MARICONES  AS WE LEFT HIM,190
19, APARTMENT  SAMEINT ANNIE S,63
20, CAR  LATERINT ANNIE S,12
21,EXT ANNIE S APARTMENT  LATER,129
