1,EXT COUNTRY ROAD  NIGHT ,67
2,INT CAR  DAY  ,35
3,  EXT COUNTRY ROAD  DAY,31
4,  INT CAR  DAY,82
5,  EXT COUNTRY ROAD  DAY,6
6,  INT CAR  DAY,46
7,  EXT GRANDMA S HOUSE  DAY,199
8,  INT GRANDMA S HOUSE  LIVING ROOMHALLWAY  DAY,37
9,  INT GRANDMA S HOUSE  STAIRSBASEMENT,15
10,  INT LIVING ROOM  DAY,28
11,  INT BASEMENT  DAY,31
12,  INT KITCHEN  DAY,25
13,  INT BASEMENT  LATER THAT DAY,208
14,INT GRANDMA S HOUSE  GUEST BEDROOM  NIGHT ,9
15,EXT GRANDMA S HOUSE  FRONT PORCH  NIGHT ,96
16,  EXT GRANDMA S HOUSE  WOODS  NIGHT,10
17,  EXT CEMETERY  NEXT DAY,116
18,  INT LOCAL DINER  DAY,229
19,  INT CAR  NIGHT,18
20,  EXT COUNTRY ROAD  NIGHT,7
21,  INT CAR  NIGHT,15
22,  EXT COUNTRY ROAD  NIGHT,9
23,  INT GRANDMA S HOUSE  FRONT DOORHALLWAY  NIGHT,14
24,  INT GRANDMA S HOUSE  STAIRSBASEMENT,100
25,  INT LOCAL DINER  NIGHT,78
26,  INT CAR  NIGHT,10
27,INT GRANDMA S HOUSE  LIVING ROOM  NIGHT ,34
28,INT BATHROOM  NIGHT ,26
29,INT KITCHEN  NIGHT ,6
30,  EXT GRANDMA S HOUSE  LATER THAT NIGHT,127
31,AAEXT HIGHWAY  LATER THAT NIGHT ,16
32,EXT FRANKS HOUSE  LATER THAT NIGHT ,13
33,  INT FRANKS HOUSE  AMY S ROOM  NIGHT,8
34,INT FRANKS HOUSE  BEDROOM  NIGHT ,6
35,  EXT FRANKS HOUSE  NIGHT,5
36,  INT FRANKS HOUSE  AMY S ROOM  NIGHT,61
37,  INT FRANKS HOUSE  BEDROOM  NIGHT,5
38,  INT FRANKS HOUSE  AMY S ROOM  NIGHT,39
39,  EXT FRANKS HOUSE  NIGHT,5
40,  INT FRANKS HOUSE  AMY S ROOM  NIGHT,6
41,  INT FRANK S HOUSE  FOYER  NIGHT,119
42,  EXT FRANKS HOUSE  DAWN,7
43,  INT FRANKS HOUSE  KITCHEN  MORNING,83
44,  INT FRANKS HOUSE  DEN  DAY,9
45,  INT UNIVERSITY  HARTKINSON S OFFICE  DAY  INTERCUTAA,155
46,  EXT FRANKS HOUSE  NIGHT,16
47,  INT FRANKS HOUSE  DEN  NIGHT,142
48,  INT DINING ROOM  NIGHT  FLASHBACK,25
49,  INT CANDLELIT ROOM  NIGHT  FLASHBACK,12
50,  INT FRANKS HOUSE  DEN  NIGHT,144
51,  EXT COUNTRY ROAD  LATER THAT NIGHTAA,6
52,INT VAN  NIGHT ,39
53,  EXT OLD HOUSE  NIGHTAA,6
54,INT OLD HOUSE  NIGHT ,22
55,  INT OLD HOUSE  LARGE BANQUET ROOM  NIGHT,148
56,  INT WASHINGTON S TENT  DAY  FLASHBACK,16
57,INT OLD HOUSE  BANQUET ROOM  NIGHT ,31
58,  INT DINING ROOM  DAY  FLASHBACKAA,13
59,  INT OLD HOUSE  BANQUET ROOM  NIGHTBB,261
60, EXT FRANKS HOUSE  NIGHT ,23
61,  INT FRANKS HOUSE  KITCHEN  NIGHT ,48
