1,    INT APARTMENT  MORNING,46
2,    INT EDWARDS  ASSOCIATES OFFICE  INTERCUT,213
3,    INT CAR  MORNING,16
4,    EXT PARKING GARAGE  CONTINUOUS,90
5,    INT HIGH RISE  WINDOW OFFICE,261
6,    INT EDWARDS  ASSOCIATES OFFICE,88
7,    INT CLARK S OFFICE  INTERCUT,171
8,    INT MEETING ROOM,176
9,    INT MEETING ROOM  LATER,144
10,    INT ROSS S OFFICE  DAY,171
11,    INT EDWARDS  ASSOCIATES OFFICE  LATE NIGHT,178
12,    INT RENTAL VAN  MORNING,174
13,    EXT BUS STOP  MORNING,5
14,    EXT STREET  INTERCUT,8
15,    EXT CORNER  INTERCUT,97
16,    EXT FAR CORNER  INTERCUT,141
17,    INT VAN,13
18,    INT BUS  INTERCUT,23
19,    INT VAN ,23
20,    INT METROHEALTH INSURANCE  LOBBY  INTERCUT,18
21,    INT VAN  RESUME,42
22,    INT EDWARDS  ASSOCIATES OFFICE,53
23,    INT BAR  NIGHT,223
24,    EXT BAR  MOMENTS LATER,9
25,    EXT COLLEGE CAMPUS  NIGHT,61
26,    INT BETH S APARTMENT  CONTINUOUS,9
27,    INT ROSS S APARTMENT  MORNING,17
28,    INT CAMPUS POLICE STATION  MORNING,22
29,    INT ROSS S CAR,23
30,    INT EDWARDS  ASSOCIATES OFFICE,155
31,    INT ROSS S OFFICE  NIGHT,105
32,    INT MEGAN S APARTMENT  MORNING,52
33,    INT EDWARDS  ASSOCIATES OFFICE  DAY,202
34,    INT CONFERENCE SPACE  DAY,84
35,    INT CLARK S APARTMENT,98
36,    INT CONFERENCE ROOM,63
37,    INTEXT EDWARDS  ASSOCIATES OFFICE,36
38,    INT EDWARDS  ASSOCIATES OFFICE,114
39,    INT EDWARDS  ASSOCIATES OFFICE  LATER,123
40,    INT HIGH RISE  OFFICE,124
41,    INT EDWARDS  ASSOCIATES OFFICE  EVENING,18
42,    EXT PARKING GARAGE  EVENING,34
43,    INT CLARK S OFFICE,57
