1,      INT MIX  LOWER MANHATTAN  NIGHT,64
2,      INT MIX  EARLIER THAT NIGHT,322
3,      INT HOSPITAL  NEW ROCHELLE NEW YORK   ,6
4,      EXT TOM S CHILDHOOD HOME  NEW ROCHELLE  ,7
5,      INT TOM S MOM S DARK BEDROOM  ,6
6,      INT COLLEGE PARTY  BATHROOM  ,9
7,      INT COLLEGE DORM  ,6
8,      INT RESTAURANT  NIGHT  ,7
9,      INT TOM  LAURA S BROOKLYN APARTMENT  DAY,76
10,      INT CAL S APARTMENT  MANHATTAN  LATE NIGHT,121
11,      INT MIX  BACK OFFICE  NIGHT ,137
12,      INT OLD PICKUP TRUCK  PITTSBURGH   ,7
13,      EXT MAYA S FAMILY S HOUSE  PITTSBURGH  ,7
14,      EXT RUNDOWN BASKETBALL COURT  ,8
15,      INT CORNELL UNIVERSITY  GYMNASIUM  ,6
16,      INT CORNELL UNIVERSITY TRAINING ROOM  LATE NIGHT  ,6
17,      INT HIGHEND SPORTS LAW FIRM  ,7
18,      INT TIKI BARBER S APARTMENT  MORNING  ,112
19,      INT EQUINOX GYM  A FEW DAYS LATER,240
20,      INT MIX  BEHIND THE BAR  NIGHT,411
21,      INT MIX  WOMEN S BATHROOM,29
22,      INT MIX  BOOTH AREA  NIGHT,56
23,      INT MIX  NIGHT,6
