1,      EXTINT GREENBELT HIGH SCHOOL AUSTIN TX  DAY MAY ,153
2,      INT STUDENT GOVERNMENT MTNG GREENBELT HIGH  DAY ,11
3,      INT PEP RALLY GREENBELT HIGH  DAY ,13
4,      INT PROM GREENBELT HIGH SCHOOL  DAY ,80
5,      EXT GRADUATION CEREMONY GREENBELT HIGH SCHOOL  DAY ,50
6,      INT GOVERNMENT OFFICE  DAY PRESENT,7
7,      EXT CONSTRUCTION SITE  DAY PRESENT,7
8,      INT SUPERMARKET  DAY PRESENT,7
9,      INT CLASSROOM ELEMENTARY SCHOOL  DAY PRESENT,10
10,      EXT BEACH HAWAII  DAY PRESENT,9
11,      INT BEACH HUT HAWAII  NIGHT PRESENT,22
12,      INT FAT STAN S BAR HAWAII  NIGHTPRESENT,62
13,      INT FAT STAN S BAR HAWAII  DAY PRESENT,37
14,      EXT WASHINGTON DC  DAY PRESENT,7
15,      EXT CAPITOL BUILDING WASHINGTON DC  DAY PRESENT,29
16,      INT CONGRESSMAN TAUB S OFFICE WASHINGTON DC  DAY ,41
17,      INT BRENDA S OFFICE WASHINGTON DC  DAY PRESENT,127
18,      INT RESTAURANT WASHINGTON DC  DAY PRESENT,177
19,      EXT ANDERS HOLT  HOUSE  DAY PRESENT,8
20,      INT LIVING ROOM ANDERS  HOUSE  DAY PRESENT,149
21,      INT FAT STAN S BAR HAWAII  DAYPRESENT,60
22,      INT CLASSROOM BARTON SPRINGS ELEMENTARY SCHOOL  DAY ,14
23,      INT GREENBELT HIGH SCHOOL AUSTIN TX  DAY ,39
24,      INT BARTON SPRINGS ELEMENTARY AUSTIN TX  DAY PRESENT,8
25,      INT CLASSROOM ELEMENTARY SCHOOL  DAY PRESENT,23
26,      EXT KENNETH S HOUSE AUSTIN TX  DAYPRESENT,9
27,      INT KITCHEN KENNETH S HOUSE AUSTIN TX  DAY PRESENT,28
28,      INT BEDROOM KENNETH S HOUSE AUSTIN TX  NIGHT PRESENT,68
29,      INT CLASSROOM BARTON ELEMENTARY SCHOOL AUSTIN TX  DAY ,117
30,      EXT STREET AUSTIN TX  DAYPRESENT,7
31,      EXT COFFEE SHOP PATIO AUSTIN TX  DAY PRESENT,206
32,      EXT CAPITOL BUILDING WASHINGTON DC  NIGHTPRESENT,6
33,      INT BRENDA SERRANO S OFFICE WASHINGTON  NIGHTPRESENT,65
34,      EXT SPERM BANK AUSTIN TX  DAY PRESENT,30
35,      INT INTAKE ROOM SPERM BANK AUSTIN TX  DAY PRESENT,72
36,      INT DEN KENNETH S HOUSE AUSTIN TX  DAY PRESENT,9
37,      EXT COURTYARD GREENBELT HIGH SCHOOL  DAY ,236
38,      EXT STREET HERAT AFGHANISTAN  DAY PRESENT,28
39,      EXT ANDERS  HOUSE AUSTIN TX  DAY,58
40,      EXT NORTHWESTERN UNIVERSITY  DAY ,67
41,      EXT STREET HERAT AFGHANISTAN  DAYPRESENT,30
42,      EXT STREET HERAT AFGHANISTAN  DAY PRESENT,28
43,      INT KENNETH S HOUSE AUSTIN TX  DAY PRESENT,175
44,      INT KITCHEN JOYCE FOSTER S HOUSE  DAY PRESENT,103
45,      EXT STREET AUSTIN TX  DAY PRESENT,32
46,      INT RESTAURANT WASHINGTON DC  NIGHT PRESENT,150
47,      EXT STREET WASHINGTON DC  NIGHT PRESENT,8
48,      EXT ZILKER PARK AUSTIN TX  NIGHT MAY ,48
49,      EXT STREET  AUSTIN TX  NIGHT PRESENT,87
50,      EXT CEMETERY AUSTIN TX  DAY PRESENT,8
51,      INT BAR AUSTIN TX  NIGHT PRESENT,168
52,      EXT CEMETERY AUSTIN TX  DAY ,51
53,      EXT BEACH HAWAII  DAY PRESENT,6
54,      INT BAR AUSTIN TX  NIGHT PRESENT,66
55,      INT KENNETH S HOUSE  NIGHT PRESENT,153
56,      INT BRENDA SERRANO S OFFICE WASHINGTON DC  NIGHT ,51
57,      INT BAR AUSTIN TX  NIGHT PRESENT,24
58,      EXT KENNETH S HOUSE AUSTIN TX  SAME TIME,8
59,      INT BAR  MOMENTS LATER PRESENT,21
60,      EXT KENNETH S HOUSE AUSTIN TX  SAME TIME,14
61,      EXT STREET AUSTIN TX  SAME TIME,36
62,      INT AIRPORT AUSTIN TX  NIGHT PRESENT,10
63,      INT KITCHEN ANDER S HOUSE AUSTIN TX  NIGHT PRESENT,9
64,      INT BAR AUSTIN TX  NIGHT PRESENT,9
65,      INT KENNETH S HOUSE AUSTIN TX  NIGHT PRESENT,11
66,      EXT AFGHANISTAN  DAY PRESENT,9
