1,  EXT  CALSCI    NIGHT,276
2,  INT  EPPES HOUSE    NIGHT,64
3,  INT  HOSPITAL MORGUE    DAY,57
4,  INT  CHARLIES OFFICE    DAY,133
5,  INT GARAGE EPPES HOUSE   DAY,41
6,  INT FBI  WAR ROOM   DAY,95
7,  INT  CHARLIES OFFICE    DAY,80
8,  EXT  SKATEBOARD HANGOUT    DAY,37
9,  INT  FBI MEDICAL EXAMINERS OFFICE  DAY,67
10,  INT  HALLWAY  CHARLIES OFFICE  DAY,105
11,  INT  FBI BULLPEN  NIGHT,102
12,  INT  FBI COFFEE ROOM  DAY,48
13,  EXT BIG HOUSE  DAY,117
14,  EXT  CALSCI  DAY,209
15,  INT  FBI TECH ROOM  DAY,58
16,  INT  CHARLIE S OFFICE  DAY,35
17,  INT  EPPES HOUSE  NIGHT,112
18,  INT  FBI WAR ROOM  DAY,112
19,  EXT  SUBURBAN STREET  DAY,36
20,  INT  WAR ROOM  DAY,41
21,  INT  CHARLIE S OFFICE  DAY,134
22,  INT  FBI INTERVIEW ROOM  DAYAA,46
23,  EXT  FBI BRIDGE  DAY,28
24,  INT  COUNTY SUPERVISORS OFFICE  NIGHT,89
25,  INT  CALSCI  CHARLIE S OFFICE  NIGHT,13
26,  INT FBI BULLPEN  NIGHT,24
27,  INT FBI INTERVIEW ROOM  DAY,64
28,  INT FBI WAR ROOM  DAY,86
29,  EXT  CITY STREET  DAY,58
30,  INT CAR  CONTINUOUS,150
31,  EXT  DOWNTOWN STREET  DAY,21
32,  INT  FBI BULLPEN  DAY,22
33,  INT  WAR ROOM  DAY,43
34,  INT  JANE ALIANO S HOUSE  DAY,99
35,  INT  EPPES GARAGE  NIGHT,119
36,  INT  FBI ELEVATOR  NIGHT,59
37,  EXT  CITY PARK  NIGHT,42
38,  INT INTERVIEW ROOM  DAY,54
39,  EXT FBI SIDEWALK UNDER BRIDGE  DAY,45
40,  INT CHARLIE S OFFICE CALSCI  DAY,48
41,  INT FBI WAR ROOM  DAY,102
42,  EXT CONSTRUCTION SITE  DAY,29
43,  INT FBI INTERROGATION ROOM  DAY,58
44,  INT OBSERVATION ROOM  DAY,81
45,  EXT DRIVEWAY TUTTLES HOUSE  DAY,51
46,  EXT  BELOW BRIDGE  DAY,25
