1,      INT DANI S BEDROOM  DAWN,118
2,      INT DANI S KITCHEN,42
3,      EXT STREET  MORNING,7
4,      INT MINI COOPER  MOMENTS LATER,5
5,      INT HALLWAY  DAY,5
6,      INT GUEST BEDROOM  DAY,9
7,      INT THERAPIST S OFFICE  DAY,102
8,      INT DANI S BEDROOM  NIGHT,28
9,      INT GUEST BEDROOM  NIGHT,13
10,      INT DANI S BEDROOM  NIGHT ,18
11,      INT DANI S HOUSE  NIGHT ,10
12,      EXT FRONT YARD  CONTINUOUS ,56
13,      EXT FOOTBALL FIELD   DAY,18
14,      INT DANI S HOUSE  FOYER   MORNING,33
15,      INT KITCHEN  MOMENTS LATER,77
16,      INT HIGH END BAR  NIGHT,335
17,      INT MATTHEW S BEDROOM  MORNING,13
18,      INT BEDROOM  MOMENTS LATER,45
19,      INT BATHROOM  CONTINUOUS,64
20,      INT KITCHEN  MOMENTS LATER,41
21,      INT BEDROOM  MOMENTS LATER,36
22,      INT DANI S LEXUS  MORNING,33
23,      INT GARAGE  MOMENTS LATER,82
24,      INT HOUSE  MOMENTS LATER,6
25,      INT HAIR SALON  DAY,23
26,      EXT HAIR SALON  DAY,20
27,      INT DANI S CAR  MOMENTS LATER,15
28,      INT HIGH END BOUTIQUE  DAY,28
29,      INT DANI S CAR  EVENING,12
30,      INT DANI S CAR  DAY,13
31,      EXT PRACTICE FACILITY  DAY,5
32,      INT PRACTICE FACILITY  DAY,10
33,      INT PRACTICE FACILITY HALLWAY  MOMENTS LATER,12
34,      INT MATTHEW S OFFICE  DAY,77
35,      INT DANI S OFFICE  DAY,33
36,      INT DANI S OFFICE  DAY,7
37,      INT FOYER  CONTINUOUS,114
38,      INT DANI S OFFICE  MOMENTS LATER,138
39,      INT DANI S KITCHEN   CONTINUOUS,15
40,      INT DANI S OFFICE  DAY,14
41,      INT LOCKER ROOM  DAY,28
42,      INT DANI S OFFICE  CONTINUOUS,12
43,      EXT FOOTBALL FIELD  FLASHBACK,14
44,      INT DANI S OFFICE  CONTINUOUS,41
45,      EXT DANI S HOUSE  DAY,65
46,      INT LINDSAY S ROOM  MOMENTS LATER,20
47,      INT GUIDANCE COUNSELOR S OFFICE,36
48,      INT DANI S LEXUS  LATER,29
49,      INT ITALIAN RESTAURANT  NIGHT,108
50,      INT SILVER TOYOTA CAMRY  ACROSS THE STREET,14
51,      INT DANI S BEDROOM  NIGHT,16
52,      INT DANI S LIVING ROOM  DAY,63
53,      INT STADIUM  CONTINUOUS,8
54,      INT DANI S HOUSE  DAY,5
55,      INT KITCHEN  CONTINUOUS,29
56,      INT BARCLUB  NIGHT,54
57,      INT DANI S BEDROOM  NIGHT,9
58,      INT DANI S OFFICE  DAY,62
59,      EXT DANI S DOOR  DAY,14
60,      INT LIVING ROOM  DAY,78
61,      EXT DANI S HOUSE  DAY,8
62,      INT DANI S OFFICE  DAY,134
63,      EXT PRACTICE FACILITY  DAY,4
64,      INT PRACTICE FIELD  DAY,18
65,      INT HALLWAYMEN S LOCKER ROOM  DAY,9
66,      INT LOCKER ROOM  DAY,16
67,      INT MEDIA ROOM  CONTINUOUS,173
68,      INT SCHOOL  DAY,91
69,      INT HALLWAY  MOMENTS LATER,28
70,      EXT HIGH SCHOOL FOOTBALL FIELD  NIGHT,15
71,      EXT HIGH SCHOOL FOOTBALL FIELD  NIGHT,101
72,      EXT BLEACHERS  MOMENTS LATER,74
73,      EXT BLEACHERS  MOMENTS LATER,15
74,      EXT PARKING LOT  MOMENTS LATER,24
75,      EXT HIGHWAY  NIGHT,87
76,      EXT CEMETERY  DUSK,42
77,      INT SCHOOL  DAY,31
78,      INT SCHOOL HALLWAY  MOMENTS LATER,6
79,      INT GIRL S BATHROOM  CONTINUOUS,13
80,      EXT DANI S STREET  DAY,8
81,      INT TRAINING FACILITY  DAY,12
82,      INT DANI S CAR  CONTINUOUS,39
83,      EXT STREET  NIGHT  LATER,14
84,      INT HOUSE  NIGHT,29
85,      INT LINDSAY S ROOM  NIGHT,87
86,      INT BEDROOM  NIGHT,25
87,      INT LAWYER S OFFICE  DAY,52
88,      INT MEN S BATHROOM  MOMENTS LATER,63
89,      INT DANI S BEDROOM  NIGHT,9
90,      INT LIVING ROOM  NIGHT,75
91,      EXT DANI S HOUSE  NIGHT,53
92,      EXT RUN DOWN HOUSE  NIGHT,109
93,      EXT NICO S CAR  NIGHT,49
94,      EXT DANI S HOUSE  DAWN,6
95,      INT DANI S HOUSE  DAWN,42
96,      INT LIVING ROOM  MORNING,67
97,      INT FOYER   CONTINUOUS,11
98,      INT KITCHEN  MOMENTS LATER,55
99,      EXT HAWKS PRACTICE FACILITY  DAY,16
