1,J        INT TAXI NIGHT,44
2,      INT CECE S APARTMENT CROSS CUT,99
3,      EXT NEW YORK STREET MOMENTS LATER,18
4,      INT APARTMENT CONTINUOUS,56
5,      INT A LOFT DAY A COUPLE WEEKS LATER,103
6,      INT GUYS  LOFT FLASHBACK,8
7,      INT GUY S LOFT FLASHBACK,97
8,      INT THE LOFT MORNING ANOTHER DAY,28
9,      INT THE LOFT ANOTHER DAY ,27
10,      INT THE LOFT ANOTHER NIGHT,33
11,      INT LIVING ROOM SAME TIME,52
12,      INT GARFIELD ELEMENTARY HALLWAY LATER THAT DAY,20
13,      INT SOUND STAGE CROSS CUT,10
14,      INT HIGH SCHOOL AUDITORIUM FLASHBACK,57
15,      INT SCHMIDT S OFFICE MEETING ROOM SAME TIME ,30
16,      INT SCHMIDT S OFFICE BULLPEN LATER ,10
17,      INT THE LOFT CROSS CUT,20
18,      INT VICTORIA S SECRET PARTY FLASHBACK,21
19,      INT THE LOFT FLASHBACK,48
20,      INT SQUEEZE GYM OFFICE A LITTLE LATER,34
21,      INT SQUEEZE GYM FLASHBACK,26
22,      INT THE LOFT LATER THAT DAY ,37
23,      INT THE LOFT BATHROOM CONTINUOUS,17
24,      INT THE LOFT JESS  BEDROOM CONTINUOUS,35
25,      INT THE BAR NIGHT,297
26,      INT THE LOFT LIVING ROOM FLASHBACK,135
27,      INT COFFEE SHOP THE NEXT DAY,83
28,      INT SQUEEZE GYM SPIN CLASS SAME TIME ,45
29,      INT THE LOFT LATER THAT NIGHT,172
30,      INT RESTAURANT LATER,14
31,      EXT OUTSIDE THE VICTORIA S SECRET PARTY SAME TIME,123
32,      INT RESTAURANT LATER,124
