1,      INT CECE S APARTMENT MORNING D,207
2,      INT LOFT KITCHEN MORNING D,201
3,      INT LOFT LATER D,119
4,      INT LOFT KITCHEN THE NEXT DAY D,122
5,      INT LOFT MORNING FLASHBACKFIVE YEARS EARLIERAA,48
6,      EXT STREET OUTSIDE THE LOFT SAME TIME D,63
7,      INT LOFT LATER D,45
8,      INT NICK S ROOM MOMENTS LATER D,151
9,      INT LOFT KITCHEN THE NEXT MORNING DAA,42
10,      EXT PICNIC TABLE DAY FLASHBACK BB,6
11,      EXT STREET NIGHT FLASHBACKCC,8
12,      INT JESS  CAR NIGHT FLASHBACK A YEAR AGODD,21
13,      INT LOFT DAY FLASHBACK FOUR MONTHS AGOGG,120
14,      INT LOFT WINSTON S ROOM SAME TIME D,4
15,      INT LOFT LIVING ROOM CONTINUOUS D,129
16,      INT LOFT SCHMIDT S ROOM MOMENTS LATER D,52
17,      EXT RACE START AREA THE NEXT DAY D,23
18,      EXT ROADSIDE LATER D,173
19,      EXT RACE LATER D,60
20,      EXT FINISH LINE MUCH LATER N,32
21,      INT LOFT KITCHEN THAT NIGHT N,59
