1,      INT  CAMERON GREY UNCHECKED  STUDIO,42
2,      INT PRISON ROOM,14
3,      EXT ONION NEWS NETWORK HEADQUARTERS  CONTINUOUS,18
4,      INT CONTROL ROOM  MORNING,28
5,      INT HELENA S OFFICE  MOMENTS LATER,80
6,      EXT PARKPLAYGROUND  DAY,9
7,      INT NEWSROOM BULLPEN  SAME AS BEFORE,91
8,      EXT WELL  DAY LOCAL NEWS BROADCAST GREENSCREEN,49
9,      INT ONN BABY NEWS STUDIO,22
10,      INT NEWSROOM HALLWAY  CONTINUOUS,15
11,      INT NEWSROOM STUDIO  CONTINUOUS,34
12,      INT NEWSROOM BULLPEN  MOMENTS LATER,55
13,      INT NEWSROOM BULLPEN  MINUTES LATER,98
14,      INT NEWSROOM  MOMENTS LATER,29
15,      INT GIMMEE AWARDS CEREMONY BALLROOM ,13
16,      INT DAVID S OFFICE  AFTERNOON,80
17,      EXT JERSEY DOCKS  CONTINUOUS,27
18,      EXT RIVER FISHING PIER   MINUTES LATER,36
19,      INT NEWSROOM NEWSDESK,42
20,      INT CONTROL ROOM  MOMENTS LATER,32
21,      INT NEWSROOM STUDIO  MOMENTS LATER,20
22,      INT NEWSROOM BULLPEN  LATER,6
23,      INT CAMERON GREY S OFFICE  CONTINUOUS,38
24,      INT ONN CONTROL ROOM  EXT DOCKS  LATER,61
25,      INT DAVID S OFFICE  LATER,37
26,      INT CAMERON GREY UNCHECKED SET,21
27,      INT NEWSROOM BULLPEN  SAME TIME,80
28,      EXT ONION NEWS NETWORK HQ  DAY,24
29,      INT NEWSROOM BULLPEN ,33
30,      INT HELENA S OFFICE  NIGHT FLASHBACK,47
31,      INT BULLPEN WEST S DESK  LATER,61
32,      INT CAMERON GREY S OFFICE  DAY,59
33,      INT ONN CONTROL ROOM  NIGHT,42
34,      INT NEWSROOM STUDIO STAND UP POSITION,27
35,      EXT DOCKS  DAY ,8
36,      INT CONTROL ROOM  CONTINUOUS,15
37,      INT STUDIO B CONTINOUS ,18
38,      EXT SHADY PART OF TOWN  EVENING,38
39,      INT CAMERON S OFFICE,66
40,      INT NEWSROOM BULLPEN  EVENING  CONTINUOUS,85
41,      INT HELENA S OFFICE  NIGHT,67
42,      INT UNDERGROUND BUNKER  NIGHT,12
