1,  INT GARZA S HOUSE  BEDROOM  MORNING,72
2,  INT GARZA S PORSCHE  DAY,25
3,  INT SUPREME COURT  COURTROOM  DAY,32
4,  INT VERIZON CENTER  NIGHT,33
5,  EXT A CAR MOVING  NIGHT,11
6,  INT DAD S PRIUS  NIGHT,35
7,  INT CHURCH  DAY,8
8,  INT GREENSVILLE PENITENTIARY  VISITING AREA  NIGHT,65
9,  INT ATLANTIC CITY CASINO  NIGHT,46
10,  INT CASINO  LOBBY  NIGHT,36
11,  EXT ATLANTIC CITY HOTEL  ENTRANCE  CONTINUOUS,114
12,  INT GARZA S HOUSE  LIVING ROOM  NIGHT,7
13,  INT GARZA S HOUSE  STUDY  NIGHT,19
14,  INT SUPREME COURT  GARZA S RECEPTION AREA  DAY,42
15,  INT SUPREME COURT  GARZA S CHAMBERS  DAY,175
16,  INT SUPREME COURT  GARAGE  NIGHT,10
17,  INT LIMO  NIGHT,83
18,  EXT LIMO  NIGHT,5
19,  EXT GARZA S HOUSE  DRIVEWAY  NIGHT,116
20,  INT SUPREME COURT  GARZA S CHAMBERS  DAY,8
21,  INT SUPREME COURT  COURTROOM  DAY,13
22,  INT SUPREME COURT  COURTROOM  LATER,37
23,  INT GARZA S HOUSE  STUDY  NIGHT,11
24,  INT LIMO  INTERCUT,23
25,  EXT SUPREME COURT  DAY,8
26,  INT SUPREME COURT  GARZA S CHAMBERS  DAY,48
27,  INT AL S HOUSE  KITCHEN  DAY,80
28,  EXT GARZA S HOUSE  LIVING ROOM  DAY,188
29,  INT DISTRICT ATTORNEY S OFFICE  DAY,96
30,  INT GREENSVILLE PENITENTIARY  VISITING AREA  DAY,64
31,  INT FEDERAL DISTRICT COURT  COURTROOM  DAY,104
32,  EXT BODY FARM  WOODS  DAY,113
33,  INT ST JOHN S HOSPITAL  DOCTOR S LOUNGE  NIGHT,64
34,  INT GARZA S HOUSE  KITCHEN  NIGHT,57
35,  INT GARZA S HOUSE  STUDY  NIGHT,35
36,  INT GARZA S HOUSE  OUTSIDE STUDY  NIGHT,10
37,  EXT DEPARTMENT OF ENERGY  DAY,59
38,  EXT GARZA S HOUSE  BACK PORCH  DAY,138
39,  INT GARZA S HOUSE  LIVING ROOM  DAY,9
40,  INT GARZA S HOUSE  STUDY  DAY,73
41,  INT FEDERAL DISTRICT COURT  COURTROOM  DAY,102
42,  INT FEDERAL DISTRICT COURT  HALLWAY OUTSIDE COURTROOM  DAY,106
43,  EXT FEDERAL DISTRICT COURT  DAY,109
44,  INT GARZA S HOUSE  LIVING ROOM  DAY,104
45,  INT GARZA S HOUSE  LIVING ROOM  LATER,15
46,  INT GARZA S HOUSE  LIVING ROOM  LATER,24
47,  INT GARZA S HOUSE  LIVING ROOM  LATER,57
48,  EXT ALLEY  NIGHT,5
49,  INT LUCINDA S GREMLIN  NIGHT,55
50,  INT FIRST BAPTIST CHURCH  DAY,57
51,  INT FEDERAL DISTRICT COURT  DAY,285
52,  INT PENITENTIARY  HALLWAY  DAY,70
53,  EXT GARZA S HOUSE  DRIVEWAY  DAY,108
54,  INT GARZA S HOUSE  STUDY  DAY,60
