1,EXT  KANSAS CITY  MORNING,40
2,INT  MID AMERICA NOVELTIES  HALLWAY  CONTINUOUS,9
3,INT MID AMERICA NOVELTIES  CALL CENTER  MOMENTS LATER,245
4,EXT  INDIA  CITY STREET  DUSK,167
5,INT  CALL CENTERBULLPEN  LATER THAT EVENING,321
6,EXT  COMMISSARY  NIGHT,310
7,INT  CALL CENTER HALLWAYOFFICE  LATER,13
8,INT  CALL CENTERBULLPEN  MOMENTS LATER,52
9,INT  CALL CENTERKITCHENBREAK ROOM  MOMENTS LATER,151
10,INT  CALL CENTERBULLPEN  MINUTES LATER,292
11,EXT  INDIAN CITY  THE NEXT EVENING,7
12,INT  CALL CENTERBULLPEN  CONTINUOUS,91
13,INT  CALL CENTERBULLPEN  SEVERAL MINUTES LATER,410
