1,EXT UNIVERSITY OF CHICAGO CAMPUS  DAY,54
2,INT CLASSROOM  UNIVERSITY OF CHICAGO  DAY,149
3,EXT UNIVERSITY OF CHICAGO CAMPUS  DAY,98
4,EXT UNIVERSITY OF CHICAGO CAMPUS  FOUNTAIN  DAY,64
5,INT PIERCE S OFFICE  DAY,120
6,INT INTERROGATION ROOM  CHICAGO PD  DAY,22
7,INT OBSERVATION ROOM  CONTINUOUS,59
8,INT OBSERVATION ROOM  DAY,38
9,INT PRECINCT BULLPEN  CONTINUOUS,67
10,EXT SANTECH HEADQUARTERS  DAY,4
11,INT SANTECH HEADQUARTERS  CEO S OFFICE  DAY,67
12,INT UNIVERSITY OF CHICAGO HOSPITAL  PSYCH WARD  DAY,30
13,INT UNIVERSITY OF CHICAGO HOSPITAL  CORRIDOR  DAY,105
14,INT PIERCE S OFFICE  DAY,121
15,EXT RUNDOWN APARTMENT BUILDING  DAY,4
16,INT ND GOVERNMENT SEDAN  SAME,15
17,INT RUN DOWN APARTMENT BUILDING   HALLWAY  DAY,13
18,INT RUNDOWN APARTMENT  DAY,26
19,EXT FIRE ESCAPE  SECOND STORY  DAY,43
20,INT FBI CHICAGO FIELD OFFICE  INTERROGATION ROOM  DAY,59
21,INT FBI CFO  OBSERVATION ROOM  CONTINUOUS,88
22,INT FBI CFO  BULLPEN  LATER,81
23,INT SANTECH HEADQUARTERS  LAB  INNER OFFICE  DAY,103
24,INT SANTECH HEADQUARTERS  LAB  A FEW MINUTES LATER,59
25,INT PIERCE S OFFICE  NIGHT,108
26,INT PIERCE S LIVING ROOM  NIGHT,87
27,INT PIERCE S LIVING ROOM  LATER,18
28,INT FOYER  NIGHT,173
29,INT PIERCE S HOUSE  MORNING,12
30,INT PIERCE S KITCHEN  DAY,122
31,INT DEAN S OFFICE  DAY,51
32,INT PIERCE S OFFICE  DAY,184
33,INT UNIVERSITY OF CHICAGO HOSPITAL  PSYCH WARD  NIGHT,71
34,INT VALERIE S APARTMENT   CORRIDOR  NIGHT,11
35,INT VALERIE S APARTMENT  NIGHT,20
36,EXT VALERIE NELSON S APARTMENT  NIGHT,27
37,INT FBI CFO  INTERROGATION ROOM  DAY,31
38,INT FBI CFO  OBSERVATION ROOM  CONTINUOUS,226
39,INT FBI CFO  INTERROGATION ROOM,13
40,INT FBI CFO  OBSERVATION ROOM  DAY,68
41,INT SANTECH HEADQUARTERS  LAB  DAY,177
42,INT SANTECH HEADQUARTERS  LAB  NIGHT FLASHBACK,9
43,EXT RESIDENTIAL STREET  NIGHT FLASHBACK,9
44,INT SANTECH HEADQUARTERS  LAB  PRESENT,14
45,INT BOB WEILMAN S STUDY  NIGHT FLASHBACK,45
46,INT SANTECH LAB  DAY  PRESENT,10
47,INT SANTECH HEADQUARTERS  CORRIDOR  DAY,65
48,EXT SANTECH HEADQUARTERS  PARKING LOT  DAY,43
49,INT UNIVERSITY OF CHICAGO HOSPITAL  PSYCH WARD  DAY,66
50,INT UNIV OF CHICAGO HOSPITAL  VALERIE NELSON S ROOM  DAY,165
51,INT UNIVERSITY OF CHICAGO HOSPITAL  CORRIDOR  DAY,59
52,INT PIERCE S OFFICE  DAY,42
53,INT CORRIDOR  CONTINUOUS,32
54,INT PIERCE S CLASSROOM  DAY,24
55,INT UNIV OF CHICAGO HOSPITAL  PAMELA WEILMAN S ROOM  DAY,12
56,INT UNIVERSITY OF CHICAGO HOSPITAL  PSYCH WARD  DAY,12
57,INT PIERCE S CLASSROOM  DAY,10
58,INT ROSSI S APARTMENT  NIGHT,14
