1,      INT BACKSTAGE AT THE AFTERSCHOOLTALENT SHOW  ,113
2,      INT AUDITION ROOM  DAY  ,45
3,      INT PSYCH OFFICE  CONTINUOUS,121
4,      INT SANTA BARBARA POLICE STATION  NIGHT,218
5,      INT POLICE STATION  DAY,23
6,      INT AUDITION ROOM  DAY ,58
7,      INT AUDITION ROOM  DAY,102
8,      INT CONTESTANTS HOLDING AREA  DAY,51
9,      INT BACKSTAGE AREA  DAY,152
10,      INT CATWALK  DAY,36
11,      INT NIGEL S TRAILER  DAY,33
12,      EXT NIGEL S TRAILER  DAY,74
13,      INT POLICE STATION  DAY,26
14,      INT INTERROGATION ROOM A  DAY,37
15,      INT POLICE STATION HALLWAY  DAY,68
16,      INT INTERROGATION ROOM B DAY,30
17,      INT INTERROGATION ROOM  DAY,65
18,      INT INTERROGATION ROOM A  LATER,51
19,      INT HOTEL HALLWAY  NIGHT,23
20,      INT NIGEL S HOTEL SUITE  NIGHT,44
21,      INT POLICE STATION  INTERIM CHIEF S OFFICE  NIGHT  ,41
22,      INT POLICE STATION  DAY,46
23,      INT PRECINCT  INTERROGATION ROOM B  LATER,94
24,      INT POLICE STATION  DAY,18
25,      INT FOUR SEASONS  NIGEL S SUITE  SAME,33
26,      EXT PSYCH OFFICE  SAME,4
27,      INT PSYCH OFFICE  CONTINUOUS,117
28,      INT GUS  CAR  LITTLE LATER,26
29,      EXT HENRY SPENCER S HOME  SAME,16
30,      INT PRECINCT  INTERROGATION ROOM B  SAMEISH,81
31,      INT HENRY SPENCER S EATIN KITCHEN  LATER,61
32,      INT INTERROGATION ROOM  NIGHT,20
33,      INT HENRY SPENCER S HOME  NIGHT,164
34,      INT FOUR SEASONS  EMILINA S SUITE  SAME TIME,30
35,      EXT CONVENTION CENTER  NEXT MORNING,149
36,      INT FOUR SEASONS  HALLWAY OUTSIDE EMILINA S SUITE  LATER,94
37,      INT FOUR SEASONS  EMILINA S BATHROOM  CONTINUOUS,96
38,      INT FOUR SEASONS  HALLWAY OUTSIDE EMILINA S SUITE  LATER,35
39,      INT BATHROOM  LATER,46
40,      INT ST THOMAS OF THE APOSTLES  EMILINA S ROOM  LATER,85
41,      INT PSYCH OFFICE  CONTINUOUS,76
42,      INT CONVENTION CENTER   MINUTES TWO DONUTS LATER,271
