1,      EXT NEIGHBORHOOD STREET  DAY  ,90
2,      INT POLICE STATION  PRESENT DAY DAY,84
3,      EXT POLICE STATION  CONTINUOUS,48
4,      EXT POLICE STATION  CONTINUOUS,219
5,      INT CHEZ VOUS RESTAURANT  DAY,169
6,      EXT CHOP SHOP WAREHOUSE  DAY,15
7,      INT POLICE STATION  DAY,44
8,      INT POLICE STATION  INTERIM CHIEF S OFFICE  CONTINUOUS,112
9,      EXT CHOP SHOP WAREHOUSE  DAY,131
10,      INT PSYCH OFFICE  NIGHT,89
11,      INT GUS  OFFICE  NIGHT,203
12,      INT POLICE STATION  DAY,132
13,      INT COUNTY JAIL VISITING BOOTH  DAY,60
14,      INT SPA OJAI  RELAXATION ROOM  DAY,163
15,      INT  BLING IT ON  CUSTOM CAR SHOP  DAY,81
16,      INT GUS  CAR  DAY,131
17,      INT POLICE STATION  DAY,92
18,      INT GUS  CAR  LATER,118
19,      INT  BLING IT ON  CUSTOM CAR SHOP  MOMENTS LATER,104
20,      INT HENRY SPENCER S HOME  LATER,282
21,      INT GUS  CAR  MOMENTS LATER,42
22,      INT  BLING IT ON  CUSTOM CAR SHOP  LATER,16
23,      INT  BLING IT ON  CUSTOM CAR SHOP  GARAGE  CONTINUOUS,72
24,      INT COUNTY JAIL VISITING BOOTH  DAY,78
25,      INT PSYCH OFFICE  DAY,60
26,      INT AUDITORIUM  LOBBY  DAY,22
27,      INT AUDITORIUM  SEMINAR ROOM  MOMENTS LATER,238
28,      EXT FIELD  MOMENTS LATER,199
