1,      INT BACKSTAGE  NIGHT  ON SAM,109
2,      INT BOBBYS BLUE NOTE NIGHTCLUB  NIGHT  FEATURING SAM,41
3,                                                                              CUT TO      EXT CHICAGO STREET  NIGHT  ON SAM AND GIRLS,243
4,      INT WALTERS HOME  MIRROR SHOT,398
5,      EXT CHURCH FRONT  DAY  ESTABLISHING  STOCK,14
6,      INT CHURCH FRONT  DAY  FEATURING LYNELL SAM AND PAULA,115
7,      INT SIDE CORRIDOR OF CHURCH  ON SAM AND AL,158
8,      EXT WALTERS HOME  DAY  ESTABLISHING,14
9,      INT LYNELLS BEDROOM  MIRROR SHOT,307
10,      INT WALTERS LIVING ROOM  DAY  FEATURING SAM AND BOBBY ,158
11,       L          EXT WALTERS PORCH  ON SAM AND LYNELL,64
12,      EXT CHICAGO SOUTHSIDE ELL TRACKS  NIGHT ESTABLISHING  ,6
13,      INT WALTERS LIVING ROOM  NIGHT  FEATURING LYNELL,262
14,      INT BLUE NOTE CLUB  DAY  ON SAM AND GIRLS,124
15,      INT BACKSTAGE WINGS  ON LYNELL AND BOBBY,54
16,      INT STAGE  ON SAM AL AND RAINY,61
17,      INT BACKSTAGE  DAY  ON BOBBY AND LYNELL  CONTINUOUS,22
18,      INT STAGE  FEATURING BOBBY LYNELL AND AL  SFX,141
19,      INT CHURCH  EVENING  FEATURING REVEREND WALTERS,180
20,      EXT WALTERS HOME  NIGHT  ESTABLISHING,8
21,      INT LYNELLS ROOM  CLOSE ON LYNELL,141
22,      INT ON STAGE  CLOSE ON MALE SINGER,5
23,      INT CLUB  BACKSTAGE WINGS  CLOSE ON BOBBY LEE,345
