1,  INT  APARTMENT  NIGHT,219
2,  EXT  MIKKIS BUILDING  NIGHT,10
3,  EXT  WU S CAFE  DAYAA,5
4,  INT  WU S CAFE  THE NEXT DAY,11
5,  INT  KEEGANS APARTMENT  AT THE SAME TIME,8
6,  EXT  WU S CAFE  MINUTES LATER,9
7,  INT  WU S CAFE  MINUTES LATER,239
8,  EXT  STREET  WU S VAN  DAYAA,5
9,  INT  WU S VAN  LATER,71
10,  EXT  CHURCH  LATER,59
11,  INT  CHURCH  LATER,178
12,  EXT  FRANCES  HOUSE  DAY,5
13,  INT  FRANCES  HOUSE  DAY,81
14,  INT  FRANCES  HOUSE  STUDY  MOMENTS LATER,146
15,  INT  FRANCES  HOUSE  STUDY  DAY,206
16,  INTEXT  BARALLEY  LATER THAT NIGHT,171
17,  EXT  DOWNTOWN LOS ANGELES  THE NEXT DAY,6
18,  INT  OFFICE  MOMENTS LATER,178
19,  INT  FEDERAL COURT  LATER,134
20,  INT  FEDERAL COURT  HALLWAY,47
21,  EXT  DOWNTOWN BOOK SHOP  LATER,7
22,  INT DOWNTOWN BOOK SHOP  MOMENTS LATER,17
23,  INT OFFICE  AT THE SAME TIME,49
24,  INT  MAYOR S OFFICE  AT THE SAME TIME,77
25,  EXT  MIKKIS BUILDING  LATER,46
26,  INT  MIKKIS BUILDING  PENTHOUSE  MOMENTS LATER,222
27,  EXT  CITY HALL  DAYAA,5
28,  INT  CITY HALL  PRESS BRIEFING ROOM  DAY,33
29,  INT  LA COUNTY JAIL  DAY,6
30,  INT  LA COUNTY JAIL  MOMENTS LATER,409
31,  EXT  MURRAY HOUSE  LATER THAT DAY,15
32,  INT  CITY HALL  MAYOR S OFFICE  AT THE SAME TIME,107
33,  INT  MURRAY HOUSE  LATER,162
34,  INT  BEN AND SCARLET S HOUSE  THAT NIGHT,45
35,  INT  BEN AND SCARLET S  KITCHEN  MOMENTS LATER,169
36,  EXT  KEEGAN S APARTMENT  WINDOW NIGHTAA,7
37,  INT  KEEGAN S APARTMENT  NIGHT,72
38,  INT  MADDYS HOUSE  LIVING ROOM  THE NEXT DAY,82
39,  INT  MADDY S CAR  LATER,240
40,  INT  LECTURE HALL  MINUTES LATER,55
41,  EXT  CAMPUS  MOMENTS LATER,318
42,  INT COURT  CONFERENCE ROOM  DAY,76
43,  EXT  COURT  DAY,7
44,  INT  COURT  DAY,87
45,  INT  COURT  LATER,188
46,  INT  COURT  LATER,143
47,  INT  MAYOR S OFFICE  DUSK,37
48,EXT COURT  DUSK ,139
