1,      EXT TWO LANE ROAD  MORNING,69
2,      INT IMPALA  CONTINUOUS,11
3,      INT HONDA CIVIC  CONTINUOUS,36
4,      INT LAND CRUISER  CONTINUOUS,34
5,      INT LAND CRUISER  CONTINUOUS,57
6,      INT HOLDING AREA  CONTINUOUS,55
7,      EXT PRISON  CONTINUOUS,18
8,      INT HONDA CIVIC  CONTINUOUS,89
9,      INT DEATH ROW  FLASHBACK,49
10,      INT HOLDING AREA  PRESENT DAY,46
11,      EXT PRISON  CONTINUOUS,35
12,      INT HOLDING AREA  CONTINUOUS,13
13,      INT GUARD ROOM  CONTINUOUS,59
14,      EXT PRISON  LATER,51
15,      INT PRISON HALLWAY  MOMENTS LATER,40
16,      INT PUBLIC ROOM  CONTINUOUS,59
17,      EXT PRISON  LATER,156
18,      EXT PRISON  DAY,6
19,      INT HONDA CIVIC  CONTINUOUS,38
20,      INT TEBOW KITCHEN  LATE AFTERNOON,143
21,      INT BATHROOM  CONTINUOUS,12
22,      INT DEATH ROW  FLASHBACK,77
23,      INT TEBOW DINING ROOM  EVENING,96
24,      INT TED JRS BEDROOM  CONTINUOUS,20
25,      EXT PRISON  NIGHT,106
26,      INT NURSING HOME  CONTINUOUS,19
27,      INT TEBOW FAMILY ROOM  CONTINUOUS,7
28,      INT TEBOW KITCHEN  CONTINUOUS,28
29,      EXT TEBOW HOUSE  NIGHT,9
30,      INT EXTENDED STAY MOTEL  CONTINUOUS,159
31,      INT TEBOW FAMILY ROOM  NIGHT,96
32,      INT SHERIFFS OFFICE  NIGHT,126
33,      INT HONDA CIVIC  NIGHT,89
34,      INT SHERIFFS OFFICE  CONTINUOUS,130
35,      INT JANETS BEDROOM  CONTINUOUS,39
36,      EXT PAULIE  LATER,5
37,      INT HONDA CIVIC  CONTINUOUS,55
38,      INT SHERIFFS CAR  CONTINUOUS,5
39,      INT HONDA CIVIC  CONTINUOUS,12
40,      EXT PAULIE  CONTINUOUS,5
41,      INT HONDA CIVIC  CONTINUOUS,9
42,      INT HONDA CIVIC  CONTINUOUS,14
43,      EXT ALAPAHA RIVER  PREDAWN,22
44,      EXT HONDA CIVIC  LATER,46
45,      INT PAULIE TIRE AND RIM COMPANY  MORNING,112
46,      INT MARCYS CAFE  MORNING,108
47,      INT TUNDRA  CONTINUOUS,9
48,      EXT CLEARING  CONTINUOUS,119
49,      EXT CLEARING  MOMENTS LATER,7
50,      INT EXTENDED STAY MOTEL  DAY,8
51,      EXT TEBOW BACK YARD  DAY,157
52,      INT EXTENDED STAY MOTEL  CONTINUOUS,5
53,      INT BATHROOM  CONTINUOUS,12
54,      INT DEATH ROW  FLASHBACK ,112
55,      INT BATHROOM  CONTINUOUS,5
56,      INT TEBOW KITCHEN  DAY,147
