1,EXT LEMAN STREET  EVENING ,55
2,EXT COMMERCIAL STREET  MILLERS COURT  EVENING ,72
3,      EXT FOLGATE CONTINUOUS,59
4,EXT STREETS  NIGHT ,32
5,INT DOCKSIDE WAREHOUSE  NIGHT ,130
6,EXT STREETS  NIGHT ,18
7,EXT FOLGATE NIGHT ,152
8,EXT FOLGATE NIGHT ,72
9,EXT CARRIAGE  TRAVELLING  NIGHT ,30
10,      EXT  TENTER STREET  NIGHTAA,6
11,INT  TENTER STREET  ROSE S ROOM  NIGHT ,28
12,      INT  TENTER STREET  CORRIDOR  CONTINUOUS,17
13,INT  TENTER STREET  RECEPTION  NIGHT ,26
14,      INT  TENTER STREET  ROSE S ROOM  MOMENTS LATER,44
15,      EXT LEMAN STREET H DIVISION HQ  NIGHTAA,15
16,INT LEMAN STREET  BOOKING OFFICE  NIGHT ,10
17,      INT LEMAN STREET  OUTER OFFICE  NIGHTAA,12
18,      INT LEMAN STREET  REID S OFFICE  NIGHTBB,11
19,      INT LEMAN STREET  CELLS  NIGHTCC,11
20,INT CELL  LEMAN STREET  NIGHT ,47
21,      INT CELL  LEMAN STREET  LATER,68
22,      INT LEMAN STREET  MOMENTS LATER,39
23,EXT CREIGHTON BASEMENT  NIGHT ,10
24,      INT CREIGHTON BASEMENT  NIGHT,108
25,INT THE STAR  DAY ,138
26,INT LEMAN STREET  DAY ,41
27,      INT CORRIDORS  LEMAN STREET  MOMENTS LATER,17
28,      INT CELL  LEMAN STREET  MOMENTS LATER,26
29,      INT CORRIDOR OUTSIDE CELL  LEMAN STREET  CONTINUOUS,5
30,      INT CELL  LEMAN STREET  CONTINUOUS,35
31,      EXT CORRIDOR OUTSIDE CELL  LEMAN STREET  CONTINUOUS,18
32,      INT CELL  LEMAN STREET  CONTINUOUS,34
33,INT CELL  LEMAN STREET  DAY ,152
34,      INT LEMAN STREET  BOOKING OFFICE  MOMENTS LATERAA,42
35,INT LEMAN STREET  COMMUNICATIONS ROOM  DAY ,67
36,      EXT REID HOME  DAY,5
37,INT BEDROOM  REID HOME  DAY ,10
38,INT BEDROOM  REID HOME  DAY ,56
39,INT REID HOME  REID S CHAMBER  DAY ,32
40,      INT BEDROOM  REID HOME  CONTINUOUS,9
41,      INT DRAKE COTTAGE  DAY ,22
42,      INT  TENTER STREET  JACKSON S ROOMS  DAY AA,14
43,      INT LEMAN STREET  COMMUNICATIONS ROOM  DAY ,18
44,      EXT FINCHLEY  DAY ,92
45,      INT  TENTER STREET  JACKSON S ROOMS  DAY ,98
46,      INT  TENTER STREET  JACKSON S ROOMS  DAY ,20
47,      INT THWAITES HOUSE  DAY ,36
48,      INT THE STUDIO  DAY ,62
49,INT LEMAN STREET  CORRIDORS  CELL  DAY ,14
50,INT CELL  LEMAN STREET  DAY ,9
51,EXT THE COURTYARD  DAY ,28
52,INT THE BROWN BEAR  DAY ,59
53,      INT THE DEN  NIGHT,5
54,      INT THE BROWN BEAR  CONTINUOUS,30
55,INT LEMAN STREET  REID S OFFICE  DAY ,164
56,INT LEMAN STREET  OUTER OFFICE  DAY ,28
57,      EXT DOCKSIDE WAREHOUSE  NIGHT,5
58,INT DOCKSIDE WAREHOUSE  NIGHT ,89
59,INT DOCKSIDE WAREHOUSE  NIGHT ,104
60,      EXT DOCKSIDE WAREHOUSE  NIGHTAA,22
61,      INT DOCKSIDE WAREHOUSE  NIGHTBB,43
62,INT LEMAN STREET  CORRIDORS  CELL  NIGHT ,20
63,INT LEMAN STREET  REID S OFFICE  NIGHT ,180
64,EXT CREIGHTON BASEMENT  NIGHT ,5
65,INT CREIGHTON HOME  BASEMENT  NIGHT ,122
66,      EXT CREIGHTON BASEMENT  CONTINUOUS,28
67,EXT  TENTER STREET  NIGHT ,22
68,INT DONALDSON S COACH  NIGHT ,27
69,EXT CREIGHTON HOME  NIGHT ,57
70,      EXT THE DEN  DAY,5
71,EXT CREIGHTON HOME  CONTINUOUS ,74
72,      INT LEMAN STREET  OUTER OFFICE  DAYAA,27
73,EXT LEMAN STREET  DAY ,41
74,INT  TENTER STREET  DAY ,16
75,INT THE DEN  DAY ,51
76,INT  TENTER STREET  DAY ,68
77,      INT THE DEN  DAY,22
78,INT LEMAN STREET  DAY ,41
79,INT LEMAN STREET  CORRIDORS  CELL  DAY ,51
80,INT THE DEN  DAY ,37
81,INT LEMAN STREET  CELLS  DAY ,34
82,EXT THE DEN  SECRET GARDEN  DAY ,11
83,EXT STREETS  DAY ,23
84,EXT THE DEN  SECRET GARDEN  DAY ,13
85,INT THE DEN  DAY ,28
86,      EXT THE DEN  SECRET GARDEN  CONTINUOUS,46
87,INT  TENTER STREET BEDROOM  DAY ,49
88,INT THE BROWN BEAR  DAY ,89
