1,  INT SHAWN  PERRY S APT  LIVING ROOMDINING ROOM  NIGHT,317
2,  INT BANQUET ROOM  NIGHT,461
3,  INT SHAWN  PERRY S APT  LIVING ROOM  NIGHT,109
4,  EXT UPPER MIDDLE CLASS  PICKET FENCE  HOUSE  NIGHT,2
5,  INT REBECCA ULRICH S HOUSE  LIVING ROOM CONTINUOUS,47
6,  INT  MARKET FACTS  OFFICE  DAY,29
7,  INT REBECCA ULRICH S LAW OFFICE  CONTINUOUS,109
8,  INT SHAWN  PERRY S APARTMENT  LIVING ROOM  NIGHT,208
9,  INT ITALIAN RESTAURANT  NIGHT,267
10,    EXTINT REBECCA ULRICH S HOUSE  NIGHT ,107
11,  INT SHAWN  PERRY S APARTMENT  BALCONY  MORNING,209
12,  INT REBECCA ULRICH S LAW OFFICE  DAY,96
13,  INT REBECCA S PRIVATE OFFICE  MOMENTS LATER,230
14,  EXT REBECCA ULRICH S HOUSE  NIGHT,121
