1,EXT BROOKLYN HEIGHTS  DAY  VARIOUS SHOTS,54
2,EXT BASKETBALL COURT  BROOKLYN HEIGHTS SCHOOLYARD  DAY ,128
3,EXT BROOKLYN HEIGHTS STREET NEAR BASKETBALL COURT  NEXT,9
4,INT RESUSCITATION AREA   BROOKLYN HEIGHTS MERCY ER  DAY,97
5,INT RESUSCITATION AREA TWO,12
6,INT CATH LAB  HOSPITAL  NEXT,53
7,INT CORRIDOR  HOSPITAL  CONTINUOUS,49
8,EXT BROOKLYN RESTAURANT  EVENING,82
9,INT ENTRANCE TO HANK AND NIKKI S APARTMENT  NIGHT,6
10,INT HANK AND NIKKI S BEDROOM  NEXTAA,9
11,INT HANK AND NIKKI S BEDROOM  LATER,42
12,INT HALLWAY  BROOKLYN HEIGHTS MERCY HOSPITAL  DAYAA,9
13,INT BOARD ROOM  BROOKLYN HEIGHTS MERCY HOSPITAL  DAY,58
14,INT ATRIUM  BROOKLYN HEIGHTS MERCY HOSPITAL  DAY ,21
15,INT HANK AND NIKKI S LIVING ROOM  DAY,35
16,INT HANK AND NIKKI S LIVING ROOM  DAY,136
17,INT HANK S APARTMENT  MONTAGE UP  DAY,14
18,INT HANK S APARTMENT  DAY,130
19,EXT HANK S APARTMENT  DAY,32
20,EXT SUNRISE HIGHWAY  DAY,11
21,INT HANKS  CAR  SAME,98
22,INT HANK S CAR  DAY,15
23,EXT WESTHAMPTON MOTEL  DAY,22
24,INT WESTHAMPTON MOTEL ROOM  DAY,48
25,EXT VALET STAND  BORIS S CASTLE  DUSK,134
26,INT FOYER  BORIS S CASTLE  NEXT,42
27,INT GRAND BALLROOM  BORIS S CASTLE  CONTINUOUS,40
28,INT GRAND BALLROOM  BORIS S CASTLE  NIGHT,111
29,INT LIBRARY  BORIS S CASTLE  NIGHT,298
30,INT GUEST BEDROOM  BORIS S CASTLE  LATER,34
31,INT PRIVATE STUDY  BORIS S CASTLE  NIGHT,114
32,INT MAIN BALLROOM  BORIS S CASTLE  NEXT,42
33,EXT VALET STAND  BORIS S CASTLE  NEXT,53
34,NEXT  PROPERTY OF EDGE ON GATE AT  CAR HANK S INT,77
35,INT WESTHAMPTON MOTEL ROOM  EARLY MORNING,96
36,EXT BRYANT ESTATE  NEXT,78
37,INT BRYANT MANSION  CONTINUOUS,49
38,INT GAMING ROOM  BRYANT MANSION  CONTINUOUS,44
39,INT GAMING ROOM  BRYANT MANSION  DAY,138
40,INT WESTHAMPTON MOTEL ROOM  DAY,72
41,INT WESTHAMPTON MOTEL ROOM  DAY,61
42,INT GAMING ROOM  BRYANT MANSION  DAY,75
43,INT HALLWAY  BRYANT MANSION  CONTINUOUSAA,160
44,INT WESTHAMPTON MOTEL ROOM  DAY,61
45,INT FOYER  BRYANT MANSION,250
46,EXT REAR LAWN  BRYANT MANSION  DAY,62
47,INT WESTHAMPTON MOTEL ROOM  DAY,118
48,EXT WESTHAMPTON MOTEL  DAY,113
49,EXT POOLSIDE  WESTHAMPTON MOTEL  NEXT,200
50,EXT WESTHAMPTON MOTEL  PARKING LOT  NEXT,44
51,INT DIVYA S SUV  DRIVING  NEXT,77
52,INT ADMISSIONS AREA  HAMPTONS HERITAGE HOSPITAL  NEXT,326
53,EXT MAIN STREET  SOUTHAMPTON  NEXT,143
54,DAY  PALACE BEACHFRONT NEWBERG S  BATH MASTER INT,10
55,CONTINUOUS  PALACE BEACHFRONT NEWBERG S  TERRACE EXT,58
56,EXT WESTHAMPTON MOTEL  DAY,55
57,EXT WESTHAMPTON BEACH  DAY,144
58,INT WESTHAMPTON MOTEL ROOM  EVENING,88
59,INT CHEWY S CLAM SHACK  MAGIC HOUR,114
60,EXT BOARDWALK  WESTHAMPTON MOTEL  EVENING,36
61,EXT WESTHAMPTON DUNES  NIGHT,97
