1,      INT LIVING ROOMTRUMAN HOME  MORNING,89
2,      INT MASTER BATHROOMTRUMAN HOME  MORNING,19
3,      INT ANIKA S BEDROOMTRUMAN HOME  MORNING,18
4,      INT MASTER BEDROOM CLOSETTRUMAN HOME  MORNING,30
5,      INT HEALTH CLUB  DAY,51
6,      INT BOOKSTORE  DAY  FLASHBACK,37
7,INT HEALTH CLUB  PRESENT DAY ,18
8,      INT UPSCALE BROKERAGE FIRM  DAY  FLASHBACK,24
9,      INT LOCKER ROOM  PRESENT DAY,54
10,      INT BULLPENNEIL S DESK  DAY,55
11,      INT CONFERENCE ROOM  DAY,107
12,      INT ENTRYWAYTRUMAN HOME  NIGHT,6
13,      INT LIVING ROOMTRUMAN HOME  NIGHT,34
14,      INT KITCHENTRUMAN HOME  NIGHT,99
15,      EXT YARDTRUMAN HOME  NIGHT,16
16,      INT MASTER BEDROOMTRUMAN HOME  NIGHT,25
17,      INT AIRPORT  THE NEXT MORNING,21
18,      INT AIRPLANE  MOMENTS LATER,32
19,      INT AIRPLANE  LATER,130
20,      INT TSA OFFICE  DAY,51
21,      EXT HALLWAYTSA OFFICE  MOMENTS LATER,9
22,      EXT DOWNTOWN  DAY,5
23,      INT VICTOR S OFFICE  DAY,91
24,      INT PARKING GARAGE  MOMENTS LATER,14
25,INT NEIL S CAR  DRIVING ,24
26,      EXT HOUSING DEVELOPMENT  DAY,6
27,      INT NEIL S CAR  CONTINUOUS,9
28,      INT STAGED HOME  CONTINUOUS,12
29,      INT KITCHENSTAGED HOME  CONTINUOUS,7
30,      INT UPSTAIRS HALLWAYSTAGED HOME  DAY,31
31,      INT OFFICE  DAY,150
32,      INT SPINNING CLASS  MORNING,160
33,      INT MASTER BEDROOMTRUMAN HOME  NIGHT,51
34,      INT HOME OFFICETRUMAN HOME  MOMENTS LATER,48
35,      INT ENTRY WAYTRUMAN HOME  SAME TIME,37
36,      INT LIVING ROOMTRUMAN HOME  LATER,63
37,      INT DANCE CLUB  NIGHT,178
38,      EXT DANCE CLUB  LATER,178
39,      INT MASTER BEDROOMTRUMAN HOME  MORNING,10
40,      INT KITCHENTRUMAN HOME  MORNING,34
41,      INT GARAGETRUMAN HOME  SAME TIME,10
42,      EXT STREET  MOMENTS LATER,10
43,      EXT ANOTHER STREET  DAY,32
44,      EXT BACK YARDSTAGED HOME  PRESENT DAY,43
45,      EXT ANOTHER STREET  CONTINUOUS,182
46,      INT STAGED HOME  SAME TIME,11
47,      EXT STAGED HOME  CONTINUOUSAA,13
48,      EXT TRUMAN HOME  SAME TIMEBB,26
49,      INT BACK STAGEHIGH SCHOOL AUDITORIUM  NIGHT,39
50,      EXT PARKING LOTHIGH SCHOOL  NIGHT,106
51,      INT HIGH SCHOOL AUDITORIUM  LATER,76
52,      INT SCHOOL DIRECTOR S OFFICE  NIGHT,85
53,      EXT PARKING LOTHIGH SCHOOL  NIGHT,40
54,      EXT BACK YARDTRUMAN HOME  NIGHT,53
55,      INT KITCHENTRUMAN HOME  SAME TIME,88
56,      INT ROYAL HOTEL  NIGHT,10
57,      INT BARROYAL HOTEL  NIGHT,183
58,      EXT TRUMAN HOME  MORNING,5
59,      INT MASTER BEDROOMTRUMAN HOME  MORNING,5
60,      INT KITCHENTRUMAN HOME  MORNING,10
61,      EXT TRUMAN HOME  MORNING,5
62,      INT SUITEROYAL HOTEL  MORNING,7
63,      INT LIVING ROOMROYAL HOTEL SUITE  MORNING,7
64,      INT KITCHENTRUMAN HOME  MORNING,60
65,      INT RECEPTION AREANEIL S OFFICE  DAY,28
66,      INT NEIL S OFFICE  MOMENTS LATER,35
67,      EXT BUDDHIST TEMPLE  DAY,6
68,      EXT ZEN GARDEN  CONTINUOUS,22
69,      INT BUDDHIST TEMPLE  DAY,82
70,      EXT BACKYARDSTEPHANIE S HOME  DAY,136
71,      EXT ROAD  DUSKAA,5
72,      EXT ADRIANA S HOME  DUSK,18
73,      EXT COURTYARDADRIANA S HOME  MOMENTS LATER,5
74,      INT ADRIANA S HOME  CONTINUOUS,98
75,      INT UPSTAIRS DRESSING ROOMADRIANA S HOME  LATER,29
76,EXT ADRIANA S HOME  NIGHT ,5
77,      INT ADRIANA S HOME  NIGHT,47
78,      INT ENTRY WAYTRUMAN HOME  NIGHT,34
79,      INT ART GALLERY  NIGHT,222
80,      INT ADRIANA S HOME  LATER,5
81,      INT BEDROOMADRIANA S HOME  CONTINUOUS,110
82,      EXT TRUMAN HOME  EARLY MORNING,5
83,      INT MASTER BEDROOMTRUMAN HOME  SAME TIME,5
84,      INT ANIKA S ROOMTRUMAN HOME  MOMENTS LATER,65
85,      EXT TRUMAN HOME  DAY,5
86,      INT NEIL S CAR  CONTINUOUS,37
87,      INT ENTRY WAYTRUMAN HOME  DAY,12
88,      INT KITCHEN  CONTINUOUS,20
89,      EXT BACK YARDTRUMAN HOME  MOMENTS LATER,50
90,      INT KITCHENTRUMAN HOME  CONTINUOUS,9
91,      EXT BACK YARDTRUMAN HOME  CONTINUOUS,102
92,      INT ELKORT S OFFICE  DAY,71
93,      EXT HIGH SCHOOL  MOMENTS LATER,48
94,INT PARKING GARAGE  DAY ,128
95,      INT KITCHENTRUMAN HOME  DAY,19
96,      INT CELL PHONE STORE  DAY,13
97,      EXT ZEN GARDEN  DAY,26
