1,      EXT CHICAGO UPTOWN  NIGHT,384
2,      INT GALLAGHER HOUSE  MORNING,206
3,      INT GALLAGHER KITCHEN  MORNING,1040
4,      EXT GALLAGHER S HOUSE  DAY ,8
5,      INTEXT US CELLULAR FIELD  DAY,440
6,      EXT SHEILAS HOUSE  DAY,21
7,      INT SHEILAS DINING ROOM  DAY,1098
8,      INT GALLAGHER HOUSE BOYS BEDROOM  LATE AFTERNOON,1312
9,      INT DOWNTOWN NIGHTCLUB  NIGHT,736
10,      EXT DOWNTOWN NIGHTCLUB PARKING LOT  NIGHT,1693
11,      INT GALLAGHER BOYS BEDROOM  NIGHT,1872
12,      INT GALLAGHER LIVING ROOM  NIGHT,4473
13,      EXT CHICAGO STREET  NIGHT,2591
14,      INT GALLAGHER KITCHEN  NIGHT ,1420
15,      INT GALLAGHER KITCHEN  NIGHT,1423
16,      INT GALLAGHER STAIRCASELANDING  NIGHT ,25
17,      INT GALLAGHER KITCHEN  NIGHT  ,1477
18,      INT GALLAGHER LIVING ROOM  NIGHT A FEW MOMENTS LATER,24
19,      EXT CHICAGO STREET  NIGHT   ,1512
20,      EXTINT HEART OF CHICAGO MOTEL  DAY,43
21,      INT THE ELBOW ROOM BAR  AFTERNOON,4979
22,      INT GALLAGHER KITCHEN  DAY ,5528
23,      EXT CHICAGO STREET  DAY,16
24,      INT SHEILAS HOUSE  DAY,19
25,      INT SHEILAS LIVING ROOM  DAY,6028
26,      EXT SHEILAS HOUSE  DAY,15
27,      INT GALLAGHER BOYS BEDROOM  AFTERNOON,4328
28,      INT GALLAGHER FRONT DOOR  AFTERNOON,2225
29,      INT VERONICAS HOUSE BEDROOM  AFTERNOON,2283
30,      INT GALLAGHER KITCHEN  AFTERNOON ,2361
31,      INT SHEILAS LIVINGDINING ROOM  LATE AFTERNOON,35
32,      EXT SHEILAS STREET  LATE AFTERNOON,2401
33,      EXT GALLAGHERS STREET  LATE AFTERNOON,26
34,      INT KASH AND KARRY STORE  LATE AFTERNOON,4995
35,      INT THE CORNER BAR  EVENING,2596
36,      INT GALLAGHER HOUSE  NIGHT ,5326
37,      INT CARWASH  DAY,6
38,      INT THE CORNER BAR  DAY,2791
39,      EXT EL STATION PLATFORM  DAY,2788
40,      INT CHARLIE TROTTERS  EVENING,8830
41,      INT CHARLIE TROTTERS COAT CHECK  EVENING,9
42,      EXT CHARLIE TROTTERS RESTAURANT  EVENING  ,3048
43,      INT SHEILAS LIVING ROOM  AFTERNOON,6262
44,      INT GALLAGHER KITCHEN  AFTERNOON,7
45,      INT GALLAGHER LIVING ROOM  AFTERNOON,12
46,      EXT KASHS SHOP  LATE AFTERNOON,9
47,      INT KASHS SHOP  LATE AFTERNOON,3213
48,      INT GALLAGHER BOYS BEDROOM  NIGHT,3282
49,      INT KASHS SHOP  NIGHT ,3304
50,      INT GALLAGHER KITCHEN  NIGHT,3425
51,      INT GALLAGHER LIVING ROOM  NIGHT,10543
52,      INT GALLAGHER KITCHEN  NIGHT,3615
53,      INT FIONAS BEDROOM  NIGHT,27
54,      INT GALLAGHER BOYS BEDROOM  MORNING,3648
55,      INT VAN  MORNING,3766
