1,    EXT STREET  MORNING,43
2,    EXT HIGH SCHOOL TRACK  CONTINUOUS,22
3,    EXT HELEN S CAR  CONTINUOUS,7
4,    INT HELENS CAR  CONTINUOUS,46
5,    EXT STREET,6
6,    INT MIRACLE S PRIUS  CONTINUOUS,29
7,    EXT PARKING LOT  CONTINUOUS,7
8,    INT WILLARDS CAR  CONTINUOUS,26
9,    EXT TRACK  CONTINUOUS,24
10,    EXT PARKING LOTINT MIRACLE S CAR  CONTINUOUS,11
11,    EXT PARKING LOT  CONTINUOUS,45
12,    INT STUARTS CAR  CONTINUOUS,10
13,    EXT PARKING LOT  CONTINUOUS,5
14,    INT STUARTS CAR  CONTINUOUS,110
15,    EXT SCHOOL COURTYARD  A FEW MOMENTS LATER,34
16,    INT LUNCHROOM  FLASHBACK,17
17,    INT SCHOOL COURTYARD  CONTINUOUS WITH BEFORE,105
18,    INT SCHOOL GYMNASIUM  WEEKS EARLIER,24
19,    EXT COURTYARD  CONTINUOUS WITH BEFORE,35
20,    INT HALLWAY  CONTINUOUS,142
21,    INT LOCKER ROOM  CONTINUOUS,32
22,    EXT NEWSSTAND  MORNING,16
23,    INT LOCKER ROOM  CONTINUOUS WITH BEFORE,117
24,    EXT FRANKLIN HIGH  LATER THAT DAYINT CLASSROOM  LATER ,11
25,    INT TEACHER S LOUNGE  DAY,128
26,    EXT HIGH SCHOOL  ,16
27,    INT TEACHERS LOUNGE  CONTINUOUS WITH BEFORE,6
28,    EXT HIGH SCHOOL  ,34
29,    INT TEACHER S LOUNGE  CONTINUOUS WITH BEFORE,25
30,    INT LIBRARY  WEEKS EARLIER,21
31,    INT TEACHERS LOUNGE  CONTINUOUS WITH BEFORE,70
32,    EXT FOOTBALL FIELD  LATER,45
33,     INT CLASSROOM S       ,3
34,     EXT COURTYARD S        ,7
35,     EXT FIELD  S      M ,17
36,    INT SUES OFFICE   LATER,73
37,    INT CLASSROOM  LATER THAT WEEK,60
38,    EXT FIELD  CONTINUOUS,43
39,    INT LOCKER  DAY FLASHBACK,4
40,    INT HALLWAY  CONTINUOUS,5
41,    EXT FIELD  CONTINUOUS WITH BEFORE,16
42,    INT TUNNEL  CONTINUOUS,16
43,    INT  TUNNEL  CONTINUOUS WITH BEFORE,8
44,    EXT FIELD  CONTINUOUS WITH BEFORE,15
45,    INT SCHOOL COURTYARD  LATER THAT DAY,155
46,    EXT FOOTBALL FIELD  THAT NIGHT,259
