1,        EXT CA INTERSTATE   SUPER  FOOTAGE  CIRCA ,64
2,        EXT REDWOOD PARK NORTHERN CA  SUPER  FOOTAGE  ,13
3,        EXT WOODED AREA NORTHERN CA  CHP VIDEO  MAY   ,11
4,        INT TELLER HOUSE  HOME VIDEO  DECEMBER TH ,15
5,        EXT CA INTERSTATE  CHP VEHICLE VIDEO  NOVEMBER  ,9
6,        EXT CHARMING CEMETERY  HOME VIDEO  NOVEMBER  ,31
7,        EXT CA INTERSTATE  TODAY,192
8,      EXT FOREST  NIGHT  ,15
9,      EXT TELLERMORROW AUTOMOTIVE YARD  GARAGE  DAY ,13
10,      EXT TELLERMORROW AUTOMOTIVE YARD  CONTINUOUS,173
11,      INT WENDY S HOUSE  KITCHEN  DAY ,29
12,      EXT RIDGE ROAD APARTMENTS  DAY,6
13,      INT RIDGE ROAD APARTMENTS  HALLWAY  DAY,6
14,      INT NEETA S APARTMENT  LIVING ROOM  CONTINUOUS,51
15,      INT RIDGE ROAD APARTMENTS  HALLWAY  DAY,6
16,      INT LOWELL S APARTMENT  LIVING ROOM  CONTINUOUS,14
17,      INT LOWELL S APARTMENT  KITCHEN  CONTINUOUS,31
18,      INT LOWELL S APARTMENT  LIVING ROOM  CONTINUOUS,118
19,      INT LOWELL S APARTMENT  BATHROOM  CONTINUOUS,9
20,      INT BLACK BMW   DRIVING  INTERCUT,80
21,      INT LOWELL S APARTMENT  LIVING ROOM  CONTINUOUS,19
22,      INT RIDGE ROAD APARTMENTS  HALLWAY  CONTINUOUS,28
23,      EXT FOREST ROAD  OUTSIDE CHARMING DAY,87
24,      INT WAREHOUSE  DAY,45
25,      EXT FOREST ROAD  DAY,8
26,      EXTINT STORAGE LOCKER  DAY,51
27,      EXT WENDY S HOUSE  DAY,10
28,      INT WENDY S HOUSE  KITCHEN  INTERCUT,11
29,      INT SAMCRO CLUBHOUSE  MAIN ROOM  DAY,51
30,      INT SAMCRO CLUBHOUSE  APARTMENT  DAY,19
31,      INT SAMCRO CLUBHOUSE  BACK ROOM  CONTINUOUS,8
32,      INT SAMCRO CLUBHOUSE  MAIN ROOM  DAY,131
33,      EXT SAMCRO CLUBHOUSE  DAY,11
34,      INT ST THOMAS HOSPITAL  ICU  DAY ,27
35,      INT ST THOMAS HOSPITAL  ICU ROOM  CONTINUOUS,33
36,      INT ST THOMAS HOSPITAL  ICU  CONTINUOUS,88
37,      INT ST THOMAS HOSPITAL  PICU  DAY,9
38,      EXT STREET  DAY,6
39,      INT HAIRY DOG BAR  DAY,12
40,      INT POOL ROOM  CONTINUOUS,44
41,      EXT LOCAL STREETS  DAY,108
42,      EXT WOODED AREA  DAY,121
43,      EXT SAMCRO CLUBHOUSE  FRONT  NIGHT ,6
44,      INT SAMCRO CLUBHOUSE  MAIN ROOM  NIGHT,188
45,      EXT SAMCRO CLUBHOUSE  FRONT ENTRANCE  NIGHT  ,17
46,      C     JOINT  ,123
47,      INT ST THOMAS HOSPITAL  WAITING AREA  NIGHT,89
48,      INT ST THOMAS HOSPITAL  PRIVATE ROOM  NIGHT,65
49,      EXT WENDY S HOUSE  NIGHT,6
50,      INT WENDY S HOUSE  LIVING ROOM  CONTINUOUS,212
51,      INT WENDY S HOUSE  BATHROOM  CONTINUOUS,6
52,      INT MORROW HOUSE  BEDROOM  NIGHT,111
53,      INT CRACKER BARREL FAMILY RESTAURANT  DAY  ,175
54,      EXT FOREST  DAY  ,50
55,      INT ST THOMAS HOSPITAL  WAITING AREA  DAY,138
56,      INT TELLERMORROW AUTOMOTIVE YARD  GARAGE  DAY,57
57,      INT SAMCRO CLUBHOUSE  APARTMENT  DAY,10
58,      INT OPIE S HOUSE  GARAGE  DAY,39
59,      EXT OPIE S HOUSE  INTERCUT,43
60,      EXT OPIE S HOUSE  CONTINUOUS,75
61,      EXT LOCAL STREETS  DAY,30
62,      EXT HIGHWAY  DAY,36
63,      INT CASINO LAKE TAHOE  LOUNGE  NIGHT ,43
64,      INT ST THOMAS HOSPITAL  PEDIATRIC SURGICAL ROOM  DAY,7
65,      EXT INDUSTRIAL ROAD OUTSIDE OAKLAND  NIGHT ,10
66,      EXT COMMERCIAL STORAGE FACILITY  CONTINUOUS,14
67,      EXT COMMERCIAL STORAGE FACILITY  YARD  CONTINUOUS,7
68,      INT CASINO  DRESSING ROOM  NIGHT,24
69,      INT COMMERCIAL STORAGE UNIT  NIGHT,20
70,      INT ST THOMAS HOSPITAL  PEDIATRIC SURGICAL ROOM  NIGHT,7
71,      EXT COMMERCIAL STORAGE FACILITY  YARD  NIGHT,28
72,      INT COMMERCIAL STORAGE UNIT  CONTINUOUS,10
73,      EXT COMMERCIAL STORAGE FACILITY  YARD  CONTINUOUS,136
74,      INT ST THOMAS HOSPITAL  PEDIATRIC SURGICAL ROOM  NIGHT,7
75,      INT COMMERCIAL STORAGE UNIT  NIGHT,98
76,      INT ST THOMAS HOSPITAL  PEDIATRIC SURGICAL ROOM  NIGHT,6
77,      EXT COMMERCIAL STORAGE FACILITY  YARD  NIGHT,11
78,      INT COMMERCIAL STORAGE UNIT  NIGHT,10
79,      EXT INDUSTRIAL ROAD  NIGHT ,21
80,      INT ST THOMAS HOSPITAL  WAITING AREA  NIGHT ,33
81,      INT CASINO  LOUNGE  NIGHT,17
82,      INT CASINO  DRESSING ROOM  NIGHT,49
83,      INT ST THOMAS HOSPITAL  PRIVATE ROOM  NIGHT ,111
84,      INT ST THOMAS HOSPITAL  PICU  NIGHT,40
85,      INT CHARMING POLICE DEPARTMENT  HALE S OFFICE  NIGHT,14
86,      INT ST THOMAS HOSPITAL  WAITING AREA  NIGHT,8
87,      INT CASINO  LOUNGE  NIGHT,27
