1,               INT CLASSROOM  MORNING,209
2,               INT SOUTH PARK CAPITOL BUILDING  DAY,64
3,               INT CAFETERIA,65
4,               INT CLASSROOM  DAY,35
5,               INT AUDITORIUM  DAY  FLASHBACK,75
6,               INT CLASSROOM  DAY,28
7,               INT CLASSROOM  AFTER LUNCH,73
8,               EXT SOUTH PARK AVENUE,63
9,               INT CARTMANS HOUSE,93
10,               INT MR GARRISONS BEDROOM  NIGHT,41
11,               EXT SOUTH PARK  THE NEXT MORNING,4
12,               INT BUS STOP  MORNING,70
13,               EXT SOUTH PARK AVENUE,15
14,               EXT SOUTH PARK AVENUE  STAGE,155
15,               INT MR GARRISONS BEDROOM,24
16,               EXT SOUTH PARK AVENUE  THE NEXT DAY,66
17,               INT SOUTH PARK GUN SHOP  DAY,74
18,               EXT ELEMENTARY SCHOOL  NIGHT,4
19,               INT CLASSROOM  NIGHT,67
20,               EXT SOUTH PARK TOWN SQUARE  MORNING,12
21,               EXT SOUTH PARK TOWN SQUARE  DAY,31
22,               EXT SOUTH PARK BOOK DEPOSITORY  DAY,8
23,               EXT SOUTH PARK TOWN SQUARE  DAY,20
24,               EXT SOUTH PARK  STAGE  DAY,69
25,               EXT STAGE  DAY,5
26,               EXT SOUTH PARK TOWN SQUARE  DAY,13
27,               INT SOUTH PARK BOOK DEPOSITORY  DAY,10
28,               EXT SOUTH PARK TOWN SQUARE  DAY,10
29,               INT SOUTH PARK BOOK DEPOSITORY  DAY,22
30,               EXT SOUTH PARK AVENUE,90
31,               EXT SOUTH PARK AVENUE,51
32,               EXT SOUTH PARK AVENUE  STAGE,25
33,               INT SOUTH PARK BOOK DEPOSITORY,28
34,               EXT SOUTH PARK AVENUE  STAGE,19
35,               INT SOUTH PARK BOOK DEPOSITORY,45
36,               EXT SOUTH PARK AVENUE  STAGE,138
37,               EXT SOUTH PARK MENTAL HOSPITAL  DAY,5
38,               INT SOUTH PARK MENTAL HOSPITAL  DAY,33
39,               INT TELEVISION STUDIO  DAY,21
40,               INT GERALDO SHOW,11
