1,               EXT CARTMANS HOUSE  DAY,89
2,               INT CAR  DAY,71
3,               EXT SOUTH PARK  TOWN  DAY,5
4,               EXT ROCKY MOUNTAINS JUST OUTSIDE OF SOUTH PARK  DAY,45
5,               EXT ROCKY MOUNTAINS JUST OUTSIDE OF SOUTH PARK  DAY,204
6,               EXT SOUTH PARK  TOWN  DAY,6
7,               INT GEOLOGISTS OFFICE,51
8,               EXT CAMPFIRE  NIGHT,60
9,               EXT SOUTH PARK  MORNING,4
10,               INT MAYORS OFFICE  DAY,101
11,               EXT SOUTH PARK  NIGHT,5
12,               EXT CAMPFIRE  NIGHT,215
13,               EXT CAMPSITE  DAY,38
14,               EXT LAKE  DAY,78
15,               EXT SOUTH PARK  TOWN  DAY,53
16,               EXT MOUNTAIN  DAY,76
17,               EXT RIDGE  DAY,8
18,               EXT FOREST  DAY,36
19,               EXT BASE CAMP  DAY,37
20,               EXT FOREST  DAY,68
21,               EXT RESCUE BASE CAMP  DAY,31
22,               INT OFFICE  DAY,13
23,               EXT MEADOW  DAY,26
24,               EXT SUBURBAN STREET  DAY,23
25,               EXT RESCUE BASE CAMP  DAY,12
26,               EXT MOUNTAIN  FOREST  DAY,95
27,               EXT BASE CAMP,16
28,               EXT FOREST  DAY,4
29,               EXT RIDGE  DAY,5
30,               EXT FOREST  DAY,13
31,               EXT BASE CAMP,18
32,               EXT RIDGE  DAY,51
33,               EXT BASE CAMP,16
34,               EXT FOREST  DAY,51
35,               EXT DENVER  DAY,6
