1,               INT MEPHESTOS LAB,39
2,               EXT MEPHESTOS LAB  NIGHT,4
3,               INT MEPHESTOS LAB,139
4,               INT CHEFS CAR  NIGHT,93
5,               EXT MOUNTAIN ROAD  DAY,9
6,               INT MAYORS OFFICE  NIGHT,113
7,               EXT UNPLANNED PARENTHOOD  DAY,7
8,               INT UNPLANNED PARENTHOOD  DAY,67
9,               EXT HELLS PASS HOSPITAL  DAY,20
10,               INT HELLS PASS HOSPITAL  NIGHT,83
11,               EXT AMERICAS MOST WANTED HEADQUARTERS  NIGHT,7
12,               INT AUDITORIUM,78
13,               INT BEDROOM  NIGHT,28
14,               EXT HOSPITAL  NIGHT,4
15,               INT EMERGENCY ROOM  NIGHT,68
16,               EXT AMERICAS MOST WANTED HEADQUARTERS,4
17,               INT AMERICAS MOST WANTED HEADQUARTERS,78
18,               INT EMERGENCY ROOM  NIGHT,92
19,               INT MEPHESTOS LAB SET  NIGHT,39
20,               EXT AMERICAS MOST WANTED HEADQUARTERS,5
21,               INT AMERICAS MOST WANTED HEADQUARTERS,8
22,               INT AMERICAS MOST WANTED HEADQUARTERS IN LA,15
23,               INT AMERICAS MOST WANTED HEADQUARTERS,12
24,               EXT HOSPITAL OF DOOM  NIGHT,6
25,               INT EMERGENCY ROOM  NIGHT,37
26,               INT ANOTHER BEDROOM  NIGHT,23
27,               INT HOSPITAL  NIGHT,35
28,               EXT AMERICAS MOST WANTED HEADQUARTERS  NIGHT,5
29,               INT AMERICAS MOST WANTED HEADQUARTERS,82
30,               INT EMERGENCY ROOM  NIGHT,63
31,               INT AMERICAS MOST WANTED HEADQUARTERS,51
32,               INT HELLS PASS HOSPITAL  NIGHT,81
33,               EXT AMERICAS MOST WANTED HEADQUARTERS,43
34,               INT AMERICAS MOST WANTED HEADQUARTERS,44
35,               EXT HOSPITAL  NIGHT,49
36,               EXT AMERICAS MOST WANTED HEADQUARTERS,24
37,               INT HOSPITAL  NIGHT,6
38,               EXT BACK UP GENERATOR,6
39,               INT HOSPITAL,7
40,               EXT BACK UP GENERATOR,6
41,               INT HOSPITAL,6
42,               EXT BACK UP GENERATOR,5
43,               INT HOSPITAL,15
44,               EXT BACK UP GENERATOR,5
45,               INT HOSPITAL,16
46,               EXT BACK UP GENERATOR,5
47,               INT HOSPITAL,22
48,               EXT THE WHITE HOUSE ESTABLISHING,2
49,               INT PRESIDENTS BEDROOM,39
50,               EXT SOUTH PARK,10
51,               INT HOSPITAL  NIGHT,33
52,               EXT HOSPITAL  DAY,25
53,               EXT AMERICAS MOST WANTED HEADQUARTERS,44
