1,      INT BEN  SAMMY S PATROL CAR  MOVINGSTOPPED  DAY,188
2,      EXT WATTS HOUSE  STREETSALLEY  CONTINUOUS,15
3,      INT WATTS HOUSE  GARAGE  CONTINUOUS,6
4,      INT WATTS HOUSE  LAUNDRY ROOMKITCHEN  CONTINUOUS,6
5,EXT WATTS HOUSE  SIDE YARD  CONTINUOUS ,33
6,      INT LYDIA S HOUSE  BEDROOM  DAWN,6
7,      INTEXT LYDIA S HOUSE  FOYER  MOMENTS LATER,90
8,INT GYM  DAWN ,11
9,      INT SAMMY S CAR MOVINGSTOPPED  MORNING,82
10,      INT HOLLYWOOD STATION  LOCKER ROOM  MORNING,13
11,      EXT BEN S APT  STOOPSIDEWALKNEWSSTAND  MORNING,12
12,      INT HOLLYWOOD STATION  ROLL CALL  DAY,130
13,      EXT ALVARADO STATION  PARKING LOT  DAY,121
14,      INT DETECTIVE CAREXT RUBEN ROBINSON S HOUSE  DAY ,22
15,      INT DETECTIVE CAR MOVING  CONTINUOUS,102
16,      INT JOHN  TANG S PATROL CAR MOVING  DAY,81
17,      EXT MINIMALL  PARKING LOT  CONTINUOUS,147
18,      EXT PRESCHOOL  FRONT DOOR  DAY,38
19,      INT PRESCHOOL  CLASSROOMHALLBATHROOM  DAY,56
20,      EXT LITTLE COFFEE SHOP  STREET  DAY,112
21,      EXT ALLEY NEAR PRESCHOOL  DAY,116
22,      INT SUNLAND MOTEL  CHEAP ROOM  DAY,62
23,      INT BEN  SAMMY S PATROL CAR MOVING  DAY,169
24,      INT DETECTIVE CAR MOVING  DAY,81
25,      EXT DODGER STADIUM  PARKING LOT  DAY,58
26,      INT BEN  SAMMY S PATROL CAR MOVINGSTOPPED  DAY,54
27,      EXT WATTS HOUSE  STREETSALLEY DAY,15
28,      INT WATTS HOUSE  GARAGE  CONTINUOUS,6
29,      INT WATTS HOUSE  LAUNDRY ROOMKITCHEN  CONTINUOUS,6
30,EXT WATTS HOUSE  SIDE YARD  CONTINUOUS ,55
31,      EXT WATTS AVENUE  DAY,15
32,      INT JOHN  TANG S PATROL CAR MOVING  DAY,49
33,      EXT STREETS  DAY,67
34,      EXT WATTS AVENUE  DAY,99
35,      EXT CRACK HOUSE  DAY FKA SCAA,95
36,      EXT  TRUCK NORRIS   DAY,100
37,      EXT WATTS AVENUE  DAY,59
38,      INT NYTEX PANTY HOSE FACTORY  SHIPPING FLOOR  DAY,86
39,      INT ALVARADO STATION  LOCKER ROOM  DAY FKA SCAA,80
40,      INT NYTEX PANTY HOSE FACTORY  SHIPPING FLOOR  DAY,108
41,      INT DETECTIVE CAR MOVING  DAY,53
42,      INT ALVARADO STATION  BULLPENLOBBY  DAY,96
43,      INT HOLLYWOOD STATION  ROLL CALL  DAY,100
44,      EXT ALVARADO STATION  PARKING LOT  DUSK,99
45,      EXT VENICE BEACH  DUSK,38
