1,  EXT CAPUA  DAY,35
2,  EXT ARENA  DAY,72
3,  INT VILLAGE HALL  THRACE  NIGHT FLASHBACK,120
4,  INT HUT  THRACE  NIGHT FLASHBACK,78
5,  EXT THRACE  CLEARING  DAY FLASHBACK,130
6,  EXT MOUNTAINS  NORTHERN BORDER OF THRACE  DAY FLASHBACK,120
7,  EXT MOUNTAINS  THRACE  NIGHT FLASHBACK,191
8,  INT COMMAND TENT  ROMAN ENCAMPMENT  NIGHT FLASHBACK,197
9,  EXT MOUNTAINS  ENEMY FRONT  NIGHT FLASHBACK,64
10,  INT COMMAND TENT  ROMAN ENCAMPMENT  NIGHT FLASHBACK,97
11,  EXT ROMAN ENCAMPMENT  NIGHT FLASHBACK,71
12,  EXT AUXILIARY ENCAMPMENT  DAY  SUNRISE FLASHBACK,283
13,  EXT THRACE  CLEARING  DAY FLASHBACK,150
14,  EXT PLAINS  THRACE  NIGHT FLASHBACK,137
15,  EXT PLAINS  THRACE  DAY FLASHBACK,117
16,  INT SHIPS HOLD  NIGHT FLASHBACK,93
17,  EXTINT VILLA  CAPUA  DAY FLASHBACK,127
18,  EXT COURTYARD  CAPUA  NIGHT FLASHBACK,383
