1,  EXT ARENA  CAPUA  DAY,30
2,  INT HOLDING CELL  ARENA  DAY,79
3,  EXT ARENA  CAPUA  DAY,43
4,  INT THE CHUTES  ARENA  DAY,48
5,  EXT ARENA  CAPUA  DAY,222
6,  INT BATIATUS VILLA  NIGHT,94
7,  INT SPARTACUS CELL  BATIATUS LUDUS  NIGHT,122
8,  INT PANTRY  BATIATUS VILLA  NIGHT,84
9,  INT ASHURS QUARTERS  BATIATUS VILLA  NIGHT,87
10,  INT BEDCHAMBER  BATIATUS VILLA  NIGHT,41
11,  EXT TRAINING SQUARE  BATIATUS LUDUS  DAY,52
12,  INT TRICLINIUM  BATIATUS VILLA  DAY,144
13,  INT BATIATUS VILLA  DAY,59
14,  INT CORRIDOR  BATIATUS LUDUS  DAY,82
15,  INT ATRIUM  BATIATUS VILLA  DAY,125
16,  EXT TRAINING SQUAREBALCONY  BATIATUS LUDUSVILLA  DAY,106
17,  EXT MARKET PLACE  CAPUA  DAY,68
18,  INT BATIATUS VILLA  DAY,44
19,  INT BEDCHAMBER  BATIATUS VILLA  DAY,55
20,  INT ATRIUM  BATIATUS VILLA  NIGHT,29
21,  INT BEDCHAMBER  BATIATUS VILLA  MOMENTS LATER,38
22,  INT BEDCHAMBER  ALBINIUS VILLA  NIGHT,76
23,  INT PANTRY  BATIATUS VILLA  NIGHT,89
24,  INT TRICLINIUM  BATIATUS VILLA  DAY,148
25,  INT ATRIUM  BATIATUS VILLA  MOMENTS LATER,243
26,  INT BEDCHAMBER  BATIATUS VILLA  DAY,78
27,  INT ATRIUM  BATIATUS VILLA  DAY,154
28,  EXT TRAINING SQUAREBALCONY  NIGHT,189
