1,EXTINT RANGE ROVERS  DAY   ,65
2,EXT COMMUNITY CENTRE  DAY   ,51
3,INT THAMES HOUSE THE GRID  DAY   ,22
4,INT COMMUNITY CENTRE  DAY   ,30
5,INT THAMES HOUSE THE GRID  DAY   ,12
6,INT COMMUNITY CENTRE  DAY   ,26
7,INT THAMES HOUSE THE GRID TOM S STATION  DAY   ,5
8,INT COMMUNITY CENTRE  DAY   ,21
9,INT THAMES HOUSE THE GRID  DAY   ,12
10,INT COMMUNITY CENTRE  DAY   ,24
11,INT THAMES HOUSE THE GRID  DAY   ,47
12,INT COMMUNITY CENTRE  DAY   ,7
13,INT THAMES HOUSE MEETING ROOM  DAY   ,87
14,INT THAMES HOUSE THE GRID  DAY   ,5
15,INT THAMES HOUSE MEETING ROOM  DAY   ,116
16,INT THAMES HOUSE THE GRID TOM S STATION  DAY   ,20
17,INT THAMES HOUSE COMPUTER ROOM  DAY   ,143
18,EXT BLANEY S HOUSE  DAY   ,25
19,INT THAMES HOUSE THE GRID  RUTH S STATION  DAY   ,30
20,INT THAMES HOUSE CORRIDOR  DAY   ,47
21,INT THAMES HOUSE FORGERY SUITE  DAY   ,84
22,INT COOL BAR  NIGHT   ,41
23,INT PUB  NIGHT   ,69
24,INT COOL BAR  NIGHT   ,39
25,INT RED CRY OFFICES  NIGHT   ,21
26,INT RED CRY OFFICES  NIGHT   ,43
27,INT DANNY AND ZOE S FLAT  NIGHT   ,45
28,EXTINT HIGHDALE SCHOOL  PREDAWN DAY   ,24
29,EXT HIGHDALE SCHOOL GATES  DAWN DAY   ,5
30,INT THAMES HOUSE THE GRID  DAY   ,49
31,EXT HIGHDALE SCHOOL GATES  DAY   ,18
32,INT TENT  DAY   ,22
33,INT HIGHDALE SCHOOL STAFF ROOM  DAY   ,19
34,INT TENT  DAY   ,8
35,INT HIGHDALE SCHOOL STAFF ROOM  DAY   ,30
36,INT HIGHDALE SCHOOL CLASSROOM  DAY   ,21
37,INT TENT  DAY   ,13
38,EXT HIGHDALE SCHOOL  DAY   ,44
39,INT TENT  DAY   ,21
40,INT DANNY AND ZOE S FLAT  NIGHT   ,103
41,INT THAMES HOUSE  HARRY S OFFICE  NIGHT   ,32
42,INT THAMES HOUSE THE GRID  NIGHT   ,42
43,EXT VICKY S FLAT  DAY   ,38
44,INT HIGHDALE SCHOOL CLASSROOM  DAY   ,64
45,INT HIGHDALE SCHOOL STAFF ROOM  DAY   ,32
46,INT TENT  DAY   ,4
47,INT HIGHDALE SCHOOL STAFF ROOM  DAY   ,10
48,EXT HIGHDALE SCHOOL  DAY   ,5
49,INT HIGHDALE SCHOOL IT ROOM  DAY   ,20
50,INT HIGHDALE SCHOOL CORRIDOR  DAY   ,13
51,INT HIGHDALE SCHOOL BLANEY S CLASSROOM  DAY   ,5
52,EXT HIGHDALE SCHOOL DAY   ,9
53,INT HIGHDALE SCHOOL BLANEY S CLASSROOM  DAY   ,5
54,INT HIGHDALE SCHOOL OUTSIDE IT ROOM  DAY   ,5
55,INT TENT  DAY   ,10
56,INT HIGHDALE SCHOOL BLANEY S CLASSROOM  DAY   ,10
57,INT HIGHDALE SCHOOL CORRIDOR  DAY   ,4
58,INT HIGHDALE SCHOOL BLANEY S CLASSROOM  DAY   ,5
59,INT HIGHDALE SCHOOL CORRIDOR  DAY   ,8
60,INT HIGHDALE SCHOOL BLANEY S CLASSROOM  DAY   ,46
61,EXT HIGHDALE SCHOOL  DUSK   ,5
62,INT HIGHDALE SCHOOL IT ROOM  NIGHT   ,8
63,INT RED CRY OFFICES  NIGHT   ,21
64,INT HIGHDALE SCHOOL IT ROOM  NIGHT   ,9
65,INT COFFEE SHOP  NIGHT   ,39
66,INT RED CRY OFFICES  NIGHT   ,16
67,INT THAMES HOUSE HARRY S OFFICE  NIGHT   ,82
68,INT HIGHDALE SCHOOL CORRIDOR  DAY   ,14
69,INT HIGHDALE SCHOOL CLASSROOM  DAY   ,43
70,INT TENT  DAY   ,18
71,INT HIGHDALE SCHOOL CLASSROOM  DAY   ,33
72,INT TENT  DAY   ,4
73,INT HIGHDALE SCHOOL CLASSROOM  DAY   ,45
74,EXT HIGHDALE SCHOOL  DAY   ,5
75,INT TENT  DAY   ,16
