1,EXT FIELD  NIGHT,81
2,INT WHITEHILL HOME  LIVING ROOM  NIGHT,52
3,INT WHITEHILL HOME  KITCHEN  NIGHT,17
4,EXT WHITEHILL HOME  NIGHT,4
5,INT SHED  NIGHT,21
6,INT WHITEHILL HOME  HALLWAY  NIGHT,13
7,INT SHED  NIGHT,16
8,INT SHED  MORNING,15
9,INT SHED  NIGHT,70
10,EXT STREET  MORNING,17
11,EXT ORION SECTOR  GUARD GATE  DAY,28
12,EXT ORION SECTOR  GUARD GATE  DAY,13
13,INT GOVERNMENT MEDICAL FACILITY  LABORATORY  DAY,32
14,EXT WEST CRAVEN HOSPITAL  DAY,6
15,INT UNIVERSITY BUILDING  OFFICE  DAY,14
16, ROOM  DAYINT HOSPITAL  JULIA S,129
17,INT WHITEHILL HOME  KITCHEN  DAY,6
18, BEDROOM  DAYINT WHITEHILL HOME  EMERY S,8
19,INT WHITEHILL HOME  KITCHEN  DAY,46
20,EXT WHITEHILL HOME  DAY,7
21, CAR  DAYINT LUKAS S,26
22,INT MILITARY BUS  DAY,25
23,EXT MARSHALL HIGH SCHOOL  DAY,41
24, CAR  DAYINT TAYLOR S,41
25,EXT PARKING LOT  DAY,39
26,EXT MARSHALL HIGH SCHOOL  DAY,87
27,INT MARSHALL HIGH SCHOOL  HALLWAY  DAY,52
28,INT MARSHALL HIGH SCHOOL  AUDITORIUM  DAY,12
29,INT MARSHALL HIGH SCHOOL  BACKSTAGE  DAY,33
30,INT MARSHALL HIGH SCHOOL  AUDITORIUM  DAY,9
31,INT MARSHALL HIGH SCHOOL  BACKSTAGE  DAY,10
32,INT MARSHALL HIGH SCHOOL  AUDITORIUM  DAY,7
33,INT MARSHALL HIGH SCHOOL  BACKSTAGE  DAY,12
34,INT MARSHALL HIGH SCHOOL  AUDITORIUM  DAY,29
35,INT MARSHALL HIGH SCHOOL  HALLWAY  DAY ,79
36,INT MARSHALL HIGH SCHOOL  GIRLS BATHROOM  DAY,22
37,INT MARSHALL HIGH SCHOOL  CLASSROOM  DAY,59
38,EXT ORION SECTOR  GUARD GATE  DAY,92
39,INT WHITEHILL HOME  KITCHEN  NIGHT,42
40,INT MARSHALL HIGH SCHOOL  CLASSROOM  DAY,62
41,INT MARSHALL HIGH SCHOOL  CAFETERIA  DAY,109
42,INT MARSHALL HIGH SCHOOL  BATHROOM  DAY,27
43,EXT MARSHALL HIGH SCHOOL  COURTYARD  DAY,163
44, ROOM  NIGHTINT HOSPITAL  JULIA S,140
45,EXT HOSPITAL  NIGHT,10
46,EXT ORION SECTOR  NIGHT ,67
47,EXT ORION SECTOR  STREET  NIGHT,19
48,EXT ORION SECTOR  MARKET DISTRICT  NIGHT,71
49,EXT ORION SECTOR  ROOFTOP  NIGHT,175
50,EXT ORION SECTOR  NIGHT,26
51,INT MARSHALL HIGH SCHOOL  HALLWAY  DAY,51
52, LOCKER ROOM  DAYINT MARSHALL HIGH SCHOOL  BOYS ,13
53,INT MARSHALL HIGH SCHOOL  HALLWAY  DAY,15
54, LOCKER ROOM  DAYINT MARSHALL HIGH SCHOOL  BOYS ,19
55,INT MARSHALL HIGH SCHOOL  OFFICE  DAY,5
56,INT MARSHALL HIGH SCHOOL  HALLWAY  DAY,25
57,INT MARSHALL HIGH SCHOOL  OFFICE  DAY,49
58,INT MARSHALL HIGH SCHOOL  HALLWAY  DAY,89
59, BEDROOM  NIGHT INT WHITEHILL HOME  EMERY S,26
60,EXT ORION SECTOR  ALLEY  NIGHT,20
61,EXT ORION SECTOR  ROOFTOP  NIGHT,96
62, HOUSE  NIGHTEXT ORION SECTOR  ROMAN S,94
63,EXT ORION SECTOR  NIGHT,9
64,INT HOUSE OF CARDS  NIGHT,35
65,EXT ORION SECTOR  NIGHT ,7
66,EXT FARMHOUSE  NIGHT,5
67,INT FARMHOUSE  NIGHT,44
68,INT FARMHOUSE  NIGHT  LATER,13
69,EXT FARMHOUSE  NIGHT,136
70,EXT FIELD  NIGHT,84
71, HOUSE  NIGHTINT ORION SECTOR  ROMAN S,26
72,INT HOSPITAL  HALLWAY  NIGHT,12
73,EXT ORION SECTOR  STREET  NIGHT,25
74, ROOM  NIGHTINT HOSPITAL  JULIA S,9
75,EXT ORION SECTOR  NIGHT,16
76,INT HOUSE OF CARDS  NIGHT,12
77,INT HOSPITAL  WAITING AREA  NIGHT ,13
78, ROOM  NIGHTINT HOSPITAL  JULIA S,6
79,INT HOUSE OF CARDS  NIGHT,32
80, ROOM  NIGHTINT HOSPITAL  JULIA S,9
81,INT HOUSE OF CARDS  NIGHT,21
82, ROOM  NIGHTINT HOSPITAL  JULIA S,9
83,INT HOUSE OF CARDS  NIGHT,13
84, ROOM  NIGHTINT HOSPITAL  JULIA S,5
85,INT HOUSE OF CARDS  NIGHT,9
