1,    INT CORRIDOR ,321
2,    INT TROIS QUARTERS ,67
3,    INT TEN FORWARD ,41
4,    INT TROIS QUARTERS ,13
5,    INT TEN FORWARD OPTICAL ,192
6,    EXT SPACE  THE ENTERPRISE OPTICAL ,14
7,   INT OBSERVATION DECK OPTICAL ,184
8,   INT TROIS OFFICE OPTICAL ,201
9,A  EXT SPACE  THE ENTERPRISE OPTICAL ,2
10,   INT CAPTAINS READY ROOM ,198
11,   INT GUEST QUARTERS ,141
12,   INT CORRIDOR  AT TROIS DOOR ,14
13,   INT TROIS QUARTERS OPTICAL ,98
14,A  INT SICKBAY FORMERLY  ,21
15,B  INT CAPT READY ROOM FROM SCENE  ,97
16,   INT SICKBAY ,68
17,   INT CORRIDOR  CONTINUOUS ,102
18,   INT MAIN BRIDGE ,16
19,   EXT SPACE OPTICAL ,5
20,   INT SHUTTLE ,13
21,   INT FERENGI POD ,30
22,   EXT SPACE  THE WORMHOLE OPTICAL ,8
23,   INT MAIN BRIDGE ,5
24,   EXT SPACE  OPTICAL ,5
25,   EXT SHUTTLE AND FERENGI POD OPTICAL ,30
26,   INT MAIN BRIDGE ,77
27,   INT OBSERVATION LOUNGE ,215
28,   INT TROIS QUARTERS  CLOSE ON HER FOOT ,220
29,A  EXT WORMHOLE OPTICAL ,4
30,   INT SHUTTLE OPTICAL ,11
31,A  EXT SPACE  WORMHOLE EXIT OPTICAL ,7
32,B  EXT SHUTTLE OPTICAL ,16
33,C  INT FERENGI POD ,19
34,D  INT SHUTTLE ,117
35,   INT EXERCISE ROOM ,101
36,   INT TENFORWARD ,58
37,   INT OBSERVATION LOUNGE ,66
38,   EXT SPACE  THE TWO SHUTTLECRAFT OPTICAL ,5
39,A  INT FERENGI POD ,11
40,   INT SHUTTLE ,139
41,A  EXT FERENGI POD  SPACE OPTICAL ,4
42,   INT FERENGI POD OPTICAL ,69
43,   INT TROIS QUARTERS ,174
44,   EXT SPACE  THE ENTERPRISE OPTICAL ,4
45,   INT TENFORWARD ,282
46,   INT MAIN BRIDGE ,134
47,   INT OBSERVATION LOUNGE ,49
48,   INT MAIN BRIDGE OPTICAL ,335
49,   INT SHUTTLE ,31
50,A  INT MAIN BRIDGE ,76
51,   INT CORRIDOR  AT TROIS QUARTERS ,12
