1,    EXT ANGOSIAN CAPITOL  ESTABLISHING MATTE ,248
2,    EXT ANGOSIAN SENATE ,180
3,    INT MAIN BRIDGE ,66
4,    EXT SPACE  THE ENTERPRISE OPTICAL ,5
5,    INT MAIN BRIDGE OPTICAL ,135
6,    INT MAIN BRIDGE ,143
7,   EXT SPACE  THE ENTERPRISE OPTICAL ,6
8,   INT MAIN BRIDGE ,41
9,   EXT SPACE  THE TRANSPORT VESSEL OPTICAL ,6
10,   INT MAIN BRIDGE ,52
11,   INT MAIN BRIDGE ,38
12,   INT TRANSPORTER ROOM ,28
13,   INT TRANSPORTER CORRIDOR ,85
14,   EXT SPACE  THE ENTERPRISE OPTICAL ,4
15,A  INT MAIN BRIDGE OPTICAL ,95
16,   INT DETENTION CELL ,17
17,B  INT CORRIDOR FORMERLY SCENE  ,5
18,   INT DETENTION CELL ,5
19,   INT CORRIDOR  TROI ,5
20,   INT DETENTION CELL ,169
21,A  INT CAPTAINS READY ROOM ,64
22,   INT MAIN BRIDGE OPTICAL ,93
23,   INT DETENTION CELL ,113
24,   INT OBSERVATION LOUNGE ,92
25,   INT DETENTION CELL ,152
26,   INT READY ROOM OPTICAL ,127
27,   INT DETENTION CELL ,150
28,   EXT SPACE  THE ENTERPRISE OPTICAL ,45
29,   INT MAIN BRIDGE OPTICAL ,57
30,   INT DETENTION CELL OPTICAL ,29
31,A  INT TRANSPORTER ROOM ,9
32,B  INT DETENTION CELL OPTICAL ,23
33,   INT MAIN BRIDGE ,10
34,A  INT DETENTION CELL ,9
35,B  INT MAIN BRIDGE ,92
36,   INT CORRIDOR OPTICAL ,9
37,   INT MAIN BRIDGE ,19
38,   INT CORRIDOR ,47
39,AA INT CORRIDOR OPTICAL ,18
40,A  INT MAIN BRIDGE ,78
41,   INT ENGINEERING ,12
42,A  INT MAIN BRIDGE ,28
43,B  INT ENGINEERING ,4
44,C  INT MAIN BRIDGE ,24
45,D  INT ENGINEERING ,8
46,A  INT MAIN BRIDGE ,18
47,   INT JEFFERIES TUBE ,20
48,   INT ENGINEERING ,46
49,   INT JEFFERIES TUBE ,20
50,   INT MAIN BRIDGE ,65
51,A  INT JEFFRIES TUBE ,5
52,B  INT MAIN BRIDGE ,44
53,   INT CARGO BAY ,6
54,A  INT MAIN BRIDGE ,17
55,B  INT DECK THIRTYEIGHT CORRIDOR ,14
56,C  INT CARGO BAY ,22
57,A  INT MAIN BRIDGE ,20
58,   INT CARGO BAY ,54
59,   INT JEFFERIES TUBE ,4
60,   INT CARGO BAY ,8
61,A  INT MAIN BRIDGE ,21
62,B  INT CARGO BAY ,20
63,A  INT ANGOSIAN TRANSPORT SHIP OPTICAL ,6
64,   INT CARGO BAY ,26
65,A  INT MAIN BRIDGE ,64
66,   EXT SPACE  THE ENTERPRISE OPTICAL ,12
67,A  INT MAIN BRIDGE ,73
68,D  INT CORRIDOR ,58
69,   INT ANGOSIAN SENATE  NIGHT ,395
70,  EXT SPACE  THE ENTERPRISE OPTICAL ,2
71,  INT MAIN BRIDGE ,41
