1,          EXT SPACE  USS ENTERPRISE IN ORBIT OPTICAL ,112
2,          INT TRANSPORTER ROOM   ANGLE ON PICARD ,112
3,          EXT SPACE  THE ENTERPRISE OPTICAL ,5
4,          INT MAIN BRIDGE  WIDE ANGLE ,69
5,         INT SENSOR MAINTENANCE ROOM  ON GEORDI AND WORF ,32
6,         INT MAIN BRIDGE  WIDE ANGLE ,26
7,         EXT SPACE  ENTERPRISE AND ENERGY CLOUD OPTICAL ,5
8,         INT MAIN BRIDGE  ANGLE INCLUDING VIEWSCREEN OPTICAL ,7
9,         EXT SPACE  ENTERPRISE AND CLOUD OPTICAL ,14
10,         EXT SPACE  CLOSE ON ENTERPRISE AND CLOUD OPTICAL ,5
11,         INT SENSOR MAINTENANCE ROOM  ON WORF AND GEORDI ,72
12,         EXT SPACE  ENTERPRISE OPTICAL ,5
13,         INT SENSOR MAINTENANCE ROOM  ON WORF AND GEORDI ,62
14,         INT READY ROOM  ANGLE ON GEORDI AND PICARD ,22
15,         INT SICKBAY  ANGLE ON BEVERLY TROI WORF ,21
16,         INT CRUSHERS OFFICE  BEVERLY AND TROI ,40
17,         INT BADAR NDDS QUARTERS  ON TASHA AND ,60
18,         INT SICKBAY  ANGLE ON BEVERLY AND WORF OPTICAL ,69
19,         INT MAIN BRIDGE  ANGLE ON DATA AND PICARD OPTICAL ,41
20,         INT CRUSHERS QUARTERS  ON WESLEY ,70
21,         INT MAIN BRIDGE  EMPHASIZING PICARD ,173
22,         EXT SPACE  THE ENTERPRISE OPTICAL ,5
23,         INT OBSERVATION LOUNGE  EMPHASIZING PICARD OPTICAL ,67
24,         INT BADAR NDDS QUARTERS  ANGLE ON RIKER ,76
25,         EXT SPACE  THE ENTERPRISE OPTICAL ,4
26,         INT ENGINEERS OFFICE  ANGLE ON SINGH GEORDI WESLEY ,6
27,         INT MAIN BRIDGE  EMPHASIZING WORF ,20
28,         EXT SPACE  THE ENTERPRISE OPTICAL ,4
29,         INT ENGINEERS OFFICE  EMPHASIZING SINGH ,16
30,         INT MAIN BRIDGE  EMPHASIZING PICARD ,22
31,         INT CAPTAINS READY ROOM  PICARD RIKER DATA ,85
32,         INT ENGINEERS OFFICE  ANGLE ON SINGH AND WESLEY ,41
33,         INT CRUSHERS QUARTERS  ANGLE ON BEVERLY ,51
34,         INT ENGINEERS OFFICE  ANGLE ON SINGH OPTICAL ,43
35,         EXT SPACE  THE ENTERPRISE OPTICAL ,11
36,         INT READY ROOM  PICARD RIKER CRUSHER TASHA ,34
37,         INT ENGINEERS OFFICE  ANGLE ON WORF WESLEY GEORDI ,37
38,         INT MAIN BRIDGE  ANGLE ON PICARD ,12
39,         EXT SPACE  ENTERPRISE OPTICAL ,6
40,         INT GUEST QUARTERS  ANGLE ON TASHA BADAR NDD ,42
41,         INT CRUSHERS OFFICE  TROI BEVERLY WORF ,37
42,         INT RIKERS QUARTERS  DATA RIKER TASHA OPTICAL ,96
43,         INT SICKBAY  ANGLE ON TROI BEVERLY AND WORF ,60
44,         INT OBSERVATION LOUNGE  ANGLE ON PICARD OFFICERS ,90
45,         INT MAIN BRIDGE  WIDE ANGLE ,161
46,         EXT SPACE  ENTERPRISE OPTICAL ,4
47,         INT MAIN BRIDGE  EMPHASIZING PICARD ,55
48,         EXT SPACE  THE ENTERPRISE OPTICAL ,6
49,         INT MAIN BRIDGE  WIDE ANGLE ,65
50,         EXT SPACE  ENTERPRISE OPTICAL ,5
51,      A  INT CORRIDOR ,32
52,         INT RIKERS QUARTERS ,105
53,         EXT SPACE  ENTERPRISE OPTICAL ,12
54,         INT CAPTAINS READY ROOM  ANGLE ON PICARD ,81
55,         EXT SPACE  ENTERPRISE OPTICAL ,5
56,         INT CORRIDOR NEAR ENGINEERING  ANGLE ON TURBOLIFT ,56
57,         INT READY ROOM  ANGLE ON PICARD ,108
58,         EXT SPACE  ENTERPRISE AND CLOUD OPTICAL ,16
59,         INT MAIN BRIDGE  WIDE SHOT ,274
60,        INT CORRIDOR ,5
61,        INT TRANSPORTER ROOM ,12
62,        EXT SPACE  ENTERPRISE AND CLOUD OPTICAL ,5
63,        INT MAIN BRIDGE  WIDE ANGLE ,88
64,        EXT SPACE  ENTERPRISE AND CLOUD OPTICAL ,5
65,        INT MAIN BRIDGE  MAIN VIEWER OPTICAL ,131
66,        EXT SPACE  THE ENTERPRISE OPTICAL ,4
67,        INT TRANSPORTER ROOM ,138
