1,          EXT SPACE  THE ENTERPRISE OPTICAL ,266
2,          INT MAIN BRIDGE ,45
3,          INT CORRIDOR OPTICAL ,78
4,      A   EXT MEADOW ,131
5,          INT MAIN BRIDGE OPTICAL ,87
6,          EXT SPACE  THE ENTERPRISE OPTICAL ,4
7,          INT OBSERVATION LOUNGE ,100
8,      A   INT MAIN BRIDGE ,22
9,      B   INT OBSERVATION LOUNGE ,66
10,          INT MAIN BRIDGE ,67
11,          INT CORRIDOR ,98
12,          EXT SPACE  THE ENTERPRISE OPTICAL ,13
13,         INT DATAS QUARTERS OPTICAL ,60
14,         INT GEOPHYSICAL LABORATORY OPTICAL ,94
15,         INT DATAS QUARTERS ,78
16,         EXT SPACE  THE ENTERPRISE OPTICAL ,5
17,         INT CORRIDOR ,74
18,      A  EXT SPACE  THE ENTERPRISE OPTICAL ,12
19,         INT CORRIDOR OPTICAL ,24
20,         EXT MEADOW ,79
21,         INT GEOPHYSICAL LABORATORY ,101
22,         INT MAIN BRIDGE ,82
23,         EXT MEADOW ,223
24,         INT TENFORWARD ,180
25,         EXT SPACE  THE ENTERPRISE OPTICAL ,4
26,         INT GEOPHYSICAL LABORATORY ,22
27,         INT PICARDS QUARTERS ,332
28,         EXT SPACE  THE ENTERPRISE OPTICAL ,6
29,         INT OBSERVATION LOUNGE ,184
30,         EXT SPACE  THE ENTERPRISE OPTICAL ,4
31,         INT DATAS QUARTERS ,21
32,         INT CAPTAINS READY ROOM OPTICAL ,369
33,         INT TRANSPORTER ROOM OPTICAL ,51
34,         INT SARJENKAS ROOM OPTICAL ,267
35,         INT TRANSPORTER ROOM OPTICAL ,55
36,         INT MAIN BRIDGE OPTICAL ,150
37,      A  EXT SPACE  THE ENTERPRISE OPTICAL ,5
38,      B  INT MAIN BRIDGE OPTICAL ,220
39,      C  INT PULASKIS OFFICE OPTICAL ,29
40,      D  INT CORRIDOR ,102
41,         INT PULASKIS OFFICE ,78
42,      A  INT SICKBAY OPTICAL ,97
43,         INT SARJENKAS ROOM OPTICAL ,13
44,         EXT SPACE  THE ENTERPRISE OPTICAL ,4
45,         INT MAIN BRIDGE ,45
