1,          INT DATAS QUARTERS ,511
2,          INT MAIN BRIDGE ,52
3,          EXT SPACE  THE ENTERPRISE OPTICAL ,46
4,          EXT SPACE  THE ENTERPRISE OPTICAL ,4
5,          INT MAIN BRIDGE ,204
6,          EXT SPACE  THE ENTERPRISE OPTICAL ,4
7,         INT MAIN BRIDGE ,100
8,         EXT SPACE  THE ENTERPRISE OPTICAL ,4
9,         INT MAIN BRIDGE ,24
10,         EXT SPACE  THE ENTERPRISE OPTICAL ,15
11,         INT MAIN BRIDGE ,15
12,         EXT SPACE  THE ENTERPRISE OPTICAL ,6
13,         INT MAIN BRIDGE ,13
14,      A  INT TRANSPORTER ROOM ,8
15,         EXT SPACE  THE ENTERPRISE OPTICAL ,18
16,         INT MAIN BRIDGE ,8
17,         EXT SPACE  THE ENTERPRISE OPTICAL ,6
18,         INT MAIN BRIDGE ,8
19,         EXT SPACE  THE ENTERPRISE OPTICAL ,6
20,         INT TRANSPORTER ROOM ,40
21,         INT MAIN BRIDGE ,28
22,         INT TRANSPORTER ROOM ,120
23,         INT OBSERVATION LOUNGE ,147
24,         EXT SPACE  THE ENTERPRISE OPTICAL ,4
25,         INT OBSERVATION LOUNGE OPTICAL ,193
26,         INT CORRIDOR ,55
27,         INT GUEST QUARTERS ,105
28,         INT TACTICAL ROOM ,363
29,         INT GUEST QUARTERS ,78
30,         INT CORRIDOR OUTSIDE HOLODECK ,46
31,         INT MAIN BRIDGE ,89
32,         INT CORRIDOR OUTSIDE HOLODECK ,23
33,         INT HOLODECK  BATTLEGROUND ,244
34,         INT HOLODECK  BATTLEGROUND ,356
35,         EXT SPACE  THE ENTERPRISE OPTICAL ,4
36,         INT MAIN BRIDGE ,33
37,         INT TACTICAL ROOM ,176
38,         INT OBSERVATION LOUNGE ,136
39,         INT MAIN BRIDGE ,135
40,         INT MAIN BRIDGE ,44
41,         EXT SPACE  THE ENTERPRISE OPTICAL ,13
42,         INT MAIN BRIDGE ,44
43,      A  EXT SPACE  THE ENTERPRISE OPTICAL ,15
44,      B  INT MAIN BRIDGE ,81
45,         EXT SPACE  THE ENTERPRISE OPTICAL ,4
46,         INT MAIN BRIDGE  CLOSE ON MAIN VIEWER OPTICAL ,281
