1,      EXT SPACE  THE ENTERPRISE STOCK OPTICAL ,194
2,      EXT PLANET SURFACE  DAY ,60
3,      INT TRANSPORTER ROOM ,5
4,      EXT PLANET SURFACE  DAY ,7
5,      INT TRANSPORTER ROOM ,16
6,      EXT PLANET SURFACE  DAY ,28
7,      INT TRANSPORTER ROOM ,54
8,     EXT PLANET SURFACE  DAY OPTICAL ,100
9,  A  INT SICKBAY OPTICAL ,83
10,     EXT SPACE  THE ENTERPRISE STOCK OPTICAL ,15
11,     INT SICKBAY ,169
12,     INT TRANSPORTER ROOM ,54
13,     EXT PLANET SURFACE  DAY OPTICAL ,200
14,  C  INT TRANSPORTER ROOM OPTICAL ,104
15,  A  INT PULASKIS OFFICE ,36
16,     INT SICKBAY ,106
17,  A  INT PULASKIS OFFICE ,55
18,     EXT SPACE  THE ENTERPRISE STOCK OPTICAL ,6
19,     INT SICKBAY ,168
20,     EXT SPACE  THE ENTERPRISE STOCK OPTICAL ,10
21,     INT SICKBAY ,177
22,  A  EXT PLANET SURFACE STOCK FROM  SCENES  TO  ,37
23,  B  INT SICKBAY OPTICAL ,66
24,  A  INT SICKBAY ,53
25,  C  INT HOLODECK CORRIDOR STOCK  SC  ,90
26,  H  EXT WOODLAND GLEN ,128
27,     INT MAIN BRIDGE STOCK FROM  SCENE  ,70
28,  A  INT TENFORWARD STOCK FROM  SCENE  ,157
29,     INT SICKBAY OPTICAL ,55
30,  C  INT COUNCIL CHAMBERS STOCK FROM  SCENES  ,41
31,  E  INT COUNCIL CHAMBERS STOCK FROM  SCENES A ,87
32,  G  INT HOLODECK STOCK FROM  SCENES  THRU  ,111
33,  K  INT HOLODECK STOCK FROM  SCENES  THRU  ,133
34,  AA INT SICKBAY ,29
35,  B  INT RIKERS QUARTERS STOCK FROM  SCENE A ,36
36,     INT EXECUTIVE OFFICE STOCK FROM  SCENE  ,114
37,     INT SICKBAY OPTICAL ,35
38,     INT SICKBAY ,55
39,  C  EXT PLANET SURFACE STOCK FROM  SCENE C ,84
40,  D  EXT PLANET SURFACE STOCK FROM  SCENE C ,9
41,  E  INT SICKBAY STOCK FROM  SCENES  THRU  ,147
42,  F  INT PLANET DISASTER AREA STOCK  SC  TO  ,130
43,  R  INT TROIS QUARTERS STOCK  SC  THRU  ,174
44,     INT SICKBAY OPTICAL ,120
45,  E  INT PAGH  MAIN BRIDGE STOCK  SC E ,223
46,  K  INT QUINNS GUEST QUARTERS STOCK  SC  ,133
47,  L  EXT PLANET SURFACE STOCK FROM  SCENE C ,39
48,    INT SICKBAY ,84
49,  A EXT SPACE  THE ENTERPRISE STOCK OPTICAL ,9
50,    INT SICKBAY ,51
51,  C INT GUEST QUARTERS STOCK FROM  SCENE B ,93
52,  D EXT PLANET SURFACE STOCK  SC A ,55
53,  F EXT PLANET SURFACE OPTICAL ,28
54,  H EXT PLANET SURFACE  ANGLE ON TASHA OPTICAL ,13
55,  J EXT PLANET SURFACE OPTICAL ,61
56,    INT SICKBAY  ON RIKER ,53
57,  A INT ENGINEERING STOCK FROM  SCENE  ,35
58,  B INT MAIN BRIDGE STOCK FROM  SCENE A ,29
59,  C EXT SPACE  THE ENTERPRISE STOCK OPTICAL ,4
60,  D INT MAIN BRIDGE STOCK FROM  SCENE E ,19
61,  E INT MAIN BRIDGE  STOCK FROM  SCENE B  D ,39
62,  F INT BATRIS  ENGINEERING STOCK  SC  ,58
63,   INT BATRIS  CORRIDOR ,21
64,   INT BATRIS  CORRIDOR ,12
65,   INT BATRIS  CORRIDOR OPTICAL ,5
66,   INT TRANSPORTER ROOM ,13
67,   INT BATRIS  CORRIDOR ,9
68,   EXT SPACE  THE BATRIS OPTICAL ,6
69,  G EXT SPACE STOCK  SC  ,14
70,   EXT SPACE  EXPLODED MASS OF MATERIAL OPTICAL ,16
71,   INT ENGINEERS OFFICE  ON MACDOUGAL ,114
72,   EXT SPACE  MASS OF MATERIAL FROM STAR OPTICAL ,39
73,   EXT SPACE  ENTERPRISE TSIOLKOVSKY OPTICAL ,5
74,   INT ENGINEERS OFFICE  ON WESLEY ,10
75,   EXT SPACE  ENTERPRISE TSIOLKOVSKY OPTICAL ,6
76,   INT ENGINEERS OFFICE  WIDE ANGLE ,22
77,   EXT SPACE  TSIOLKOVSKY AND MASS OF MATERIAL ,9
78,  H EXT SPACE STOCK OPTICAL FROM  SCENES    ,14
79,    INT SICKBAY OPTICAL ,95
80,    INT SICKBAY  CLOSE ON RIKER ,31
81,  A EXT SPACE  THE ENTERPRISE STOCK OPTICAL ,4
