1,      EXT NEW YORK CITY APARTMENT BUILDING  NIGHT N,142
2,      INT GIRLS  APARTMENT  KIMMIE S BEDROOM  NIGHT N,45
3,      EXT SUBURBAN STREET  DAY  FLASHBACK FB,44
4,      INT GIRLS  APARTMENT  KIMMIE S BEDROOM  CONTINUOUS N,11
5,      INT GIRLS  APARTMENT  LIVING ROOMKITCHEN  FLASHBACK FB,13
6,      INT GIRLS  APARTMENT  KIMMIE S BEDROOM  CONTINUOUS N,8
7,      INT GIRLS  APARTMENT  LIVING ROOMKITCHEN  FLASHBACK FB,10
8,      INT GIRLS  APARTMENT  KIMMIE S BEDROOM  CONTINUOUS N,21
9,INT GIRLS  APARTMENT  LIVING ROOMKITCHEN  MOMENTS LATER ,127
10,      EXT CITY STREET LAW FIRM ENTRANCE  DAY D,42
11,      INT LAW FIRM  TH FLOOR HALLWAY  MOMENTS LATER D,7
12,      INT LAW FIRM  KIMMIE S OFFICE  CONTINUOUS D,106
13,      EXT TENNIS COURTS  DAY D,12
14,      INT LAW FIRM  KIMMIE S OFFICE  CONTINUOUS D,10
15,      INT WORK CUBICLE  SAME TIME D,29
16,      INT LAW FIRM  KIMMIE S OFFICE  CONTINUOUS D,74
17,      EXT TENNIS COURTS  CONTINUOUS D,18
18,      INT LAW FIRM  FELICITY S OFFICE  LATER THAT DAY D,77
19,      EXT PARK  DAY D,20
20,      INT HIGH SCHOOL GYMNASIUM  PROM  FLASHBACK FB,21
21,      EXT PARK  CONTINUOUS D,35
22,      INT LAW FIRM  CONFERENCE ROOM  FLASHBACK FB,38
23,      EXT PARK  CONTINUOUS D,142
24,      EXT CLOTHING STORE  LATER THAT DAY D,28
25,      INT CLOTHING STORE  CONTINUOUS D,66
26,      EXT CITY STREET  NIGHT N,18
27,      EXT CLUB ENTRANCE  NIGHT N,37
28,      EXT CLUB ENTRANCE  MOMENTS LATER N,26
29,      EXT CLUB ENTRANCE  CONTINUOUS N,14
30,      EXT CLUB ENTRANCE  MOMENTS LATER N,11
31,      EXT CLUB ENTRANCE  MOMENTS LATER N,13
32,      EXT CLUB ENTRANCE  MOMENTS LATER N,8
33,      EXT CLUB ENTRANCE  MOMENTS LATER N,13
34,      EXT BACK OF BUILDING  NIGHT N,11
35,      EXT CLUB ALLEY  NIGHT N,42
36,      INT DARKENED SPACE  CONTINUOUS N,32
37,      EXT CLUB  STREET  CONTINUOUS N,204
38,      EXT CLUB  STREET  MOMENTS LATER N,28
39,INT GIRLS  APARTMENT  LIVING ROOMKITCHEN  LATER THAT ,26
40,      EXT CLUB  ALLEY  NIGHT  FLASHBACK FB,7
41,      INT GIRLS  APARTMENT  LIVING ROOMKITCHEN  CONTINUOUS N,8
42,      EXT CITY STREET  NIGHT  FLASHBACK FB,7
43,      INT GIRLS  APARTMENT  LIVING ROOMKITCHEN  CONTINUOUS N,15
44,      EXT BACK OF BUILDING  ALLEY WAY  NIGHT  FLASHBACK FB,7
45,      INT GIRLS  APARTMENT  LIVING ROOMKITCHEN  CONTINUOUS N,35
