1,      EXT AIRPORT  DAY   ,16
2,      INT AIRPORT TERMINAL DAY   ,14
3,      INT AIRPORT TERMINAL PASSPORT CONTROL DAY   ,69
4,      INT AIRPORT TERMINAL DAY   ,56
5,      EXT CITY DAY    ,9
6,      EXT STREET SHOPPING AREA DAY   ,8
7,      INT TRAIN DAY   ,8
8,      EXT GRANT HOUSE DAY   ,21
9,      INT GRANT HOUSE KITCHEN DAY   ,105
10,      INT GRANT HOUSE KITCHEN DAY   ,215
11,      INT DR THOMPSON S OFFICE DAY  ,139
12,      INT PRISON DAY   ,33
13,      INT PRISON PRICE S CELL DAY   ,72
14,      EXT SHOPPING CENTRE DAY    ,61
15,      INT DEPARTMENT STORE STAFF CAFE DAY   ,100
16,      INT TRAIN STATION DAY   ,28
17,      EXT BRIDEWELL PRIMARY SCHOOL GATESPLAYGROUND DAY,92
18,      INT TRAIN DAY   ,33
19,      INT GRANT HOUSE LIVING ROOM DAY  ,111
20,      INT MINISTRY OF HEALTH OPEN PLAN OFFICE DAY  ,95
21,      INT GRANT HOUSE BATHROOM DAY   ,18
22,      INT GRANT HOUSE KITCHEN DAY   ,168
23,      INT CAR PETROL STATION DAY   ,37
24,      EXT PETROL STATION DAY   ,100
25,      INT PRISON PRICE S CELL NIGHT   ,75
26,      INT CLUB NIGHT     ,63
27,      INT GRANT HOUSE HALL NIGHT   ,31
28,      INT GRANT HOUSE BEDROOM NIGHT   ,48
29,      INT WANDSWORTH PRISON PRICE S CELL NIGHT  ,33
30,      INT MINISTRY OF HEALTH OPEN PLAN OFFICE NIGHT  ,84
31,      INT CLUB NIGHT    ,27
32,      INT GRANT HOUSE BEDROOM NIGHT   ,53
33,      INT AL S FLAT LIVING ROOM NIGHT  ,88
34,      INT JENNY S FLAT LIVING ROOM NIGHT  ,57
35,      INT MINISTRY OF HEALTH PRESS ROOM NIGHT  AA,60
36,      INT AL S FLAT LIVING ROOM NIGHT  BB,39
37,      EXT JENNY S HOUSE STREETS NIGHT  ,21
38,EXT STREETTRAM STATION NIGHT    ,30
39,      INT GRANT HOUSE BEDROOM NIGHT   ,55
40,      INT HOSPITAL AE NIGHT   ,100
41,      INT HOSPITAL CORRIDORS NIGHT   ,116
42,      EXT STREET NIGHT  ,70
43,      INT MOSQUE PRAYER HALL NIGHT   ,16
44,      INT GRANT HOUSE BEDROOM NIGHT   ,81
45,      INT HOSPITAL CORRIDOR NIGHT   ,9
46,      INT HOSPITAL STAFF ROOM NIGHT   ,132
47,      INT MINISTRY OF HEALTH OPEN PLAN OFFICE NIGHT  ,98
48,      INT MINISTRY OF HEALTH PRESS ROOM NIGHT  ,21
49,      INT MINISTRY OF HEALTH OPEN PLAN OFFICE NIGHT  ,24
50,      INT MINISTRY OF HEALTH OPEN PLAN OFFICE NIGHT  AA,17
51,      EXT CITY STREETS NIGHT   ,8
52,      EXT CITY TOWER BLOCK NIGHT  ,9
53,      EXT CITY NIGHT  ,18
54,      INT GRANT HOUSE LIVING ROOM NIGHT  ,26
55,      EXT CITYROADSFIELDSSTADIUMCAR PARK DAY  ,24
56,      INT PRISON PRICE S CELL DAY  ,77
57,      INT LONDON AL S FLAT BEDROOM DAY  ,44
58,      EXT ROAD OUTSIDE AL S APARTMENT DAY  ,27
59,      INT MOSQUE PRAYER ROOM DAY   ,44
60,      INT MOSQUE STAIRS DAY   ,15
61,      EXT MOSQUE STREET DAY  ,20
62,      INT HOSPITAL STAFF ROOM DAY   ,14
63,      EXT NAJID S FLAT BALCONY DAY  AA,8
64,      INT NAJID S HOUSE BEDROOM DAY   ,10
65,      INT PRISON PRICE S CELL DAY   ,12
66,      INT AL S FLAT LIVING ROOM DAY  ,18
67,      INT HOSPITAL CORRIDORS DAY   ,12
68,      INT HOSPITAL PHARMACY DAY   ,27
69,      EXT HOSPITAL COURTYARD DAY  ,9
70,      EXT CITY NIGHT   ,25
71,      INT PRISON PRICE S CELL DAY   ,27
72,      INT WANDSWORTH PRISON WALKWAY DAY   ,40
73,      INT WANDSWORTH PRISON STORAGE ROOM DAY  ,115
74,      EXT CITY STREETS DAY  ,59
75,      EXT CITY CANAL DAY   ,13
76,      EXT CANAL BARGE NIGHT  ,16
77,      INT CITY NIGHT   ,10
78,      INT GRANT HOUSE BEDROOM DAY  ,82
79,      INT GRANT HOUSE BATHROOM DAY  ,19
80,      INT GRANT HOUSE STAIRSHALL DAY  ,14
81,      INT GRANT HOUSE KITCHEN DAY   ,19
82,      INT GRANT HOUSE LIVING ROOM DAY  ,20
83,      EXT JOE AND LINDA S HOUSE  DAY  ,19
84,AAINT JOE AND LINDA S HOUSE BEDROOM  DAY   ,33
85,      EXT STREET DAY AA,22
86,      EXT STREET DAY  ,11
87,      INT PRICE FLAT HALLBEDROOM DAY  ,26
88,      EXT PRICE FLAT PATIO DAY   ,21
89,      INT AL S FLAT KITCHEN DAY  ,37
90,      EXT GRANT HOUSE GARDEN DAY   ,10
91,      EXT GRANT HOUSE GARDEN DAY  ,20
92,      EXT GRANT HOUSE FRONT DOOR DAY  ,28
93,      EXT ROADS DAY   ,9
94,      EXT STREETS DAY   ,9
95,      EXT ROADS DAY   ,13
96,      EXT STREETS DAY  ,10
97,      EXT ROADAL S CAR DAY  ,146
98,      INT AL S CAR DAY  ,134
99,      EXT CANAL BARGE DAY   ,14
100,EXT ROAD COUNTRYSIDE DAY    ,13
101,EXT PUB CAR PARK DAY   ,35
102,EXT CASTLE CRAG ADVENTURE CENTRE DAY   ,8
103,      EXT CASTLE CRAG ADVENTURE CENTRE HALL DAY  ,10
104,INT CASTLE CRAG ADVENTURE CENTRE STAIRSHALL DAY  ,16
105,      INT CASTLE CRAG ADVENTURE CENTRE DORMITORY DAY  ,27
106,      INT CASTLE CRAG ADVENTURE CENTRE DORMITORY DAY ,11
107,      INT CASTLE CRAG ADVENTURE CENTRE OFFICE DAY  ,57
108,      EXT ROAD DAY   ,147
109,      EXT CASTLE CRAG ADVENTURE CENTRE DAY  ,53
110,      EXT CASTLE CRAG ADVENTURE CENTRE DAY   ,93
111,      INT CASTLE CRAG ADVENTURE CENTRE KITCHEN NIGHT  ,165
112,      INT CASTLE CRAG ADVENTURE CENTRE OFFICE NIGHT  ,18
113,      INT AL S CAR STREETS DAY   ,33
114,      EXT CAR STREET DAY  ,57
115,      INT AL S CAR DAY  AA,13
116,      EXT STREETS DAY BB,62
117,      EXT CASTLE CRAG ADVENTURE CENTRE DAY   ,21
118,      EXT STREET DAY  AA,9
119,      EXT CORNER SHOP DAY   ,92
120,      EXT STREETSROYAL INFIRMARY AE DAY  ,29
121,      EXT HOSPITAL AE DAY   ,14
122,      INT HOSPITAL AE DAY   ,20
123,      INT HOSPITAL CORRIDORSWARDS DAY  ,31
124,      INT OUTDOOR SUPPLIES SHOP DAY  ,25
125,      EXT ROAD DAY  ,12
126,      INT CARROAD DAY  ,34
127,      EXT ROAD DAY   ,67
128,      EXT ROAD ROUNDABOUT DAY  ,169
129,      INT NEIL S CAR MOTORWAY DAY  ,95
130,      EXT ROAD DAY  ,10
131,      EXT ROADPETROL STATION DAY   ,37
132,      EXT ROADPETROL STATION DAY  ,110
133,      INT GREG S CAR DAY   ,26
134,      EXT MOTORWAY SERVICE STATION DAY   ,8
135,      EXT MOTORWAY SERVICE STATION CAR PARK DAY  ,129
136,      EXT ROAD DAY  ,41
137,      EXT ROAD LAYBY DAY   ,59
138,      EXT ROAD LAYBY DAY   ,49
139,      EXT MOTORWAY DAY   ,302
140,      INT WHITAKER S ROOM DAY   ,72
141,      INT CORRIDOR DAY   ,47
