1,      EXT BEACON HILLS  NIGHT,27
2,      EXT MCCALL HOME  NIGHT,6
3,      INT MCCALL HOMESCOTT S ROOM  NIGHT,29
4,      INT MCCALL HOMEHALLWAY  NIGHT,8
5,      EXT MCCALL HOME  NIGHT,74
6,      EXT BEACON HILLS PRESERVE  NIGHT,216
7,      EXT ROAD  NIGHT,28
8,      INT BEACON HILLS HIGH SCHOOLCORRIDOR  DAY,75
9,      INT BEACON HILLS HIGH SCHOOLCLASSROOM  DAY,125
10,      INT BEACON HILLS HIGH SCHOOLCAFETERIA  DAY,133
11,      EXT LACROSSE FIELD  DAY,111
12,      EXT BEACON HILLS WOODS  DAY,155
13,      INT BEACON HILLS ANIMAL CLINIC  DAY,6
14,      INT BEACON HILLS ANIMAL CLINICCORRIDORCAGE ROOM  NIGHT,21
15,      INT BEACON HILLS ANIMAL CLINICWAITING ROOM  NIGHT,36
16,      EXT BEACON HILLS ANIMAL CLINICPARKING LOT  NIGHT,44
17,      INT BEACON HILLS ANIMAL CLINICEXAMINING ROOM  NIGHT,136
18,      EXT ROAD  NIGHT,69
19,      EXT LACROSSE FIELD  DAY,144
20,      INT STILES S ROOM  NIGHT,209
21,      INT MCCALL HOMESCOTT S ROOM  NIGHT,23
22,      EXT MCCALL HOME  NIGHT,7
23,      EXT STREET  NIGHT,14
24,      EXT PARTY HOUSE  NIGHT,60
25,      INT PARTY HOUSE  NIGHT,85
26,      INT PARTY HOUSEHALLWAY  NIGHT,20
27,      EXT PARTY HOUSE  NIGHT,21
28,      INT MCCALL HOMESCOTT S ROOM  NIGHT,60
