1,EXT ROAD  ,139
2,      INT HOSPITALTRAUMA ROOM  NIGHT,97
3,      INT DOCTOR S CAR  NIGHT,24
4,      INT HOSPITALRECEPTION  NIGHT,65
5,      INT DOCTOR S CAR  NIGHT,15
6,      INT HOSPITALTRAUMA ROOM  NIGHT,58
7,      INT DOCTOR S CAR  NIGHT,30
8,      INT HOSPITALTRAUMA ROOM  NIGHT,44
9,      EXT HOSPITALPARKING LOT  NIGHT,56
10,      EXT HOSPITALPARKING LOT  NIGHT,66
11,      EXT ALLEYWAY  NIGHT,35
12,      INT DEREK S LOFT  DAY,17
13,      INT MCCALL HOMEMELISSA S ROOM  DAY,67
14,      INT HIGH SCHOOLPHYSICS CLASS  DAY,49
15,      INT ANIMAL CLINICEXAMINING ROOM  DAY,18
16,      INT HIGH SCHOOLPHYSICS CLASS  DAY,12
17,      INT ANIMAL CLINICEXAMINING ROOM  DAY,18
18,      INT HIGH SCHOOLCORRIDOR  DAY,23
19,      INT DEREK S LOFT  DAY,56
20,      INT ANIMAL CLINICWAITING AREA  DAY,24
21,      INT DEREK S LOFT  DAY,29
22,      INT ANIMAL CLINICWAITING AREA  DAY,147
23,      INT HIGH SCHOOLCOACH S OFFICE  DAY,38
24,      INT HOSPITALRECEPTION  DAY,26
25,      INT HIGH SCHOOLCOACH S OFFICE  DAY,35
26,      INT HIGH SCHOOLCORRIDOR  DAY,12
27,      INT HIGH SCHOOLPHYSICS CLASS  DAY,77
28,      INT HIGH SCHOOLCORRIDOR  DAY,6
29,      INT HIGH SCHOOLMUSIC ROOM  DAY,34
30,      INT HIGH SCHOOLPHYSICS CLASS  DAY,47
31,      INT HIGH SCHOOLMUSIC ROOM  DAY,75
32,      INT HIGH SCHOOLPHYSICS CLASS  DAY,52
33,      INT HOSPITALMORGUE  DAY,30
34,      INT ABANDONED BANKVAULT  DAY,13
35,      INT HOSPITALMORGUE  DAY,14
36,      INT ABANDONED BANKVAULT  DAY,24
37,      INT HIGH SCHOOLCORRIDOR  DAY,23
38,      INT DEREK S LOFT  DAY,34
39,      INT ARGENT APARTMENTALLISON S ROOM  DAY,28
40,      INT ARGENT APARTMENTARGENT S OFFICE  DAY,6
41,      INT ARGENT APARTMENTALLISON S ROOM  DAY,58
42,      INT ARGENT APARTMENTARGENT S OFFICE  DAY,72
43,      INT ARGENT APARTMENTALLISON S ROOM  DAY,15
44,      INT HOSPITALPATIENT ROOM  DAY,57
45,      EXT PARKING LOT  DAY,30
46,      INT DEREK S LOFT  NIGHT,56
47,      INT DEREK S LOFT  NIGHT,40
48,      INT ARGENT APARTMENTARGENT S OFFICE  NIGHT,16
49,      INT ANIMAL CLINICEXAMINING ROOM  NIGHT,116
50,      INT ABANDONED BANKVAULT  NIGHT,10
51,      INT ANIMAL CLINICWAITING AREA  NIGHT,39
52,      EXT ANIMAL CLINICPARKING LOT  NIGHT,6
53,      INT DEREK S LOFT  NIGHT,7
54,      INT STILES S JEEP  NIGHT,6
55,      INT ABANDONED BANKVAULT  NIGHT,27
56,      INT DEREK S LOFT  NIGHT,16
57,      INT ABANDONED BANKVAULT  NIGHT,9
58,      INT DEREK S LOFT  NIGHT,5
59,      INT ABANDONED BANKVAULT  NIGHT,49
60,      INT DEREK S LOFTELECTRICAL ROOM  NIGHT,14
61,      INT DEREK S LOFT  NIGHT,89
62,      INT ABANDONED BANKVAULT  NIGHT  FLASHBACKAA,23
63,      INT DEREK S LOFT  NIGHTBB,4
64,      INT ABANDONED BANKVAULT  NIGHT  FLASHBACKCC,6
65,      INT DEREK S LOFT  NIGHTDD,4
66,      INT ABANDONED BANKVAULT  NIGHT  FLASHBACKEE,11
67,      INT DEREK S LOFT  NIGHTFF,10
68,      INT ASSISTED LIVING FACILITYGERARD S ROOM  NIGHT,35
