1,      EXT BARREN WOODS  NIGHT  FLASHBACK,158
2,      EXT BARREN WOODSCLEARING  NIGHT  FLASHBACK,64
3,      INT ROOT CELLAR  NIGHT  FLASHBACK,13
4,      INT DEREK S LOFT  NIGHT,92
5,      INT ASSISTED LIVING FACILITYGERARD S ROOM  NIGHT,56
6,      INT HIGH SCHOOLMUSIC ROOM  DAY  FLASHBACK,17
7,      INT HIGH SCHOOLCORRIDOR  DAY  FLASHBACK,70
8,      INT HIGH SCHOOLMUSIC ROOM  DAY  FLASHBACK,74
9,      INT ASSISTED LIVING FACILITYGERARD S ROOM  NIGHT,96
10,      INT DEREK S LOFT  NIGHT,49
11,      EXTINT DISTILLERY  NIGHT  FLASHBACK,15
12,      INT DEREK S LOFT  NIGHT,14
13,      EXTINT DISTILLERY  NIGHT  FLASHBACK,173
14,      INT ASSISTED LIVING FACILITYGERARD S ROOM  NIGHT,23
15,      INT DISTILLERY  NIGHT  FLASHBACK,35
16,      EXTINT DISTILLERY  NIGHT  FLASHBACK,72
17,      INT DEREK S LOFT  NIGHT,25
18,      INT HOSPITALRECEPTION  DAY  FLASHBACK,43
19,      INT DEREK S LOFT  NIGHT,27
20,      INT HIGH SCHOOLHISTORY CLASS  DAY  FLASHBACK,9
21,      INT HIGH SCHOOLCORRIDOR  DAY  FLASHBACK,6
22,      INT HIGH SCHOOLMUSIC ROOM  DAY  FLASHBACK,49
23,      INT DEREK S LOFT  NIGHT,11
24,      EXT HIGH SCHOOLCOURTYARD  DAY  FLASHBACK,110
25,      INT DEREK S LOFT  NIGHT,14
26,      INT HIGH SCHOOLLOCKER ROOM  DAY  FLASHBACK,36
27,      INT ROOT CELLAR  DAY  FLASHBACK,62
28,      INT ASSISTED LIVING FACILITYGERARD S ROOM  NIGHT,111
29,      INT DEREK S LOFT  NIGHT,36
30,      INT ANIMAL CLINICEXAMINING ROOM  NIGHT  FLASHBACK,74
31,      INT HIGH SCHOOLCORRIDOR  NIGHT  FLASHBACK,41
32,      INT DEREK S LOFT  NIGHT,24
33,      INT HIGH SCHOOLLOCKER ROOM  NIGHT  FLASHBACK,18
34,      INT DEREK S LOFT  NIGHT,22
35,      INT HIGH SCHOOLCORRIDOR  NIGHT  FLASHBACK,9
36,      INT DEREK S LOFT  NIGHT,8
37,      INT HIGH SCHOOLCORRIDOR  NIGHT  FLASHBACK,25
38,      INT ASSISTED LIVING FACILITYGERARD S ROOM  NIGHT,40
39,      INT DISTILLERY  DAY  FLASHBACK,42
40,      INT ASSISTED LIVING FACILITYGERARD S ROOM  NIGHT,10
41,      INT DISTILLERY  DAY  FLASHBACK,32
42,      INT DEREK S LOFT  NIGHT,23
43,      INT ROOT CELLAR  NIGHT  FLASHBACK,17
44,      INT DEREK S LOFT  NIGHT,12
45,      EXT DISTILLERY  DAY  FLASHBACK,31
46,      INT ROOT CELLAR  NIGHT  FLASHBACK,63
47,      INT DEREK S LOFT  NIGHT,28
48,      INT ANIMAL CLINICEXAMINING ROOM  NIGHT  FLASHBACK,45
49,      INT ASSISTED LIVING FACILITYGERARD S ROOM  NIGHT,74
50,      INT DEREK S LOFT  NIGHT,66
51,      INT ROOT CELLAR  NIGHT  FLASHBACK,31
