1,EXT FENWAY PARK BOSTON  DAY,170
2,INT FENWAY PARK  CONCOURSE  CONTINUOUS,80
3,EXT FENWAY PARK  ROOF DECK  DAY,107
4,INT FENWAY PARK  PRESS BOX  DAY,141
5,EXT BOSTON POST  DAY,5
6,INT BOSTON POST  CONFERENCE ROOM  DAY,140
7,INT BOSTON POST  CUBICLES  DAY,90
8,INT BOSTON POST  ELEVATOR  DAY,62
9,INT DIESEL CAFE  DAY,128
10,INT CARVER HOUSE  KITCHEN  NIGHT,154
11,INT THE HANGOVER LOUNGE  NIGHT,110
12,EXT STREETS OF NORTH END  NIGHT,97
13,EXT CARVER HOUSE  NIGHT,61
14,EXT CARVER HOUSE  NIGHT,105
15,INT CARVER HOUSE  CONTINUOUS,13
16,INT CARVER HOUSE  SARA S BEDROOM  CONTINUOUS,36
17,INT CARVER HOUSE  APRIL S BEDROOM  NIGHT,11
18,INT CARVER HOUSE  APRIL S BEDROOM  MORNING,9
19,INT CARVER HOUSE  KITCHEN  MORNING,35
20,INT CARVER HOUSE  HALLWAY  MORNING,75
21,INT BOSTON POST  ELEVATOR  DAY,7
22,INT BOSTON POST  HALLWAY  CONTINUOUS,52
23,INT BOSTON POST  SENIOR STAFF WING  DAY,55
24,INT BOSTON POST  CUBICLES  LATER,76
25,INT BOSTON POST  CUBICLES  DAY,105
26,INT BOSTON POST  STAIRWELL  CONTINUOUS,118
27,EXT BOSTON PUBLIC GARDEN  AFTERNOON,126
28,INT BOSTON POST  CUBICLES  AFTERNOON,58
29,INT BOSTON POST  SENIOR STAFF WING  MOMENTS LATER,39
30,INT A SKETCHY BRIGHTON APARTMENT  AFTERNOON,46
31,INT SKETCHY BRIGHTON APARTMENT  BEDROOM  CONTINUOUS,53
32,INT BOSTON POST  SENIOR STAFF WING   AFTERNOON,10
33,INT BOSTON POST  LAWRENCE S OFFICE  AFTERNOON,114
34,EXT CARVER HOUSE  DAY,8
35,INT CARVER HOUSE  SARA S BEDROOM  DAY,131
36,EXT CARVER HOUSE  DAY,13
37,INT CARVER HOUSE  KITCHEN  LATER,51
38,INT BOSTON  T  SUBWAY CAR  NIGHT,23
39,INT THE PALACE  NIGHT,102
40,INT THE PALACE  BATHROOM  MOMENTS LATER,30
41,INT THE PALACE  MOMENTS LATER,79
42,INT THE PALACE  BACK ROOM  CONTINUOUS,136
43,EXT A SKETCHY BRIGHTON APARTMENT  NIGHT,15
44,INT A SKETCHY BRIGHTON APARTMENT  CONTINUOUS,24
45,INT CARVER HOUSE  BRENNA S BEDROOM  NIGHT,46
46,INT CARVER HOUSE  KITCHEN  LATER,90
