1,      INT COLONIAL GENTLEMEN S CLUB NIGHT DAY ,57
2,      INT COLONIAL GENTLEMEN S CLUB FOYER NIGHT DAY ,7
3,      EXT STREET DAY DAY ,16
4,      EXT ANOTHER STREET DAY DAY ,13
5,      EXT APARTMENT BUILDING DAY DAY ,7
6,      INT APARTMENT BUILDING DAY DAY ,6
7,      INT SCUDDER S FLAT LIVING ROOM DAY DAY ,12
8,      INT APARTMENT BUILDING DAY DAY ,23
9,      INT HANNAY S FLAT HALLWAY DAY DAY ,58
10,      INT HANNAY S FLAT LIVING ROOM DAY DAY ,80
11,      INT HANNAY S FLAT KITCHEN DAY DAY ,20
12,      INT HANNAY S FLAT LIVING ROOM DAY DAY ,6
13,      INT HANNAY S FLAT KITCHEN DAY DAY ,80
14,      INT HANNAY S FLAT LIVING ROOM DAY DAY ,7
15,      INT HANNAY S FLAT HALL DAY DAY ,22
16,      INT HANNAY S FLAT LIVING ROOM DAY DAY ,22
17,      INT HANNAY S FLAT HALL DAY DAY ,6
18,      INT APARTMENT BUILDING LANDING DAY DAY ,41
19,      INT HANNAY S FLAT LIVING ROOMKITCHEN DAY DAY ,131
20,      INT HANNAY S FLAT KITCHEN DAY DAY ,6
21,      EXT APARTMENT BUILDING FIRE ESCAPE DAY DAY ,65
22,      EXT APARTMENT BUILDING ROAD DAY DAY ,11
23,      EXT STREET DAY DAY ,8
24,      EXT COLONIAL GENTLEMEN S CLUB DAY DAY ,18
25,      INT COLONIAL GENTLEMEN S CLUB FOYER DAY ,29
26,      INT SILENT TELEPHONE CABINET DAY DAY ,133
27,      INT ST PANCRAS STATION TICKET OFFICE DAY DAY ,72
28,      INT ST PANCRAS STATION PLATFORM DAY DAY ,6
29,      INT TRAIN DAY DAY ,14
30,      EXT FOOTAGE OF MOVING STEAM TRAIN,3
31,      INTEXT TRAINSTATION PLATFORM DAY DAY ,58
32,      INT ST PANCRAS STATION DAY DAY       T  STEPS SHOOTING SCRIPT  BLUE PAGES P,13
33,      INT TRAIN DAY DAY ,23
34,      INT TRAIN CORRIDOR DAY DAY ,7
35,      INT TRAIN DAY DAY ,10
36,      INT TRAIN THIRD CLASS CORRIDORCOMPARTMENT DAY DAY ,42
37,      INT TRAIN CORRIDOR DAY DAY ,6
38,      INT TRAIN THIRD CLASS DAY DAY ,62
39,      INT TRAIN CORRIDOR DAY DAY ,7
40,      INT TRAIN THIRD CLASS COMPARTMENT DAY DAY ,53
41,      EXT STATION DAY DAY ,6
42,      EXT MOORLAND DAY DAY ,11
43,      INT BARN NIGHT DAY ,9
44,      INT BARN DAY DAY ,11
45,      EXT BARN DAY DAY ,13
46,      EXT OPEN MOORLAND DAY DAY ,7
47,      EXT OPEN MOORLAND DAY DAY ,28
48,      EXT STREAM BANK DAY DAY ,56
49,      EXT STREAM BANK DAY DAY ,25
50,      EXT VALEMOORLAND DAY DAY ,89
51,      INTEXT HARRY S CARROAD DAY DAY ,60
52,      INTEXT HARRY S CARDUNGARVENTOWN HALL DAY DAY ,56
53,      INT TOWN HALL STAGE DAY DAY ,212
54,      INTEXT TOWN HALLREAR YARD CORRIDOR DAY DAY ,65
55,      INT TOWN HALL CORRIDOR DAY DAY ,7
56,      EXT TOWN HALL REAR EXITALLEYSIDE STREET DAY DAY ,67
57,      INT SIDE STREET  DAY DAY ,75
58,      EXT ALLEYBACK STREET DAY DAY ,131
59,      INTEXT CARROAD OUT OF DUNGARVENDAY DAY ,239
60,      INTEXT CARKIRKNAIRNDAY DAY ,7
