1,C  INT LEONARD AND SHELDON S APARTMENT  NIGHT  ,290
2, INT LEONARD AND SHELDON S APARTMENT  MORNING         ,4
3, INT LEONARD S BEDROOM   A MOMENT LATER      ,4
4, INT PHYSICS DEPARTMENT CAFETERIA  LATER      ,5
5, INT HOSPITAL CORRIDOR  LATER      ,4
6, INT LAUNDRY ROOM  NIGHT      ,5
7, INT LEONARD AND SHELDON S APARTMENT   MOMENTS      ,6
8, INT LAUNDRY ROOM  LATER      ,4
9, INT LEONARD S BEDROOM  LATER      ,4
10, INT PHYSICS DEPARTMENT CAFETERIA  DAY      ,5
11, INT TH FLOOR HALLWAYINT PENNY S APARTMENT        ,21
12,      INT LEONARD AND SHELDONS APARTMENT  NIGHT NIGHT ,310
13,      INT LEONARD AND SHELDONS APARTMENT  MORNING DAY ,317
14,      INT LEONARDS BEDROOM  A MOMENT LATER DAY ,107
15,      INT PHYSICS DEPARTMENT CAFETERIA  LATER DAY ,139
16,      INT HOSPITAL CORRIDOR  LATER DAY ,90
17,      INT LAUNDRY ROOM  NIGHT NIGHT ,187
18,      INT LEONARD AND SHELDONS APARTMENT  MOMENTS LATER    ,213
19,      INT LAUNDRY ROOM  LATER NIGHT ,184
20,      INT LEONARDS BEDROOM  LATER NIGHT ,70
21,      INT PHYSICS DEPARTMENT CAFETERIA  DAY ,189
