1,      INT CARRIE BRADSHAWS HOUSE  CARRIES BEDROOM  MORNING  ,73
2,      INT CARRIE BRADSHAWS HOUSE  HALLWAY  CONTINUOUS,24
3,      INT CARRIE BRADSHAWS HOUSE  DORRITS BEDROOM,91
4,      INT CARRIE BRADSHAWS HOUSE  CARRIES BEDROOM,88
5,      INT CARRIE BRADSHAWS HOUSE  MOMS CLOSET,56
6,      EXT CASTLEBURY HIGH SCHOOL  MORNING,25
7,      INT CASTLEBURY HIGH SCHOOL  HALLWAY  SAME DAY,148
8,      EXT  CASTLEBURY SWIM CLUB  TWO YEARS BEFORE  FLASHBACK,17
9,      INT CASTLEBURY HIGH SCHOOL  HALLWAY  PRESENT,72
10,      INT BARN  LUNCH TIME,135
11,      INT GEORGETOWN UNIVERSITY  DORM ROOM  FLASHBACK,31
12,      INT BARN  PRESENT,68
13,      INT GEORGETOWN UNIVERSITY  DORM ROOM  FLASHBACK,17
14,      INT BARN  PRESENT,104
15,      INT CASTLEBURY HIGH SCHOOL  HALLWAY,124
16,      INT CASTLEBURY HIGH SCHOOL  GUIDANCE COUNSELORS OFFICE,98
17,      INT CASTLEBURY HIGH SCHOOL  ENTRANCE,84
18,      INT SWIMMING POOL  EARLY MORNING,7
19,      INT BARN  BEFORE SCHOOL,86
20,      EXT CASTLEBURY SWIM CLUB  FLASHBACK  TWO YEARS AGO,72
21,      INT BARN  PRESENT,47
22,      EXT CARRIE BRADSHAWS HOUSE  BACKYARD NIGHT,79
23,      INT CARRIE BRADSHAWS HOUSE  CARRIES ROOM,5
24,      INT THE MOUSE S HOUSE  BEDROOM  CROSSCUT AS NECESSARY,47
25,      INT DORRIT S ROOM  CONTINUOUS,89
26,      INT TOM BRADSHAW S CAR  MORNING,121
27,      INT WALL STREET LAW FIRM  LOBBY,10
28,      INT WALL STREET LAW FIRM  LARGE WINDOWLESS ROOM,55
29,      EXT CENTURY   LUNCH TIME,5
30,      INT CENTURY  DESIGNER FLOOR,85
31,      INT CENTURY   DRESSING ROOM,80
32,      EXT CENTURY   LATER,29
33,      EXT DOWNTOWN MANHATTAN STREET ,80
34,      INT WALL STREET LAW FIRM  WINDOWLESS ROOM,9
35,      INT THE MOUSE S HOUSE  BEDROOM  CROSSCUT AS NECESSARY,98
36,      INT CARRIE BRADSHAW S HOUSE  LIVING ROOM,43
37,      INT WALL STREET LAW FIRM  WINDOWLESS OFFICE  SAME,51
38,      INT CARRIE BRADSHAW S HOUSE  LIVING ROOM  SAME,39
39,      EXT MANHATTAN STREET  MOMENTS LATER,15
40,      INT TAXI CAB  CONTINUOUS,20
41,      EXT MANHATTAN STREET  NIGHT,19
42,      INT ODEON  LATER,43
43,      INT HIGH SCHOOL AUDITORIUM  DANCE,59
44,      INT ODEON  SAME,63
45,      EXT MANHATTAN STREET  PAY PHONE,13
46,      INT THE MOUSES HOUSE  BEDROOM,16
47,      EXT DANCETERIA  SAME,16
48,      INT DANCETERIA  MOMENTS LATER,25
49,      INT  DANCETERIA  LATER,40
50,      EXT HIGH SCHOOL BLEACHERS,26
51,      INT DANCETERIA   PM,21
52,      INT SEBASTIANS CORVETTE   PM,10
53,      INT GRAND CENTRAL STATION   PM,12
54,      INT TRAIN   PM,15
55,      EXT  PARKING LOT   AM,45
56,      EXT CARRIE BRADSHAWS HOUSE  LATER,36
57,      INT CARRIE BRADSHAWS HOUSE   LIVING ROOM  DAWN,73
58,      INT CARRIE BRADSHAWS HOUSE  CARRIES BEDROOM  A BIT LATER,103
59,      EXT BARN  LATER ,176
60,      INT CARRIES HOUSE  LIVING ROOM,51
61,      INT CARRIE BRADSHAWS HOUSE  MOTHERS CLOSET,30
62,      INT CARRIE BRADSHAW S HOUSE  TOM S BEDROOM  A LITTLE LATER,12
63,      INT THE MOUSE S HOUSE  BEDROOM ,9
64,      EXT THE BARN   AFTERNOON,11
65,      EXT STREET  AFTERNOON,20
66,      EXT SWIM CLUB  AFTERNOON,33
67,      INT CARRIE BRADSHAWS ROOM  THAT NIGHT,24
68,      EXT MANHATTAN STREET  DAY,14
