1,      INT MASSAGE ROOM  DAY,68
2,      EXT RILEY S BACKYARD  DAY,91
3,      INT RILEY S HOUSE THE KITCHEN  NIGHT,74
4,      INT RILEY AND KYLE S BEDROOM  THAT NIGHT,5
5,      EXT RILEY AND KYLE S BACK YARD  DAY,9
6,      INT TRENDSETTER HAIR SALON  DAY,60
7,      EXT HILTON HOTEL  DAY,53
8,      EXT SUGARLAND STRIP MALL  THE NEXT DAY,9
9,      INT THE RUB OFFICE  DAY,92
10,      INT THE RUB RECEPTION AREA DAY,27
11,      INT THE RUB HALLWAY  DAY,21
12,      INT STAFF LOUNGE  DAY,54
13,      INT THE RUB VIEWING ROOM  DAY,44
14,      EXT THE RUB  DAY,25
15,      INT RILEY S NOVA  DAY,7
16,      INT EXPENSIVE STORE AT THE MALL  DAY,41
17,      INT RILEY S HOUSE  DAY,9
18,      INT RILEY S HOUSE SERIES OF SHOTS DAY,13
19,      INT RILEY S HOUSE  LATER,53
20,      INT RILEY S HOUSE  THAT NIGHT,47
21,      EXT RILEYS HOUSE THE FRONT YARD  DAY,7
22,      INT RILEY S KITCHEN  THE NEXT MORNING,41
23,      INT RILEY AND KYLE S BATHROOM  DAY,20
24,      INT THE RUB DAY,24
25,      INT THE STAFF LOUNGE DAY,97
26,      INT MASSAGE ROOM  DAY,135
27,      INT RILEY S CAR  NIGHT,17
28,      INT RILEY S HOUSE  NIGHT,50
29,      INT RILEY S KITCHEN  LATER THAT NIGHT,92
30,      INT RILEY AND KYLE S BATHROOM  NIGHT,10
31,      INT THE RUB GEORGIA S OFFICE  DAY,81
32,      INT CRAZY CRAB SEAFOOD RESTAURANT  DAY,106
33,      INT THE RUB  MASSAGE ROOM MONTAGE  DAY,39
34,      INT THE RUB HALLWAY NIGHT,27
35,      INT THE RUB HALLWAY  DAY,80
36,      EXT GEORGIA S COZY NEIGHBORHOOD COTTAGE  NIGHT,64
37,      INT RILEY S HOUSE  NIGHT,71
38,      INT THE RUB STAFF LOUNGE  DAY,137
39,      EXT THE RUB  DAY,8
40,      INT BUBBAS BOOTS  BUCKLES  DAY,82
41,      INT RILEYS DEN  LATER THAT NIGHT,11
42,      INT THE RUB RECEPTION AREA DAY,15
43,      INT MASSAGE ROOM  DAY,128
44,      EXT THE RUB  DAY,4
45,      INT RILEYS NOVA  DAY,4
46,      INT DRESS STORE  DAY,4
47,      INT RILEYS HOUSE HER BATHROOM  DAY,5
48,      INT RILEYS BEDROOM  DAY,4
49,      EXT BANK  DAY,4
50,      INT BANK  DAY,5
51,      INT THE RUB  THE NEXT DAY,32
52,      EXT THE RUB  DAY,14
53,      EXT STRIP MALL PARKING LOT  DAY,80
54,      INT RILEYS NOVA,5
55,      EXT RILEY S HOUSE  DAY,80
56,      INT RILEY S HOUSE  DAY,87
57,      INT RILEY S BEDROOM  NIGHT,28
58,      INT RILEY S BEDROOM  NIGHT,4
59,      INT THE RUB STAFF ROOM  DAY,75
60,      INT THE RUB VIEWING ROOM  DAY,75
61,      INT RILEY S HOUSE THE TWINS BEDROOM  NIGHT,62
62,      INT SANDWICH SHOP  DAY,59
63,      INT MASSAGE ROOM SERIES OF SHOTS DAY,18
64,      INT ANOTHER MASSAGE ROOM  THAT NIGHT,86
65,      INT RILEY S HOUSE  NIGHT,21
66,      INT RILEY S HOUSE  NIGHT,87
67,      INT THE RUB STAFF LOUNGE  DAY,97
68,      INT RILEY S NOVA  NIGHT,10
69,      EXT RILEY S YARD AND STREET  NIGHT,5
70,      INT VALERIE S LINCOLN  NIGHT,132
71,      INT RILEY S HOUSE THE LIVING ROOM  NIGHT,6
72,      INT THE TWINS BEDROOM ROOM  NIGHT,9
73,      EXT GEORGIA S COTTAGE HOUSE THE GARDEN  THE NEXT DAY,97
74,      INT RILEY S HOUSE  THE NEXT DAY,94
75,      INT ELEMENTARY SCHOOL AUDITORIUM  DAY,109
76,      EXT ELEMENTARY SCHOOL  DAY,71
77,      INT TRENDSETTER HAIR SALON  DAY,24
