1,  EXT ICE POND  DAY,410
2,  INT CLASSROOM  CONTINUOUS,36
3,  INT HALLWAY  MOMENTS LATER,42
4,  INT JANITORS STORAGE ROOM  CONTINUOUS  DARK,56
5,  INT HALLWAY  CLOSE ON THE CLOSET DOOR,20
6,  EXT UPPER CLASS NEIGHBORHOOD  DAY,8
7,  INT SMITH HOME  DAY,22
8,          INT DEN  CONTINUOUS,157
9,  AAEXT CARNIVAL  NIGHT OF DAY   JOHNNY  SARAH ON A,7
10,  EXT THE MIDWAY  NIGHT  THE FREAK SHOW,233
11,  EXT A MOUNTAIN ROAD  NIGHT,100
12,  EXT MAINE LANDSCAPE STOCK  PREDAWN,5
13,  EXT SARAHS APARTMENT  PREDAWN,15
14,  EXT RURAL HIGHWAY  PREDAWN ,101
15,  INT HOSPITAL ROOM  DAY ,213
16,  INT CHILDS BEDROOM  A THREE YEAR OLD GIRL,23
17,          INT CHILDS BEDROOM,46
18,  EXT MACGOWAN HOUSE  DAY  SMOKE BILLOWING OUT,21
19,  INT HOSPITAL CORRIDOR  LATER,21
20,  INT JOHNNYS HOSPITAL ROOM  CONTINUOUS,103
21,  EXT SAIGON AIRPORT  DAY    STOCK  HELICOPTERS,20
22,    MATCHING SHOT  THE ADULT DR TRAN  INT HOSPITAL ROOM,91
23,  EXT SUBURBAN HOUSE  MORNING  ESTABLISHING,3
24,  INT SARAHS HOUSE  DAY,118
25,  EXT FAITH HERITAGE UNIVERSITY  DAY ,65
26,  EXT HOSPITAL  DAY,5
27,  INT SATURN  CONTINUOUS,19
28,  EXT HOSPITAL  CONTINUOUS,5
29,  INT HOSPITAL REHABILITATION ROOM   DAY  TELEVISION,155
30,  INT HOSPITAL CORRIDOR,107
31,  INT OBSERVATION ROOM  DAY,35
32,  INT EXAMINATION ROOM  CONTINUOUS,60
33,    MATCHING SHOT  UNCLE TRAN IN   EXT SAIGON STREET ,40
34,  JOHNNY    INT EXAMINATION ROOM,68
35,  EXT SAIGON    AS BEFORE,34
36,  EXT SAIGON STREET,34
37,  INT HOSPITAL CORRIDOR  DAY,54
38,  EXT HOSPITAL GROUNDS  DAY,89
39,          THEYRE INT SARAHS HOUSE  DAY,175
40,    MATCHING SHOT  EXT HOSPITAL GROUNDS  DAY,68
41,  EXT ELAINE MACGOWANS HOUSE  DAY,15
42,  INT TRANS OFFICE  DAY,13
43,  INT CHAPEL OFFICES  DAY,8
44,  INT HOSPITAL CORRIDOR  DAY ,10
45,  INT SARAHS HOUSE  DAY,8
46,  EXT HOSPITAL GROUNDS  DAY   LONG SHOT,6
47,  EXT HO CHI MINH CITY STREET  DAY  CLOSE ON DR TRAN,9
48,  EXT HOSPITAL  AFTERNOON OF DAY ,11
49,  EXT HO CHI MINH CITY STREET  DAY,54
50,  INT BRUCES CAR  LATE AFTERNOON  MOVING,171
51,          EXT SMITH HOME  CONTINUOUS,127
52,  EXT FIELD  NIGHT  CLOSE ON A SHOVEL,7
53,  EXT SMITH HOME  JOHNNY,11
54,  EXT FIELD  NIGHT  THE HOLE,20
