1,  INT RESTAURANT  CLEAVES MILLS  NIGHT,141
2,  INT JOHNNYS KITCHEN  NIGHT  VISION,128
3,  EXT JOHNNYS BACKYARD  NEXT DAY,160
4,  EXT JOHNNYS BACKYARD  DAY  LATER,167
5,  AAEXT STREET CLOCK  NEW YORK  DAY  VISION,15
6,  BBEXT JOHNNYS BACKYARD  DAY  RESUME,31
7,  INT JOHNNYS LIVING ROOM  NIGHT,79
8,  INT STAGE DOOR CANTEEN  NEW YORK   NIGHT  VISION,215
9,  INT JOHNNYS LIVING ROOM  NIGHT  CONTINUOUS,249
10,  INT JOHNNYS KITCHEN  NIGHT  LATER,45
11,  INT JOHNNYS KITCHEN  NIGHT  LATER,7
12,  INT JOHNNYS LIVING ROOM  NIGHT  LATER,18
13,  INT STAGE DOOR CANTEEN  NEW YORK   NIGHT  VISION,104
14,  INT JOHNNYS LIVING ROOM  NIGHT  CONTINUOUS,16
15,  EXT JOHNNYS HOUSE  FRONT WALK  DAY,82
16,  EXT NEW YORK CITY  DAY  ESTABLISHING,3
17,  EXT STREET CLOCK  NEW YORK  DAY,22
18,  EXT JOHNNYS BACKYARD  DAY,97
19,  EXT APARTMENT BUILDING  NEW YORK  DAY  STOCK,3
20,  INT ROSES APARTMENT  DAY,225
21,  EXT CENTRAL PARK  NEW YORK  DAY,14
22,  EXT CENTRAL PARK  NEW YORK    VISION,49
23,  EXT CENTRAL PARK  NEW YORK  DAY  CONTINUOUS,8
24,  INT SARAHS KITCHEN  DAY,70
25,  EXT STREET CLOCK  NEW YORK  NIGHT,33
26,  EXT STREET CLOCK  NEW YORK  NIGHT    VISION,8
27,  INT TAXICAB  NYC  NIGHT    VISION  CONTINUOUS,25
28,  EXT STREET CLOCK  NEW YORK  NIGHT  CONTINUOUS,46
29,  EXT NEW YORK PUBLIC LIBRARY  NIGHT  STOCK,5
30,  INT READING ROOM  NEW YORK PUBLIC LIBRARY  NIGHT,19
31,  INT BANNERMANS BEDROOM  NIGHT,78
32,  INT STUDY CARREL  NIGHT,10
33,  EXT SMALL HOTEL  NYC  NIGHT,7
34,  INT HOTEL ROOM  NYC  NIGHT,127
35,  INT HOTEL ROOM    NIGHT  VISION  CONTINUOUS,65
36,  AAINT HOTEL ROOM  NYC  NIGHT  CONTINUOUS,42
37,  BBINT HOTEL ROOM  NYC    NIGHT  VISION ,16
38,  INT HOTEL ROOM  NYC  DAY,14
39,  INT SARAHS KITCHEN  DAY,139
40,  EXT DERELICT BUILDING  NYC  DAY,17
41,  EXT STAGE DOOR CANTEEN  NIGHT    VISION,19
42,  INT STAGE DOOR CANTEEN  NIGHT    VISION,169
43,  EXT STAGE DOOR CANTEEN  NEW YORK   NIGHT  VISION,8
44,  EXT DERELICT BUILDING  NYC  DAY  CONTINUOUS,13
45,  EXT BANNERMANS SUV  DAY,22
46,  INT ROSES APARTMENT  NYC  DAY,152
47,  INT CHILDRENS THEATER  NYC  DAY,194
48,  EXT TAXICAB  STREET CLOCK  NYC  ANOTHER DAY,86
49,  EXT CENTRAL PARK  NEW YORK  DAY,20
50,  EXT CENTRAL PARK  NEW YORK    VISION,9
