1,  EXT MAINE STOCK  DAY  ESTABLISHING,60
2,  EXT SMITH NEIGHBORHOOD  DAY  CLOSE ON THREE KIDS,238
3,  INT SMITH HOUSE  DAY,77
4,  INT MASTER BEDROOM  CONTINUOUS,14
5,  INT BATHROOM  DAY,81
6,  EXT FAITH HERITAGE UNIVERSITY  DAY  ESTABLISHING,3
7,  INT UNIVERSITY ATRIUM  DAY,101
8,  EXT PARK  DAY,154
9,  EXT SMITH HOUSE  NIGHT,23
10,  INT SMITH HOUSE  CONTINUOUS,8
11,  INT UPSTAIRS SMITH HOUSE,65
12,  EXT SMITH HOUSE  CONTINUOUS,293
13,  EXT SMITH HOUSE  NIGHT,19
14,  INT SMITH HOUSE  CONTINUOUS,46
15,  INT VERAS ROOM  NIGHT,61
16,  EXT FAITH HERITAGE UNIVERSITY  DAY,60
17,  INT SHERIFFS DEPARTMENT  OUTER OFFICE  DAY,23
18,  INT WALTS OFFICE,109
19,  INT OUTER OFFICE  DANA,14
20,  AAINT COURTHOUSE CORRIDOR  CONTINUOUS,108
21,  INT CORONERS OFFICE  DAY,154
22,  EXT SMITH HOUSE  DAY,149
23,  EXT SMITH HOUSE  DRIVEWAY,137
24,  INT SMITH HOUSE  DAY,9
25,  INT PARLOR  S  DAY,16
26,  INT PARLOR  REALITY  AS BRUCE SEES IT  DAY,23
27,  INT PARLOR  S  AS JOHNNY SEES IT,57
28,  INT PARLOR  REALITY  AS BRUCE SEES IT,8
29,  INT PARLOR  S,45
30,  INT PARLOR REALITY  AS BRUCE SEES IT,13
31,  INT PARLOR  S  PURDY,46
32,  INT PARLOR  REALITY  DAY,10
33,  INT SHERIFFS OFFICE  DAY,62
34,  EXT FAITH HERITAGE UNIVERSITY  DAY,22
35,  INT LIMO  CONTINUOUS,111
36,  EXT CAR  CONTINUOUS,5
37,  EXT SMITH HOUSE  DAY,7
38,  INT SMITH HOUSE  SECOND FLOOR  POV,6
39,  INT FOYER,187
40,  INT HALLWAY,6
41,  INT MASTER BEDROOM,213
42,  EXT SMITH HOUSE  LATE AFTERNOON,26
43,  EXT SMITH HOUSE  NIGHT  DRIVEWAY,85
44,  EXT STREET  NIGHT,15
45,  INT DAVIS HOUSE FOYER  NIGHT,71
46,  INT DAVIS MASTER BEDROOM  NIGHT,160
