1,  DANA S CAR     EXT STREET ,197
2,  EXT MAINE  DAY  ESTABLISHING STOCK,6
3,  EXT SIDEWALK  DAY,84
4,  INT BANK  DAY,71
5,  INT BANK  DAY,307
6,  AAINT DANAS CAR  DAY  POV OF JOHNNY AND LITTLE JOHNNY,6
7,  EXT SIDEWALK  CONTINUOUS,103
8,  INT BANK  DAY,356
9,  AT THE FRONT WINDOW  CONRADS POV  EXT BANK  DAY,31
10,  EXT BANK  DAY,36
11,  INT BANK  DAY,94
12,  AAEXT BANK  DAY  HIGH ANGLE,6
13,  INT BANK  DAY,189
14,  EXT BANK  DAY,151
15,  EXT BANK  DAY,188
16,  INT BANK  CONTINUOUS,53
17,  EXT BANK  DAY,223
18,  AAEXT BANK  DAY  ANGLE ON TV NEWSMAN,13
19,  INT BANK  DAY  CONTINUOUS,54
20,  EXT BANK  DAY,13
21,  INT BANK  CONTINUOUS  SARAH ON THE PHONE,53
22,  EXT BANK  CONTINUOUS  WALT,73
23,  INT BANK  CONTINUOUS,123
24,  EXT BANK  CONTINUOUS,117
25,  AAINT BASEMENT  CLOSE ON TACTICAL TEAM LEADER,6
26,  INT BANK  CONTINUOUS,97
27,  AAINT BANK BASEMENT  DAY,14
28,  BBEXT BANK  CLOSE ON WALT,7
29,  INT BANK  DAY  CONTINUOUS  ON THE PHONE,11
30,  BBEXT BANK  WALT,5
31,  CCINT BANK  CONRAD,46
32,    DDINT BANK  BASEMENT  PUSH IN ON TACTICAL TEAM,8
33,  EEINT BANK  ON THE STEEL PLATE IN THE FLOOR  CONTINUOUS,29
34,  EXT BANK  DAY,52
35,  INT BANK  DAY,66
36,  EXT BANK,6
37,  INT BANK  ON CONRAD,194
38,          INT BANK  DAY,101
39,  EXT BANK  CONTINUOUS,60
40,  INT BANK  DAY,230
