1,  EXT BANGOR TOWN HOUSE  NIGHT  ESTABLISHING,63
2,  INT TOWN HOUSE  UPSTAIRS BEDROOM  NIGHT,24
3,  INT TOWN HOUSE  FIRST LEVEL,28
4,  INT BEDROOM,254
5,  INT JOHNNYS KITCHEN  NIGHT,74
6,    INTEXT FRONT DOOR  NIGHT,63
7,A JOHNNY FLASH  INT JOHNNYS BEDROOM  NIGHT,57
8,  INT KITCHEN  CLOSE ON A BIG KNIFE,236
9,  INT DANAS APARTMENT  NIGHT,79
10,  INT JOHNNYS KITCHEN  CONTINUOUS,35
11,  INT DINING ROOM  MINUTES LATER,259
12,  EXT CARNIVAL  NIGHT  THE CADILLAC CONVERTIBLE,6
13,  FINDING JOHNNY INT JOHNNYS HOUSE,66
14,  INT SMITH HOUSE  CONTINUOUS,55
15,  INT COUNTRY  WESTERN BAR  NIGHT,87
16,  INT JOHNNYS KITCHEN  NIGHT  TWO WINE GLASSES,72
17,  INT JOHNNYS LIVING ROOM  CLOSE ON A TURNTABLE  NIGHT,256
18,  INT DANAS LIVING ROOM  NIGHT  VISION,106
19,    INTERCUT INT JOHNNYS BEDROOM  NIGHT  VISION,22
20,  INT JOHNNYS BEDROOM  NIGHT,396
21,  EXT ALLEY BEHIND BAR  NIGHT,111
22,  INT JOHNNYS BEDROOM  NIGHT,140
23,  INT ALLEY BEHIND BAR  NIGHT,18
24,  EXT RESIDENTIAL STREET  NIGHT,20
25,  INT SEDAN  NIGHT,17
26,  EXT SMITH HOUSE  NIGHT  ESTABLISHING,3
27,  INT JOHNNYS DINING ROOM  NIGHT,180
28,  INT AN EIGHT YEAR OLD GIRLS BEDROOM  DAY,179
29,    INTEXT FRONT DOOR  NIGHT,49
30,  INT FOYER  CONTINUOUS,5
31,  INT DINING ROOM  CONTINUOUS,48
32,  EXT DANAS STREET  NIGHT  VISION,11
33,  RESUME  JOHNNY  INT SMITH HOUSE,5
34,  EXT DANAS STREET  NIGHT  DANAS CAB,7
35,  INT MAXS CAR  NIGHT,6
36,  INT CAB  NIGHT,8
37,  INT MAXS CAR  NIGHT,6
38,  EXT STREET  DANA,6
39,  INT MAXS CAR  MAXS FOOT,5
