1,  EXT SMITH HOUSE  DAY,134
2,  INT SMITH HOUSE  DAY,155
3,  AAEXT SMITH HOUSE  DAY,13
4,  BBINT MERCURY SEDAN  CONTINUOUS,75
5,  EXT JOHNNY SMITH HOUSE  DAY,114
6,  INT CHATSWORTH HOME  STUDY  DAY,48
7,  INT CHATSWORTH HOME  LIVING ROOM  DAY,171
8,  INT SARAHS KITCHEN  DAY,55
9,  EXT CATHYS STEAKHOUSE  DAY,178
10,    AABEGIN MONTAGE INT CHATSWORTH HOME  NIGHT,11
11,  INT CHATSWORTH HOME  LATER,82
12,  AAEXT STREET  DAY,7
13,  INT STILLSON CAMPAIGN TRAILER  DAY,19
14,  AAINT TRAILER  CAB  CONTINUOUS,10
15,  INT STILLSON CAMPAIGN TRAILER  CONTINUOUS,184
16,  EXT NEW ENGLAND FARMHOUSE  DAY,7
17,  INT FARMHOUSE,40
18,  INT CHARLOTTES BEDROOM  DAY LATER,69
19,  EXT NEW ENGLAND FARMHOUSE  DAY,30
20,  INT MERCURY SEDAN  TRAVELING SECONDS LATER,70
21,  EXT JOHNNY SMITH HOUSE  DAY,14
22,  INT JOHNNY SMITH HOUSE  DAY,116
23,  INT SARAHS KITCHEN  CONTINUOUS INTERCUT PHONE,90
24,  INT FAITH HERITAGE ALLIANCE  DAY,127
25,  INT PRESS ROOM  LATER,49
26,  INT JOHNNY SMITH HOUSE  KITCHEN  DAY,15
27,  INT KITCHEN  MOMENTS LATER,189
28,  INT JOHNNY SMITH HOUSE  LIVING ROOM  NIGHT,338
29,  EXT ROAD  DAY ,14
30,  INT LUXURY SEDAN  CONTINUOUS,9
31,  EXT OFFICE BUILDING  DAY,13
32,  INT RICHARDSONS OFFICE  DAY,199
33,  INT STATE ROOM  DAY,16
34,  EXT COUNTRYSIDE  CONTINUOUS,17
35,  INT CLEAVES MILLS HOSPITAL  CONTINUOUS,34
36,  INT JOHNNY SMITH HOUSE  MORNING,20
37,  INT SARAHS KITCHEN  DAY,42
38,  EXT FAITH HERITAGE UNIVERSITY  DAY,126
