1,  INT CONVENIENCE STORE  DAY,330
2,AAA JOHNNY FLASH  EXT STORE  DAY,8
3,  BBCUT BACK TO JOHNNY  CLOSEUP  INT STORE,5
4,    CCANOTHER FLASH  EXT STORE  TOBEY,8
5,  DDRESUME JOHNNY  INT STORE,5
6,  EEEXT CONVENIENCE STORE  MOMENTS LATER  CLOSE ON TOBEY,13
7,  INT HOSPITAL EMERGENCY ROOM  DAY,23
8,  INT HOSPITAL EMERGENCY ROOM  CONTINUOUS,28
9,  INT HOSPITAL ROOM  DAY,130
10,  INT TENT ATTACHED TO BLOODMOBILE  DAY  VISION,29
11,  INT HOSPITAL ROOM  DAY  RESUME,30
12,  INT HOSPITAL ROOM  LATER  A PENLIGHT,134
13,  EXT SMITH HOUSE  DAY  ESTABLISHING,3
14,  INT JOHNNYS BEDROOM  MORNING,16
15,  INT BOOKSTORE  STACKS  DAY  JOHNNYJONAH,20
16,  RESUME JOHNNY  INT BEDROOM,14
17,  INT BOOKSTORE  STACKS,16
18,    AARESUME JOHNNY  INT BEDROOM,10
19,  INT KITCHEN  DAY,7
20,  AAINT SEAFOOD BISTRO  DAY FORMERLY SCENE ,12
21,  RESUME JOHNNY  INT KITCHEN,21
22,  INT SMITH BEDROOM  DAY,6
23,A BIKE MESSENGER  EXT PLAZA  DAY  MOVING FORMERLY,18
24,  INT SHOWER  DAY  CLOSEUP ON JOHNNY,6
25,  EXT PLAZA  DAY  JOHNNYMORT FORMERLY SCENE ,33
26,  INT JOHNNYS HIDEAWAY  SURROUNDED BY HIS BOARDS AND,9
27,  AAINT OFFICE CUBICLE  JOHNNYBOB FORMERLY SCENE ,37
28,  RESUME JOHNNY  INT HIDEAWAY,19
29,  INT JOHNNYS KITCHEN  NIGHT,35
30,  INT BATHROOM  DAY   JOHNNYSHARI,9
31,  RESUME JOHNNY  INT KITCHEN  NIGHT,21
32,  INT JOHNNYS BEDROOM  ANOTHER MORNING,22
33,  EXT PLAZA  DAY  VISION,11
34,    AARESUME JOHNNY  INT JOHNNYS BEDROOM,12
35,  RESUME JOHNNY  INT JOHNNYS BEDROOM,19
36,  RESUME JOHNNY  INT BEDROOM,31
37,  INT RED CROSS DONATION CENTER  LATER,139
38,  EXT STREET  LATER,6
39,  EXT PLAZA  DAY,110
40,  INT CUBICLE  DAY  JOHNNYBOB,10
41,  RESUME JOHNNY  EXT PLAZA,177
42,  INT ALCOVE  CONTINUOUS,190
43,  EXT PLAZA  CONTINUOUS,105
44,  EXT CLINIC  LATER,31
45,  EXT PLAZA  DAY  VISION  ONE FLUID SHOT,32
46,  EXT CLINIC  DAY  RESUME,18
47,  EXT CLINIC  DAY  RESUME,15
48,  EXT PLAZA  DAY,63
49,  INT BOOKSTORE  DAY,8
50,  EXT COURTYARD RESTAURANT  DAY  BRUCE,6
51,  AAINT RESTAURANT,54
52,  INT GREENS BOOKSTORE  SAME TIME,63
53,  EXT ROOFTOP  JONAH NOT JOHNNY,154
54,  EXT PLAZA  SAME TIME,118
55,  EXT PLAZA  SAME TIME,244
56,  EXT PLAZA  DAY,189
57,  INT SEAFOOD RESTAURANT  SAME TIME,10
58,  INT BOOKSTORE  SAME TIME,27
59,  EXT STREET  DAY,59
60,  EXT BOOKSTORE  CONTINUOUS,66
61,  EXT BRICK BUILDING  MOMENTS LATER,7
62,  EXT FIRE ESCAPE  SECONDS LATER,5
63,  EXT BRICK BUILDING  SECONDS LATER,212
64,  EXT TURNAROUND  CONTINUOUS,42
