1,  INT SMITH HOUSE  KITCHEN  DAY,185
2,  INT SMITH HOUSE  DINING ROOM  MOMENTS LATER,15
3,  INT SMITH HOUSE FOYER  CONTINUOUS,174
4,  INT TOWN CAR  DAY,7
5,  EXT SMITH HOUSE  DAY,6
6,  INT SMITH HOUSE FOYER  DAY,61
7,  INT SMITH HOUSE  BASEMENT,223
8,  INT HOSPITAL  DAY ,6
9,  INT HOSPITAL OR  DAY,33
10,  EXT SMITH HOUSE  DAY,13
11,  INT SMITH HOUSE  CONTINUOUS,11
12,  EXT CLEAVES MILLS HIGH SCHOOL  NIGHT,11
13,  INT SCHOOL LIBRARY  NIGHT,149
14,  EXT CLEAVES MILLS HIGH SCHOOL  HALLWAY  CONTINUOUS,63
15,  INT LIBRARY  CONTINUOUS,61
16,  INT CLEAVES MILLS HIGH SCHOOL  HALLWAY  CONTINUOUS,127
17,  INT LIBRARY  CONTINUOUS,74
18,  INT HOSPITAL OR  DAY,15
19,  INT HOSPITAL  DAY,9
20,  INT HOSPITAL PATHOLOGY LAB  DAY,24
21,  INT HOSPITAL ER  DAY,25
22,  EXT INTERSECTION  DAY,11
23,  EXT INTERSECTION  SOME TIME BEFORE,29
24,  INT LIBRARY  CONTINUOUS,30
25,  EXT FAITH HERITAGE UNIVERSITY  DAY TO ESTABLISH,6
26,  INT PURDYS OFFICE  DAY,111
27,  INT RESTAURANT  DAY,280
28,  EXT INTERSECTION  DAY VISION,78
29,  INT RESTAURANT  DAY,38
30,  INT SHERIFF SQUAD CAR  DAY,8
31,  EXT FAITH HERITAGE UNIVERSITY  DAY,28
32,  INT PURDYS OFFICE  DAY  CLOSE ON PURDY,126
33,  INT HOSPITAL  DAY,130
34,  INT WAITING ROOM  DAY,20
35,  INT CCU  DAY,174
36,  INT HOSPITAL  DAY,60
37,  INT SMITH HOUSE FOYER  DAY VISION,21
38,  EXT INTERSECTION  DAY,5
39,  INT HOSPITAL,39
40,  EXT HOSPITAL  DAY,11
41,  INT PURDYS OFFICE  CONTINUOUS INTERCUT PHONE,84
42,  INT SHERIFFS STATION  CONTINUOUS,19
43,  EXT HOUSE  DAY,14
44,  EXT STREET  DAY PROBABLY ND UNIT,12
45,  INT BAR  DAY,40
46,  INT BAR  DAY,262
47,  EXT INTERSECTION  DAY VISION,14
48,  EXT ANOTHER INTERSECTION  DAY YEARS LATER,21
49,  INT BAR  RESUME,30
50,  EXT STREET  NIGHT,45
51,  INT SMITH HOUSE  DAY,177
52,  AAEXT CEMETERY  DAY  CLOSE ON A STONE ENGRAVING,128
53,  BBINT BLOODSTREAM  OPTICAL,11
