1,  INT ZION CHURCH  CLOSE UP  A ROW OF LARGE FANCY,333
2,  INT ZION CHURCH  DAY  ON JOHNNY,109
3,  INT ZION CHURCH  DAY  RESUME,42
4,  EXT ZION CHURCH  DAY,10
5,  INT PASTORS HOUSE  LIVING ROOM  DAY,263
6,  INT CHURCH  DAY,405
7,  EXT CHURCH OF ZION  DAY  ALT REALITY,37
8,  EXT CHURCH  AS BEFORE  DAY,162
9,  INT CHURCH OFFICE  DAY  ALT REALITY,56
10,  INT CHURCH OF ZION  DAY  ALT REALITY,187
11,  CLOSE ON  A DINING ROOM TABLE  INT LEWIS HOUSE  DAY ,241
12,  INT CHURCH OFFICE  DAY  ALT REALITY,44
13,  EXT MAINE STREET  A CROWD  ON A SIDEWALK  CHEERING ,96
14,  INT CHURCH OFFICE  DAY,141
15,  INT FOYER  NIGHT  ALT REALITY,11
16,  EXT INTERSTATE  BUS DRIVING  STOCK  A TRANSITION TO,3
17,  EXT CLEAVES MILLS MAINE  STOCK  ESTABLISHING  DAWN,5
18,  EXT SMITH HOUSE  DAY  ALT REALITY,27
19,  INT FAITH HERITAGE AUDITORIUM  DAY  ALT REALITY,75
20,  INT LEWIS HOME  DAY,61
21,  INT STILLSON CAMPAIGN HEADQUARTERS  DAY,137
22,  EXT SMALL HOUSE  CLEAVES MILLS  DAY  ALT REALITY,12
23,  INT SMALL HOUSE  CLEAVES MILLS  DAY  ALT REALITY,179
24,  INT FAITH HERITAGE AUDITORIUM  ESTABLISHING  DAY,6
25,  INT AUDITORIUM  BACKSTAGE  DAY,93
26,  INT JOHNNYS HOUSE  DAY  BRUCE,26
27,  INT AUDITORIUM  GREG STILLSON,16
28,  INT UP ON THE CATWALK  CLOSE ON JOHNNY SMITHS HANDS,40
29,  AAINT CATWALK  JOHNNY,240
30,  INT ZION CHURCH  THE FUNERAL  FROZEN,167
31,  INT ZION CHURCH  DAY  BACK TO REALITY,102
32,  INT BATHROOM MIRROR  DAY,7
