1,  EXT LAKE  DAY STOCK,77
2,  EXT WORDEN ROAD  DAY,50
3,  INT LECTURE HALL  DAY,103
4,  EXT LECTURE HALL  DAY,89
5,A VISION  INT PICKUP TRUCK  NIGHT,35
6,  INT PICKUP TRUCK  EXT WORDEN ROAD  DAY,43
7,  MOVING WITH A SOCCER BALL  EXT SOCCER FIELD  DAY,119
8,  RESUME  JOHNNY  JJ  EXT SOCCER FIELD  DAY,34
9,  RESUME JOHNNY  EXT SOCCER FIELD  ON THE SIDELINE  DAY,122
10,  PANIC MONTAGE  EXT SOCCER FIELD  DAY,57
11,  EXT SOCCER FIELD  AFTERMATH  LATER,54
12,  VISION  HORSES POV  JOHNNY AND JJ  EXT SOCCER,8
13,  RESUME JOHNNY AND WALT  EXT SOCCER FIELD  DAY,13
14,  EXT WORDEN FARM  DAY  ESTABLISHING,8
15,  EXT FARMYARD  DAY  CONTINUOUS,31
16,A VISION  EXT FARM  DAY,9
17,  RESUME  EXT FARM  DAY,45
18,  INT FARMHOUSE  DAY,58
19,A VISION  EXT FARMYARD  DAY,18
20,  RESUME INT FARMHOUSE  DAY,20
21,  INT CELLAR  DAY,15
22,  EXT FARMYARD  LATER,117
23,  AAEXT PURDYS HOUSE  ESTABLISHING  DAY,5
24,  BBINT PURDYS HOME OFFICE  DAY,54
25,  EXT PURDYS BACK YARD  DAY,127
26,  INT PURDYS HOME  CONTINUOUS,29
27,  EXT HOSPITAL  DAY,6
28,  INT HOSPITAL PSYCHIATRIC WARD  DAY,34
29,  INT HOSPITAL ROOM  DAY,110
30,  RESUME INT HOSPITAL ROOM  DAY,14
31,  INT BRUCES SUV  NIGHT,77
32,  EXT ROAD  NIGHT,6
33,  INT BRUCES SUV  NIGHT  CONTINUOUS,18
34,  EXT TRAILER  NIGHT,27
35,  INT TRAILER  NIGHT,38
36,A VISION  INT TRAILER,6
37,  RESUME INT TRAILER  NIGHT,32
38,A VISION  EXT TRAILER  NIGHT,5
39,  RESUME INT TRAILER  CONTINUOUS,29
40,  EXT TRAILER  NIGHT,6
41,  INT TRAILER  NIGHT,23
42,  EXT TRAILER   NIGHT,7
43,  INT TRAILER  NIGHT,25
44,  EXT TRAILER  NIGHT,30
45,  INT BRUCES SUV  NIGHT,16
46,  INT SHERIFFS OFFICE  NIGHT,37
47,  INT INTERROGATION ROOM  NIGHT  CONTINUOUS,51
48,A VISION  EXT YARD  DOGS POV  DAY,8
49,  RESUME SCENE  INT INTERROGATION ROOM,7
50,  EXT COMMUNITY CENTER  NIGHT,7
51,  INT COMMUNITY CENTER  NIGHT,176
52,A VISION  INT FAITH HERITAGE CHAPEL  DAY,63
53,  INT HOSPITAL  DAY,97
54,  EXT WOODS  LATER  DAY,78
55,  EXT WOODS  CONTINUOUS  DAY,86
56,A VISION  STAN AND DOUG  EXT WOODS  DAY,30
57,  RESUME  EXT WOODS  CONTINUOUS  DAY,54
58,  EXT WOODS  DAY  LATER,69
59,  EXT DRY RIVERBED  DAY,90
60,  EXT WOODS  DAY,21
61,  EXT DAM  LATER  DAY,25
62,  INT DAM CONTROL ROOM  DAY,97
63,  VISION  INT CONTROL ROOM  DAY,13
64,  EXT NEAR DAM  DAY VFX,6
65,  RESUME  INT DAM CONTROL ROOM  DAY,55
66,  AAINT SCOTTS VEHICLE  DAY,15
67,  BBTHEIR POV  EXT ROADSIDE  AS THEY DRIVE PAST,7
68,    CCRESUME INT VEHICLE  CONTINUOUS,19
69,  EXT PURDYS HOUSE  DAY,24
70,  AAEXT PURDYS FRONT DOOR  A FEW SECONDS LATER,31
71,  INT PURDYS KITCHEN  AT THE BACK DOOR  SECONDS LATER,15
72,  INT PURDYS HOUSE  STUDY  DAY,173
73,  VISION  INT MEETING ROOM  DAY,25
74,  RESUME  INT PURDYS STUDY  DAY,65
